event_id,status,nse,peak_lag_hours,peak_relative_error,observed_peak_m3s,simulated_peak_m3s,carreiro_station,carreiro_mode
E19,eventwise_scored,-38.451012595313976,16.0,0.04539705466993389,1408.375,1472.3110768707681,86472000,observed_complete
E22,eventwise_scored,0.7297192402999435,0.0,0.07854140405453316,10437.666666666666,9617.877671613467,86507000,observed_complete
E24,eventwise_scored,0.7954588407512596,3.0,0.06415210411191173,11434.95,12168.526102914506,86472000,observed_complete
E27,eventwise_scored,0.8162376479773538,1.0,0.12363667348338658,14525.225,12729.374499402276,86507000,observed_complete
E28,eventwise_scored,0.9475680271611224,1.0,0.002480930463705749,7886.724999999999,7867.15858368863,86507000,observed_complete
