event_id,time_value,observed_m3s,simulated_m3s
24,65152800,1639.949951171875,1131.312316993743
24,65152860,1611.824951171875,1159.0468939379464
24,65152920,1576.875,1184.0886237671489
24,65152980,1553.074951171875,1205.3352542589612
24,65153040,1539.175048828125,1222.0100464922994
24,65153100,1535.199951171875,1233.710809228404
24,65153160,1535.199951171875,1239.7210053159588
24,65153220,1552.050048828125,1239.756671614567
24,65153280,1594.8499755859375,1236.0237551513403
24,65153340,1689.6500244140625,1228.1128740661247
24,65153400,1820.324951171875,1215.070024505008
24,65153460,1920.0,1201.1814215228533
24,65153520,1980.574951171875,1189.2372483476772
24,65153580,2018.0999755859375,1178.4454582101107
24,65153640,2037.449951171875,1168.902012914307
24,65153700,2061.22509765625,1161.6802994959776
24,65153760,2100.27490234375,1156.848629735299
24,65153820,2140.675048828125,1154.1177882421734
24,65153880,2174.699951171875,1153.2480195548442
24,65153940,2206.64990234375,1153.731157473073
24,65154000,2256.625,1154.3531102545671
24,65154060,2343.97509765625,1154.194015267933
24,65154120,2444.85009765625,1152.9198455872045
24,65154180,2544.77490234375,1149.6813341553852
24,65154240,2663.47509765625,1144.027240893308
24,65154300,2799.324951171875,1136.2293177800275
24,65154360,2923.949951171875,1126.320849201884
24,65154420,3020.925048828125,1114.1236641656083
24,65154480,3101.72509765625,1099.35309485034
24,65154540,3183.14990234375,1081.467358778109
24,65154600,3254.02490234375,1058.9115714076684
24,65154660,3294.0,1032.3381237900414
24,65154720,3326.60009765625,1004.277002448065
24,65154780,3340.425048828125,975.2910867632309
24,65154840,3345.47509765625,954.9409822190245
24,65154900,3353.02490234375,953.5999781516073
24,65154960,3335.39990234375,968.7992765793903
24,65155020,3320.324951171875,996.043353643944
24,65155080,3292.75,1035.3371288579342
24,65155140,3250.27490234375,1089.5299068679249
24,65155200,3219.125,1162.9941254305281
24,65155260,3227.824951171875,1256.0764128307067
24,65155320,3269.0,1367.4906473189385
24,65155380,3329.175048828125,1499.7533533046292
24,65155440,3422.52490234375,1651.5387380878622
24,65155500,3530.800048828125,1816.9299317593009
24,65155560,3685.449951171875,2008.1080225375129
24,65155620,3893.550048828125,2239.224421296345
24,65155680,4226.5,2506.1672860494286
24,65155740,4591.22509765625,2806.4938746022585
24,65155800,4985.25,3135.016251220762
24,65155860,5452.10009765625,3480.49937745962
24,65155920,5940.72509765625,3836.4747622151262
24,65155980,6434.47509765625,4225.043025537946
24,65156040,6921.39990234375,4672.486159590579
24,65156100,7382.22509765625,5179.764239475141
24,65156160,7848.89990234375,5734.0188004848505
24,65156220,8315.375,6322.005991031456
24,65156280,8661.125,6933.841660168504
24,65156340,8943.099609375,7558.030073820703
24,65156400,9155.5,8183.335519968241
24,65156460,9337.025390625,8797.773700163309
24,65156520,9548.75,9394.181865007602
24,65156580,9810.75,9972.269602906386
24,65156640,10101.0498046875,10527.004491538617
24,65156700,10418.5751953125,11041.39313213711
24,65156760,10703.650390625,11500.771889526766
24,65156820,10955.474609375,11893.571909346274
24,65156880,11137.775390625,12199.73121393902
24,65156940,11278.4248046875,12417.862418898625
24,65157000,11378.724609375,12565.265205264424
24,65157060,11434.9248046875,12648.405563152412
24,65157120,11434.9501953125,12672.15285913996
24,65157180,11370.224609375,12640.34422034739
24,65157240,11293.724609375,12546.0715628654
24,65157300,11186.849609375,12370.186756482071
24,65157360,11033.0,12113.888095541432
24,65157420,10884.775390625,11804.285457673544
24,65157480,10676.849609375,11466.611036708659
24,65157540,10476.7001953125,11119.673657118397
24,65157600,10242.9501953125,10772.80248593519
24,65157660,9992.525390625,10429.043981308434
24,65157720,9696.625,10090.810598647859
24,65157780,9435.474609375,9761.247362680071
24,65157840,9141.125,9441.698060746463
24,65157900,8817.650390625,9132.24835247842
24,65157960,8483.724609375,8832.85835880084
24,65158020,8149.22509765625,8543.28401766571
24,65158080,7784.77490234375,8263.203510489295
24,65158140,7435.2001953125,7992.305570027024
24,65158200,7098.64990234375,7730.289134429236
24,65158260,6784.27490234375,7476.8630126393855
24,65158320,6488.2998046875,7231.745560762761
24,65158380,6200.97509765625,6994.664369046065
24,65158440,5928.35009765625,6765.355959119912
24,65158500,5661.0498046875,6543.5654911678175
24,65158560,5410.72509765625,6329.046480696149
24,65158620,5177.0,6121.560524590323
24,65158680,4963.5498046875,5920.8770361527295
24,65158740,4764.1748046875,5726.772988827914
24,65158800,4578.4248046875,5539.03266833023
24,65158860,4416.97509765625,5357.4474328983915
24,65158920,4265.47509765625,5181.815481410548
24,65158980,4110.27490234375,5001.690356971737
24,65159040,3950.22509765625,4836.092349539872
24,65159100,3798.800048828125,4675.344064192054
24,65159160,3662.10009765625,4521.169564126887
24,65159220,3538.5,4372.049659027045
24,65159280,3419.97509765625,4226.949521623624
24,65159340,3320.35009765625,4088.199831558229
24,65159400,3241.550048828125,3954.1800823831595
24,65159460,3160.89990234375,3824.554134368153
24,65159520,3068.64990234375,3699.1779327216423
24,65159580,2950.550048828125,3577.9121456970984
24,65159640,2839.85009765625,3460.622009740018
24,65159700,2751.77490234375,3347.1771797120546
24,65159760,2684.550048828125,3237.451584025812
24,65159820,2641.175048828125,3131.3232845293087
24,65159880,2594.550048828125,3028.674340984378
24,65159940,2552.824951171875,2929.3906799883875
24,65160000,2507.800048828125,2833.361968193601
24,65160060,2440.25,2740.4814896832504
24,65160120,2348.47509765625,2650.6460273680796
24,65160180,2254.425048828125,2563.755748271491
24,65160240,2191.22509765625,2479.714092575835
24,65160300,2157.125,2398.4276663065093
24,65160360,2140.675048828125,2319.806137534605
24,65160420,2123.175048828125,2243.762135982727
24,65160480,2102.47509765625,2170.2111559224227
24,65160540,2043.9749755859375,2099.0714622552805
24,65160600,1968.8499755859375,2030.263999673342
24,65160660,1913.625,1963.712304797832
24,65160720,1874.6500244140625,1899.3424211985857
24,65160780,1856.800048828125,1837.082817199714
24,65160840,1851.550048828125,1776.8643063801505
24,65160900,1840.0250244140625,1718.6199706807297
24,65160960,1826.5,1662.2850860323351
24,65161020,1807.7750244140625,1607.7970504224597
24,65161080,1788.074951171875,1555.0953143202253
24,65161140,1762.25,1504.1213133825454
24,65161200,1739.625,1454.8184033666312
24,65161260,1717.0999755859375,1407.131797176503
24,65161320,1692.625,1361.0085039735434
24,65161380,1668.25,1316.3972702834174
24,65161440,1647.0250244140625,1273.2485230339007
24,65161500,1625.875,1251.2071066533972
24,65161560,1602.800048828125,1232.7498379467343
24,65161620,1567.949951171875,1214.564842923859
24,65161680,1537.199951171875,1196.6481051205774
24,65161740,1506.699951171875,1178.995667321846
24,65161800,1490.0999755859375,1161.603630687755
24,65161860,1469.8499755859375,1144.4681538924026
24,65161920,1457.4749755859375,1127.5854522754735
24,65161980,1440.6500244140625,1110.951797006332
24,65162040,1428.4000244140625,1094.5635142604474
24,65162100,1418.375,1078.4169844079672
24,65162160,1401.7249755859375,1078.2073960661937
24,65162220,1388.425048828125,1102.3212553109859
24,65162280,1379.5999755859375,1154.5475360549224
24,65162340,1378.5,1239.2546528911644
24,65162400,1385.0999755859375,1355.8833162042806
24,65162460,1399.5250244140625,1498.4162580903524
24,65162520,1423.949951171875,1660.823932849603
24,65162580,1448.5,1840.3522103924665
24,65162640,1484.4749755859375,2033.392228639411
24,65162700,1544.199951171875,2237.3708238068043
24,65162760,1628.925048828125,2448.2676024269654
24,65162820,1677.375,2661.5484240968453
24,65162880,1727.300048828125,2872.6427572879657
24,65162940,1745.824951171875,3075.193086129562
24,65163000,1756.074951171875,3263.6526253125944
24,65163060,1761.199951171875,3433.8396500509716
24,65163120,1774.625,3581.8647699912476
24,65163180,1800.5,3706.7174728441696
24,65163240,1841.125,3806.886791529495
24,65163300,1899.925048828125,3880.442192278345
24,65163360,1960.324951171875,3922.7405177573423
24,65163420,2015.949951171875,3931.3817245715973
24,65163480,2048.25,3908.6748421246693
24,65163540,2063.35009765625,3852.034251175419
24,65163600,2072.02490234375,3770.1486301041746
24,65163660,2078.5,3670.675864712324
24,65163720,2069.875,3559.391022583207
24,65163780,2054.72509765625,3445.840384756839
24,65163840,2021.324951171875,3335.0384360243083
24,65163900,1974.1500244140625,3227.7527389851457
24,65163960,1962.425048828125,3123.9542201248105
24,65164020,1979.5,3023.528993968678
24,65164080,2014.875,2926.3669023799243
24,65164140,2072.050048828125,2832.3613924492693
24,65164200,2123.175048828125,2741.409398386897
24,65164260,2148.324951171875,2653.4112272853527
24,65164320,2150.52490234375,2568.2704486265234
24,65164380,2133.02490234375,2485.893787409963
24,65164440,2110.10009765625,2406.1910207838546
24,65164500,2081.800048828125,2329.0748780637764
24,65164560,2054.72509765625,2254.460944028237
24,65164620,2025.625,2182.267565383545
24,65164680,1992.3499755859375,2112.4157602941245
24,65164740,1959.25,2044.8291308778
24,65164800,1922.074951171875,1979.4337785688365
24,65164860,1883.050048828125,1916.1582222547506
24,65164920,1847.375,1854.9333190959521
24,65164980,1811.9000244140625,1795.6921879402719
24,65165040,1772.550048828125,1738.0442199628344
24,65165100,1738.574951171875,1675.7451337919224
24,65165160,1703.824951171875,1620.825563019049
24,65165220,1669.2249755859375,1569.1329063634616
24,65165280,1646.0250244140625,1518.823476783969
24,65165340,1612.800048828125,1468.6934360527232
24,65165400,1584.8499755859375,1419.8960309125341
24,65165460,1542.175048828125,1371.2290722772614
24,65165640,1395.0999755859375,1255.268433793474
24,65165700,1373.0,1236.751254136872
24,65165760,1358.7249755859375,1218.5072319446049
24,65165820,1350.0,1200.5323377153286
24,65165880,1341.199951171875,1182.8226013891679
24,65165940,1327.074951171875,1165.3741114708623
24,65166000,1312.949951171875,1148.183014165846
24,65166060,1294.5250244140625,1131.245512529072
24,65166120,1278.4000244140625,1114.557865626392
24,65166180,1262.2750244140625,1098.1163877083084
24,65166240,1246.25,1081.9174473959138
24,65166300,1228.199951171875,1065.9574668788393
24,65166360,1202.800048828125,1050.2329211250349
24,65166420,1191.199951171875,1034.740337102206
24,65166480,1176.574951171875,1019.4762930107356
24,65166540,1157.800048828125,1004.4374175279221
24,65166600,1137.0,989.620389063365
24,65166660,1116.375,975.0219350253359
24,65166720,1086.6500244140625,960.6388310979711
24,65166780,1058.25,946.4679005291267
24,65166840,1033.050048828125,932.5060134287392
24,65166900,1014.0750122070312,918.7500860775359
24,65166960,1009.0999755859375,905.1970802459439
24,65167020,1004.0999755859375,891.844002523045
24,65167080,1011.0750122070312,878.6879036554307
