constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.5,1.0,0.1163429309,43,0.001,2.5,4.0,0.2944085896,0.6903282938,0.8,0,2.283,ok,15.0,20.0
0.5,1.0,0.1158333295,44,0.0025,2.5,4.0,0.2940131967,0.6908993364,0.8,0,2.274,ok,15.0,20.0
0.5,1.0,0.8103735722,45,0.001,2.5,2.0,0.8677364639,0.1868144582,0.7,0,2.57,ok,30.0,20.0
0.5,1.0,0.8104912614,46,0.0025,2.5,2.0,0.8679050279,0.1870688327,0.7,0,2.23,ok,30.0,20.0
0.5,1.0,0.806411831,47,0.001,2.5,2.0,0.8638155423,0.1870185565,0.8,0,2.491,ok,30.0,20.0
0.5,1.0,0.8064984216,48,0.0025,2.5,2.0,0.8640142373,0.1875790786,0.8,0,2.284,ok,30.0,20.0
0.5,1.0,0.3365643891,49,0.001,2.5,2.0,0.474261644,0.5884862746,0.7,0,2.577,ok,15.0,25.0
0.5,1.0,0.3364518123,50,0.0025,2.5,2.0,0.4741999421,0.5887406491,0.7,0,2.334,ok,15.0,25.0
0.5,1.0,0.3123954945,51,0.001,2.5,2.0,0.4501335691,0.5886903729,0.8,0,2.294,ok,15.0,25.0
0.5,1.0,0.3119971453,52,0.0025,2.5,2.0,0.4498473243,0.589250895,0.8,0,2.227,ok,15.0,25.0
0.5,1.0,0.8112831153,53,0.001,2.5,1.0,0.848034492,0.1337568837,0.7,0,2.516,ok,30.0,25.0
0.5,1.0,0.8114523338,54,0.0025,2.5,1.0,0.8482523671,0.1340001662,0.7,0,2.254,ok,30.0,25.0
0.5,1.0,0.8086797904,55,0.001,2.5,1.0,0.8454714099,0.1339580977,0.8,0,2.594,ok,30.0,25.0
0.5,1.0,0.8088469241,56,0.0025,2.5,1.0,0.8457475643,0.1345032012,0.8,0,2.24,ok,30.0,25.0
0.5,1.0,0.4516623471,57,0.001,2.5,1.0,0.5595787837,0.4895821833,0.7,0,2.193,ok,15.0,30.0
0.5,1.0,0.4516218598,58,0.0025,2.5,1.0,0.559586953,0.4898254658,0.7,0,2.505,ok,15.0,30.0
0.5,1.0,0.4302564439,59,0.001,2.5,1.0,0.5382131234,0.4897833972,0.8,0,2.245,ok,15.0,30.0
0.5,1.0,0.4299780228,60,0.0025,2.5,1.0,0.5380437229,0.4903285007,0.8,0,2.489,ok,15.0,30.0
0.5,1.0,0.7341466659,61,0.001,2.5,4.0,0.7914742141,0.0866377411,0.7,0,2.278,ok,30.0,30.0
0.5,1.0,0.7343660636,62,0.0025,2.5,4.0,0.7917401467,0.0868704153,0.7,0,2.513,ok,30.0,30.0
0.5,1.0,0.732790095,63,0.001,2.5,4.0,0.7901573012,0.086836031,0.8,0,2.241,ok,30.0,30.0
