constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.85,1.0,0.8629417495,1,0.001,5.5,0.0,0.8640220507,0.0054015062,0.7,0,2.414,ok,34.3,22.5
0.86,1.0,0.8628235494,2,0.001,5.5,0.0,0.8635419381,0.0035919437,0.7,0,2.537,ok,34.3,22.5
0.87,1.0,0.8626856743,3,0.001,5.5,0.0,0.8630421506,0.0017823812,0.7,0,2.564,ok,34.3,22.5
0.88,1.0,0.8625173488,4,0.001,5.5,0.0,0.8625227851,2.71813e-05,0.7,0,2.268,ok,34.3,22.5
0.89,1.0,0.8616164045,5,0.001,5.5,0.0,0.8619837533,0.0018367438,0.7,0,2.26,ok,34.3,22.5
0.9,1.0,0.8606957878,6,0.001,5.5,0.0,0.861425049,0.0036463062,0.7,0,2.544,ok,34.3,22.5
