event_id,timestamp_label,86510000_rain_mm_sum,86510000_rain_count,86510000_flow_mean,86510000_flow_count,86510000_level_mean,86510000_level_count,86472000_rain_mm_sum,86472000_rain_count,86472000_flow_mean,86472000_flow_count,86472000_level_mean,86472000_level_count,02851044_rain_mm_sum,02851044_rain_count,02851044_flow_mean,02851044_flow_count,02851044_level_mean,02851044_level_count,02851072_rain_mm_sum,02851072_rain_count,02851072_flow_mean,02851072_flow_count,02851072_level_mean,02851072_level_count
28,2024-06-13 10:00:00,0.0,4,222.65,4,221.5,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 11:00:00,0.0,4,221.7,4,221.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 12:00:00,0.0,4,223.6,4,222.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 13:00:00,0.0,4,223.6,4,222.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 14:00:00,0.0,4,224.075,4,222.25,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 15:00:00,0.0,4,225.025,4,222.75,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 16:00:00,0.0,4,223.6,4,222.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 17:00:00,0.0,4,225.5,4,223.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 18:00:00,0.0,4,227.5,4,224.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 19:00:00,0.0,4,230.35,4,225.5,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 20:00:00,0.0,4,235.175,4,228.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 21:00:00,0.0,4,238.05,4,229.5,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 22:00:00,0.0,4,238.05,4,229.5,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-13 23:00:00,0.0,4,235.675,4,228.25,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-14 00:00:00,0.0,4,231.3,4,226.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-14 01:00:00,0.0,4,226.975,4,223.75,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-14 02:00:00,0.0,4,223.6,4,222.0,4,0.0,4,,0,,0,,0,,0,,0,,0,,0,,0
28,2024-06-14 03:00:00,0.0,4,220.275,4,220.25,4,0.2,4,,0,,0,,0,,0,,0,,0,,0,,0
