constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
1.5,239.0,33,0.005,0.0,1633.200505826,0.1763627665,15447.875,93.0,0.8,0,3374.4586538537,2.364,4257.5830011445,125.0,ok,60.0,60.0
1.5,239.0,34,0.005,0.0,1705.2924307716,-0.1051639895,15447.875,93.0,0.8,0,3908.8543513859,2.118,2022.5310229128,134.0,ok,180.0,60.0
1.5,239.0,35,0.005,0.0,1894.8423422614,-0.2393120521,15447.875,93.0,0.8,0,4139.2957944757,2.404,1134.1145815705,138.0,ok,360.0,60.0
1.5,239.0,36,0.005,0.0,2184.7948669208,-0.3359377142,15447.875,93.0,0.8,0,4297.6320603443,2.179,634.2383827281,227.0,ok,720.0,60.0
1.5,239.0,37,0.005,0.0,2181.0806127247,-0.2570313499,15447.875,93.0,0.8,0,4168.781953664,2.429,2807.4025767224,208.0,ok,60.0,180.0
1.5,239.0,38,0.005,0.0,1993.2343252936,-0.3288107052,15447.875,93.0,0.8,0,4286.1531486854,2.143,1704.2347257447,235.0,ok,180.0,180.0
1.5,239.0,39,0.005,0.0,2157.2448478572,-0.3767458719,15447.875,93.0,0.8,0,4362.7770221743,2.139,1047.311580214,238.0,ok,360.0,180.0
1.5,239.0,40,0.005,0.0,2335.1179709139,-0.4146171513,15447.875,93.0,0.8,0,4422.3751939414,2.385,586.2942100898,238.0,ok,720.0,180.0
1.5,239.0,41,0.005,0.0,2045.0021042436,-0.3418814828,15447.875,93.0,0.8,0,4307.1818249322,2.144,1540.2505305491,238.0,ok,60.0,360.0
1.5,239.0,42,0.005,0.0,2269.0108409522,-0.4010449322,15447.875,93.0,0.8,0,4401.1093321548,2.362,877.2502443428,238.0,ok,180.0,360.0
1.5,239.0,43,0.005,0.0,2387.6557652964,-0.4283064328,15447.875,93.0,0.8,0,4443.721387735,2.121,520.4279649389,238.0,ok,360.0,360.0
1.5,239.0,44,0.005,0.0,2459.6293752187,-0.4460085007,15447.875,93.0,0.8,0,4471.1737684781,2.426,287.4699252125,238.0,ok,720.0,360.0
1.5,239.0,45,0.005,0.0,2349.3182533572,-0.4139088842,15447.875,93.0,0.8,0,4421.2679632506,2.134,551.0204978032,238.0,ok,60.0,720.0
1.5,239.0,46,0.005,0.0,2445.4549228561,-0.4415636976,15447.875,93.0,0.8,0,4464.2966364478,2.129,315.4166091037,238.0,ok,180.0,720.0
