BaseCerta,6773140.591,428656.323,76.370
H009,6773588.098,428213.138,81.857
H008,6773391.899,428255.231,81.554
V011,6772701.049,428379.944,73.134
V009A,6772812.308,428387.960,75.821
V009,6772822.338,428446.784,81.229
V005,6773230.544,428437.469,76.615
V004,6773229.222,428378.138,78.404
V003,6773092.662,428281.470,78.197
V002,6773023.158,428058.212,79.517
H002,6772928.630,428304.462,78.683
H001,6772929.858,428322.541,80.859
V001,6772929.859,428322.536,80.866
RN1 25892 REGUA SGB,6772059.544,428811.742,83.139
V010,6772215.647,428758.983,76.665
H007,6772695.632,428598.263,82.097
H006,6772739.321,428737.967,81.137
H005,6772732.537,428840.354,79.859
H004,6772749.739,428983.860,82.931
H003,6772921.590,428928.641,82.703
V008,6772754.017,428637.532,80.179
V007,6772749.350,428596.388,78.688
V006,6772796.761,428551.634,78.479
