event_id,mae_m3s,nse,observed_peak_m3s,pairs,peak_lag_hours,peak_relative_error,rmse_m3s,simulated_peak_m3s,status
E19,201.83633969047577,-1.2798599595803317,1408.375,53,28.0,0.0888013593663801,238.31797140201263,1283.3093855023744,replay_scored_not_promoted
E22,515.5756369144577,0.5843701224257745,10437.6669921875,110,0.0,0.5481194549721065,1040.3381050686917,4716.578649249342,replay_scored_not_promoted
E24,895.0738400230764,0.8171122940353276,11434.9501953125,238,2.0,0.0030390162580858555,1248.9191760058106,11400.199195758543,replay_scored_not_promoted
E27,1413.1738251584557,0.8230813130783902,14525.224609375,245,2.0,0.13016650621677212,1688.6851842987319,12634.526869958778,replay_scored_not_promoted
E28,462.2752666481204,0.9060798053234148,7886.72509765625,209,0.0,0.0017884133197170952,546.8114949827461,7900.829821869846,replay_scored_not_promoted
