CD_MUN;NM_MUN;V05000;V05001;V05002;V05003;V05004;V05005;V05006;V05007;V05008;V05009;V05010;V05011;V05012;V05013;V05014;V05015;V05016;V05017;V05018;V05019;V05020;V05021;V05022;V05023;V05024;V05025;V05026;V05027;V05028;V05029;V05030;V05031;V05032;V05033;V05034;V05400;V05401;V05402;V05403;V05404;V05405;V05406;V05407;V05408;V05409;V05410;V05411;V05412;V05413;V05414;V05415;V05416;V05417;V05418;V05419;V05420;V05421;V05422;V05423;V05424;V05425;V05426;V05427;V05428;V05429;V05430;V05431;V05432;V05433;V05434;V05200;V05201;V05202;V05203;V05204;V05205;V05206;V05207;V05208;V05209;V05210;V05211;V05212;V05213;V05214;V05215;V05216;V05217;V05218;V05219;V05220;V05221;V05222;V05223;V05224;V05225;V05226;V05227;V05228;V05229;V05230;V05231;V05232;V05233;V05234
4307864;Fagundes Varela;528;528;0;0;0;0;517;11;0;476;52;0;525;3;0;20;508;0;8;520;0;489;39;0;236;253;39;250;239;39;136;85;67;240;0;196;196;0;0;0;0;179;17;0;174;22;0;189;7;0;11;185;0;3;193;0;133;63;0;64;69;63;53;80;63;83;32;18;63;0;1419;1419;0;0;0;0;1393;26;0;1284;135;0;1409;10;0;54;1365;0;24;1395;0;1306;113;0;642;664;113;637;669;113;371;220;183;645;0
4307906;Farroupilha;22591;21953;464;78;0;96;20341;2154;96;19699;2796;96;21830;665;96;3681;18814;96;266;22229;96;16746;5749;96;8343;8403;5845;3090;13656;5845;3298;4042;3835;11320;96;6185;5894;155;52;0;84;5082;1019;84;4881;1220;84;5724;377;84;615;5486;84;72;6029;84;3330;2771;84;1481;1849;2855;548;2782;2855;1647;1110;953;2391;84;58278;56539;1291;198;0;250;52026;6002;250;50473;7555;250;56170;1858;250;9426;48602;250;641;57387;250;42427;15601;250;21956;20471;15851;7637;34790;15851;8706;10410;10036;28876;250
4308078;Fazenda Vilanova;933;917;16;0;0;0;558;375;0;687;246;0;884;49;0;128;805;0;0;933;0;365;568;0;346;19;568;155;210;568;653;83;65;132;0;318;308;7;0;0;3;140;175;3;201;114;3;267;48;3;20;295;3;0;315;3;81;234;3;69;12;237;29;52;237;262;18;16;19;3;2459;2418;41;0;0;0;1450;1009;0;1787;672;0;2314;145;0;322;2137;0;0;2459;0;963;1496;0;906;57;1496;397;566;1496;1712;207;185;355;0
4308201;Flores da Cunha;9460;8167;181;0;0;1112;8136;212;1112;6776;1572;1112;8173;175;1112;723;7625;1112;194;8154;1112;7423;925;1112;3547;3876;2037;1579;5844;2037;2332;1631;1230;3155;1112;2724;2342;170;6;0;206;2252;266;206;1859;659;206;2349;169;206;237;2281;206;35;2483;206;1838;680;206;810;1028;886;345;1493;886;1066;406;284;762;206;24339;20959;487;0;0;2893;20892;554;2893;17339;4107;2893;20962;484;2893;1896;19550;2893;531;20915;2893;18967;2479;2893;9348;9619;5372;3743;15224;5372;6094;4260;3103;7989;2893
4308300;Fontoura Xavier;1926;1529;377;10;0;10;995;921;10;969;947;10;1788;128;10;148;1768;10;0;1916;10;703;1213;10;634;69;1223;312;391;1223;1175;159;171;411;10;621;467;120;5;0;29;222;370;29;229;363;29;502;90;29;21;571;29;0;592;29;150;442;29;126;24;471;78;72;471;365;52;44;131;29;4918;3881;985;26;0;26;2486;2406;26;2392;2500;26;4571;321;26;352;4540;26;0;4892;26;1735;3157;26;1552;183;3183;762;973;3183;2976;421;453;1042;26
4308433;Forquetinha;68;68;0;0;0;0;49;19;0;0;68;0;68;0;0;47;21;0;0;68;0;44;24;0;44;0;24;0;44;24;5;37;0;26;0;11;11;0;0;0;0;6;5;0;0;11;0;8;3;0;4;7;0;0;11;0;2;9;0;2;0;9;0;2;9;3;3;0;5;0;186;186;0;0;0;0;131;55;0;0;186;0;186;0;0;125;61;0;0;186;0;122;64;0;122;0;64;0;122;64;17;100;0;69;0
4308607;Garibaldi;11892;11814;55;2;0;21;11595;276;21;10746;1125;21;11833;38;21;1797;10074;21;372;11499;21;10927;944;21;5817;5110;965;2996;7931;965;3939;2254;1361;4317;21;2268;2194;22;4;0;48;2078;142;48;1866;354;48;2141;79;48;273;1947;48;66;2154;48;1605;615;48;840;765;663;380;1225;663;963;357;216;684;48;30191;29957;161;6;0;67;29320;804;67;27188;2936;67;30015;109;67;4542;25582;67;911;29213;67;27539;2585;67;15122;12417;2652;7503;20036;2652;10014;5714;3510;10886;67
4308805;General Câmara;1774;1718;52;4;0;0;1437;337;0;1372;402;0;1768;6;0;81;1693;0;6;1768;0;1393;381;0;619;774;381;99;1294;381;433;477;272;592;0;512;485;22;4;0;1;364;147;1;372;139;1;508;3;1;19;492;1;1;510;1;377;134;1;172;205;135;42;335;135;153;138;91;129;1;4309;4155;145;9;0;0;3504;805;0;3308;1001;0;4289;20;0;221;4088;0;11;4298;0;3335;974;0;1488;1847;974;243;3092;974;1065;1178;638;1428;0
4308854;Gentil;351;341;10;0;0;0;268;83;0;255;96;0;343;8;0;59;292;0;0;351;0;200;151;0;98;102;151;28;172;151;124;62;75;90;0;219;197;22;0;0;0;112;107;0;117;102;0;174;45;0;14;205;0;0;219;0;71;148;0;25;46;148;7;64;148;133;24;19;43;0;959;923;36;0;0;0;722;237;0;687;272;0;932;27;0;199;760;0;0;959;0;536;423;0;260;276;423;90;446;423;351;156;217;235;0
4309258;Guabiju;305;305;0;0;0;0;265;40;0;289;16;0;305;0;0;28;277;0;0;305;0;271;34;0;127;144;34;48;223;34;141;10;16;138;0;132;132;0;0;0;0;104;28;0;122;10;0;130;2;0;11;121;0;0;132;0;98;34;0;36;62;34;26;72;34;77;7;10;38;0;744;744;0;0;0;0;642;102;0;700;44;0;744;0;0;60;684;0;0;744;0;651;93;0;311;340;93;115;536;93;362;24;39;319;0
4309407;Guaporé;8855;8834;12;9;0;0;8327;528;0;8165;690;0;8834;21;0;502;8353;0;0;8855;0;7691;1164;0;2705;4986;1164;2956;4735;1164;1946;1223;908;4778;0;1940;1925;3;8;0;4;1646;290;4;1633;303;4;1870;66;4;71;1865;4;0;1936;4;1360;576;4;506;854;580;466;894;580;709;222;177;828;4;22892;22839;30;23;0;0;21426;1466;0;21014;1878;0;22832;60;0;1313;21579;0;0;22892;0;19610;3282;0;7279;12331;3282;7239;12371;3282;5343;3172;2476;11901;0
4309902;Ibiraiaras;1488;1448;35;0;0;5;1242;241;5;1240;243;5;1442;41;5;49;1434;5;0;1483;5;1181;302;5;968;213;307;57;1124;307;567;295;254;367;5;433;417;14;0;0;2;325;106;2;340;91;2;403;28;2;14;417;2;0;431;2;309;122;2;247;62;124;9;300;124;216;71;55;89;2;3768;3675;80;0;0;13;3135;620;13;3117;638;13;3632;123;13;117;3638;13;0;3755;13;2969;786;13;2468;501;799;125;2844;799;1470;739;631;915;13
4309951;Ibirapuitã;1004;896;101;7;0;0;505;499;0;853;151;0;972;32;0;136;868;0;22;982;0;483;521;0;384;99;521;138;345;521;585;117;93;209;0;330;285;43;2;0;0;156;174;0;254;76;0;294;36;0;41;289;0;7;323;0;143;187;0;101;42;187;47;96;187;226;35;21;48;0;2543;2242;285;16;0;0;1234;1309;0;2132;411;0;2448;95;0;335;2208;0;57;2486;0;1179;1364;0;957;222;1364;337;842;1364;1520;286;231;506;0
4310306;Ilópolis;886;884;2;0;0;0;838;48;0;802;84;0;864;22;0;0;886;0;0;886;0;710;176;0;339;371;176;81;629;176;286;151;147;302;0;316;309;5;2;0;0;263;53;0;248;68;0;277;39;0;0;316;0;0;316;0;206;110;0;110;96;110;21;185;110;168;40;26;82;0;2282;2280;2;0;0;0;2164;118;0;2081;201;0;2231;51;0;0;2282;0;0;2282;0;1814;468;0;872;942;468;214;1600;468;746;388;359;789;0
4310363;Imigrante;638;634;0;4;0;0;590;48;0;584;54;0;625;13;0;81;557;0;0;638;0;598;40;0;476;122;40;116;482;40;252;51;95;240;0;209;205;0;4;0;0;180;29;0;175;34;0;196;13;0;15;194;0;0;209;0;160;49;0;108;52;49;33;127;49;114;15;19;61;0;1610;1598;0;12;0;0;1505;105;0;1465;145;0;1584;26;0;214;1396;0;0;1610;0;1522;88;0;1253;269;88;269;1253;88;641;142;230;597;0
4310439;Ipê;1305;963;27;0;0;315;946;44;315;926;64;315;987;3;315;15;975;315;5;985;315;841;149;315;693;148;464;54;787;464;544;268;55;123;315;437;374;30;2;0;31;350;56;31;327;79;31;399;7;31;5;401;31;2;404;31;283;123;31;203;80;154;15;268;154;246;96;23;41;31;3204;2378;63;0;0;763;2332;109;763;2278;163;763;2429;12;763;40;2401;763;15;2426;763;2046;395;763;1708;338;1158;123;1923;1158;1347;649;129;316;763
