setor;pop;sigilo_pop;dom;sigilo_dom;mulheres;sigilo_mulheres;c0_4;sigilo_c0_4;c5_9;sigilo_c5_9;i60_69;sigilo_i60_69;i70m;sigilo_i70m;indigenas;sigilo_indigenas;pretos_pardos;sigilo_pretos_pardos;dom_ocupados;sigilo_dom_ocupados;dom_agua;sigilo_dom_agua;dom_esgoto;sigilo_dom_esgoto;renda_resp;sigilo_renda_resp;n_resp;sigilo_n_resp;area_pct_bacia;metodo_recorte_bacia;dens;sigilo_dens;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;dom_ocupados_n_validos;dom_ocupados_n_total;dom_ocupados_completude;mulheres_n_validos;mulheres_n_total;mulheres_completude;c0_4_n_validos;c0_4_n_total;c0_4_completude;c5_9_n_validos;c5_9_n_total;c5_9_completude;i60_69_n_validos;i60_69_n_total;i60_69_completude;i70m_n_validos;i70m_n_total;i70m_completude;indigenas_n_validos;indigenas_n_total;indigenas_completude;pretos_pardos_n_validos;pretos_pardos_n_total;pretos_pardos_completude;dom_agua_n_validos;dom_agua_n_total;dom_agua_completude;dom_esgoto_n_validos;dom_esgoto_n_total;dom_esgoto_completude;n_resp_n_validos;n_resp_n_total;n_resp_completude;renda_resp_n_validos;renda_resp_n_total;renda_resp_completude;dens_n_validos;dens_n_total;dens_completude;na_bacia;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;municipio;cod_mun;mun_pct_na_bacia;mun_pop_total;mun_pop_na_bacia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
430005905000013;46;False;18;0;24;0;4;0;;1;;1;;1;0;0;;1;15;0;0;0;0;0;11464.0;0;15;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";4.7;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005915000001;51;False;28;0;23;0;;1;;1;12;0;6;0;0;0;9;0;22;0;0;0;0;0;2010.91;0;22;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";383.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005915000002;286;False;127;0;139;0;15;0;19;0;34;0;32;0;0;0;53;0;103;0;0;0;0;0;5527.76;0;103;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";7.4;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005925000001;33;False;15;0;18;0;;1;;1;;1;;1;0;0;;1;13;0;;1;0;0;4300.0;0;13;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";258.5;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005925000002;260;False;121;0;128;0;13;0;13;0;35;0;24;0;0;0;;1;91;0;;1;0;0;2839.33;0;91;0;4.7217;"ponto_representativo_setor_2022; area_pct_geometrica";6.1;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;parcial;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005928000001;10;False;4;0;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";16.7;False;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005928000002;151;False;54;0;76;0;7;0;;1;26;0;16;0;;1;0;0;51;0;0;0;0;0;5448.78;0;51;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";9.5;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005928000004;18;False;12;0;10;0;;1;;1;;1;0;0;0;0;;1;5;0;0;0;0;0;2220.0;0;5;0;0.3356;"ponto_representativo_setor_2022; area_pct_geometrica";1.3;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;parcial;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005928000005;128;False;47;0;53;0;7;0;12;0;15;0;8;0;;1;9;0;41;0;0;0;0;0;4197.3;0;41;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";8.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005928000006;31;False;9;0;19;0;;1;;1;;1;0;0;28;0;0;0;9;0;0;0;0;0;1422.22;0;9;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";30.1;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
