setor;pop;sigilo_pop;dom;sigilo_dom;mulheres;sigilo_mulheres;c0_4;sigilo_c0_4;c5_9;sigilo_c5_9;i60_69;sigilo_i60_69;i70m;sigilo_i70m;indigenas;sigilo_indigenas;pretos_pardos;sigilo_pretos_pardos;dom_ocupados;sigilo_dom_ocupados;dom_agua;sigilo_dom_agua;dom_esgoto;sigilo_dom_esgoto;renda_resp;sigilo_renda_resp;n_resp;sigilo_n_resp;area_pct_bacia;metodo_recorte_bacia;dens;sigilo_dens;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;dom_ocupados_n_validos;dom_ocupados_n_total;dom_ocupados_completude;mulheres_n_validos;mulheres_n_total;mulheres_completude;c0_4_n_validos;c0_4_n_total;c0_4_completude;c5_9_n_validos;c5_9_n_total;c5_9_completude;i60_69_n_validos;i60_69_n_total;i60_69_completude;i70m_n_validos;i70m_n_total;i70m_completude;indigenas_n_validos;indigenas_n_total;indigenas_completude;pretos_pardos_n_validos;pretos_pardos_n_total;pretos_pardos_completude;dom_agua_n_validos;dom_agua_n_total;dom_agua_completude;dom_esgoto_n_validos;dom_esgoto_n_total;dom_esgoto_completude;n_resp_n_validos;n_resp_n_total;n_resp_completude;renda_resp_n_validos;renda_resp_n_total;renda_resp_completude;dens_n_validos;dens_n_total;dens_completude;na_bacia;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;municipio;cod_mun;mun_pct_na_bacia;mun_pop_total;mun_pop_na_bacia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
430070305000008;538;False;248;0;255;0;19;0;29;0;84;0;68;0;0;0;;1;203;0;180;0;13;0;5823.71;0;203;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";24.7;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000009;283;False;149;0;133;0;11;0;10;0;54;0;39;0;0;0;18;0;107;0;106;0;;1;1965.73;0;107;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";9.3;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000010;56;False;33;0;26;0;;1;;1;;1;8;0;0;0;3;0;20;0;7;0;0;0;2131.6;0;20;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";9.3;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000011;325;False;139;0;158;0;14;0;22;0;48;0;61;0;;1;22;0;120;0;98;0;;1;6612.58;0;120;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";14.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000012;361;False;159;0;173;0;18;0;24;0;67;0;38;0;0;0;29;0;122;0;66;0;;1;5829.51;0;122;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";15.6;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000013;553;False;237;0;292;0;26;0;28;0;70;0;65;0;0;0;44;0;221;0;221;0;0;0;2572.8;0;221;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";2222.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000014;676;False;317;0;356;0;33;0;30;0;100;0;94;0;0;0;25;0;270;0;270;0;99;0;2977.78;0;270;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";926.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070310000001;87;False;44;0;41;0;3;0;;1;22;0;13;0;0;0;5;0;40;0;40;0;0;0;4016.4;0;40;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";163.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070310000002;345;False;149;0;164;0;14;0;16;0;62;0;51;0;0;0;6;0;116;0;87;0;0;0;5774.66;0;116;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";11.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000005;591;False;296;0;323;0;28;0;22;0;74;0;94;0;0;0;46;0;247;0;247;0;83;0;3595.79;0;247;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";3627.5;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
