id_grade;pop;dom;universo_dom;na_bacia;area_pct_bacia;metodo_recorte_bacia;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;municipio;cod_mun;mun_pct_na_bacia;mun_pop_total;mun_pop_na_bacia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
1KME5254N8157;55;21;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5255N8157;40;18;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5241N8158;1;1;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5246N8158;4;2;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5249N8158;4;1;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5250N8158;2;1;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5254N8158;4;2;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5256N8158;4;1;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5245N8159;3;1;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
1KME5248N8159;7;1;domicilios_ocupados_grade_ibge_2022;1;100.0;"ponto_representativo_grade_2022; area_pct_geometrica";1;1;1.0;1;1;1.0;total;interseção geométrica em EPSG:5880;ponto_representativo_grade_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
