ordem,name,tipo,excel,horizonte,receita,rot_id,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,eventos_fixos_treino,n_treino,n_validacao,n_teste,n_linhas,mat,mascara,n_treino_previsto,n_validacao_prevista,n_teste_previsto,contrato_chuva,eventos_excluidos_ajuste,seed,patience,output_activation,base_model,improvement,queue_design
1,053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01,alt,053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01.xlsx,8,V24_RAIN24_UPSTREAM_SIGMOID_STABLE,R01_SEED6301_T31-33-34-35-37_V18-20-21,26,52,10,20000,H2:AG1195,AH2:AH1195,AJ2:AJ1195,AK2:AK1195,31 33 34 35 37,18 20 21,,540,259,395,1194,mat/053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01.mat,mascaras/MASCARA_H08_V24_RAIN24_UPSTREAM.csv,519,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6301,1500,sigmoid,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
2,053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S02,alt,053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S02.xlsx,8,V24_RAIN24_UPSTREAM_SIGMOID_STABLE,R01_SEED6302_T31-33-34-35-37_V18-20-21,26,52,10,20000,H2:AG1195,AH2:AH1195,AJ2:AJ1195,AK2:AK1195,31 33 34 35 37,18 20 21,,540,259,395,1194,mat/053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S02.mat,mascaras/MASCARA_H08_V24_RAIN24_UPSTREAM.csv,519,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6302,1500,sigmoid,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
3,053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S03,alt,053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S03.xlsx,8,V24_RAIN24_UPSTREAM_SIGMOID_STABLE,R01_SEED6303_T31-33-34-35-37_V18-20-21,26,52,10,20000,H2:AG1195,AH2:AH1195,AJ2:AJ1195,AK2:AK1195,31 33 34 35 37,18 20 21,,540,259,395,1194,mat/053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S03.mat,mascaras/MASCARA_H08_V24_RAIN24_UPSTREAM.csv,519,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6303,1500,sigmoid,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
4,056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S01,alt,056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S01.xlsx,8,V24_RAIN18_24_48_SIGMOID_STABLE,R01_SEED6301_T31-33-34-35-37_V18-20-21,28,56,10,20000,H2:AI1212,AJ2:AJ1212,AL2:AL1212,AM2:AM1212,31 33 34 35 37,18 20 21,,562,254,395,1211,mat/056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S01.mat,mascaras/MASCARA_H08_V24_RAIN18_24_48.csv,541,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6301,1500,sigmoid,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
5,056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S02,alt,056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S02.xlsx,8,V24_RAIN18_24_48_SIGMOID_STABLE,R01_SEED6302_T31-33-34-35-37_V18-20-21,28,56,10,20000,H2:AI1212,AJ2:AJ1212,AL2:AL1212,AM2:AM1212,31 33 34 35 37,18 20 21,,562,254,395,1211,mat/056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S02.mat,mascaras/MASCARA_H08_V24_RAIN18_24_48.csv,541,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6302,1500,sigmoid,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
6,056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S03,alt,056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S03.xlsx,8,V24_RAIN18_24_48_SIGMOID_STABLE,R01_SEED6303_T31-33-34-35-37_V18-20-21,28,56,10,20000,H2:AI1212,AJ2:AJ1212,AL2:AL1212,AM2:AM1212,31 33 34 35 37,18 20 21,,562,254,395,1211,mat/056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S03.mat,mascaras/MASCARA_H08_V24_RAIN18_24_48.csv,541,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6303,1500,sigmoid,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
7,059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S01,alt,059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S01.xlsx,12,V24_RAIN18_24_48_SIGMOID_STABLE,R01_SEED6301_T31-33-34-35-37_V18-20-21,28,56,10,20000,H2:AI1214,AJ2:AJ1214,AL2:AL1214,AM2:AM1214,31 33 34 35 37,18 20 21,,564,254,395,1213,mat/059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S01.mat,mascaras/MASCARA_H12_V24_RAIN18_24_48.csv,543,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6301,1500,sigmoid,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
8,059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S02,alt,059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S02.xlsx,12,V24_RAIN18_24_48_SIGMOID_STABLE,R01_SEED6302_T31-33-34-35-37_V18-20-21,28,56,10,20000,H2:AI1214,AJ2:AJ1214,AL2:AL1214,AM2:AM1214,31 33 34 35 37,18 20 21,,564,254,395,1213,mat/059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S02.mat,mascaras/MASCARA_H12_V24_RAIN18_24_48.csv,543,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6302,1500,sigmoid,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
9,059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S03,alt,059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S03.xlsx,12,V24_RAIN18_24_48_SIGMOID_STABLE,R01_SEED6303_T31-33-34-35-37_V18-20-21,28,56,10,20000,H2:AI1214,AJ2:AJ1214,AL2:AL1214,AM2:AM1214,31 33 34 35 37,18 20 21,,564,254,395,1213,mat/059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S03.mat,mascaras/MASCARA_H12_V24_RAIN18_24_48.csv,543,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6303,1500,sigmoid,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
10,062_alt_MUC_H12_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01,alt,062_alt_MUC_H12_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01.xlsx,12,V24_RAIN24_UPSTREAM_SIGMOID_STABLE,R01_SEED6301_T31-33-34-35-37_V18-20-21,26,52,10,20000,H2:AG1196,AH2:AH1196,AJ2:AJ1196,AK2:AK1196,31 33 34 35 37,18 20 21,,541,259,395,1195,mat/062_alt_MUC_H12_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01.mat,mascaras/MASCARA_H12_V24_RAIN24_UPSTREAM.csv,520,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32,6301,1500,sigmoid,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,saida_sigmoide_estavel;semente_reprodutivel;early_stopping_validacao;guardas_finitude,piloto_4_receitas_x_3_sementes
