event_id,time_value,observed_m3s,simulated_m3s
26,65369520,421.375,1077.9578563583718
26,65369580,510.125,1125.2979832692972
26,65369640,551.25,1170.8735566817609
26,65369700,588.2249755859375,1214.6841545521474
26,65369760,757.5999755859375,1255.714444242492
26,65369820,1149.5,1291.5823010477347
26,65369880,1432.5250244140625,1320.9392280268646
26,65369940,1556.675048828125,1344.2400770642291
26,65370000,1575.875,1361.525199690321
26,65370060,1545.4000244140625,1371.9819781765807
26,65370120,1490.5999755859375,1375.1778350062907
26,65370180,1432.175048828125,1371.483025566682
26,65370240,1384.375,1361.6658473743503
26,65370300,1352.125,1346.4865447329205
26,65370360,1314.875,1326.575035056098
26,65370420,1265.5250244140625,1302.5103877638624
26,65370480,1208.6500244140625,1274.7494981978098
26,65370540,1147.75,1243.627148849414
26,65370600,1086.074951171875,1209.3685571694027
26,65370660,1014.2000122070312,1172.095781069739
26,65370720,937.6749877929688,1131.8267621065788
26,65370780,864.3499755859375,1088.4639185781466
26,65370840,802.9249877929688,1041.7648940190138
26,65370900,757.7999877929688,991.2760179196707
26,65370960,720.4000244140625,936.1639022004595
26,65371020,696.9500122070312,874.4988888524098
26,65371080,682.8250122070312,802.8463502756811
26,65371140,681.1749877929688,721.8274406699364
26,65371200,686.125,640.4827939639832
26,65371260,688.5999755859375,564.1433148211397
26,65371320,688.5999755859375,489.7482974938133
