hora_modelo,hora_alvo,observado_em,observado_cm,previsto_cm,erro_cm,erro_abs_cm,nivel_modelo_cm,nivel_rio_agora_cm,modelo,horizonte
2026-08-19T00:00:00,2026-08-19T04:00:00,2026-08-19T04:00:00,399,403,4.0,4.0,437,430,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T01:00:00,2026-08-19T05:00:00,2026-08-19T05:00:00,392,400,8.0,8.0,427,419,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T02:00:00,2026-08-19T06:00:00,2026-08-19T06:00:00,387,385,-2.0,2.0,417,409,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T03:00:00,2026-08-19T07:00:00,2026-08-19T07:00:00,384,386,2.0,2.0,407,400,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T04:00:00,2026-08-19T08:00:00,2026-08-19T08:00:00,383,385,2.0,2.0,399,393,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T05:00:00,2026-08-19T09:00:00,2026-08-19T09:00:00,381,382,1.0,1.0,392,388,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T06:00:00,2026-08-19T10:00:00,2026-08-19T10:00:00,371,384,13.0,13.0,387,385,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T07:00:00,2026-08-19T11:00:00,2026-08-19T11:00:00,343,381,38.0,38.0,384,383,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T08:00:00,2026-08-19T12:00:00,2026-08-19T12:00:00,312,381,69.0,69.0,383,381,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T09:00:00,2026-08-19T13:00:00,2026-08-19T13:00:00,288,324,36.0,36.0,381,376,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T10:00:00,2026-08-19T14:00:00,2026-08-19T14:00:00,274,265,-9.0,9.0,371,351,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T11:00:00,2026-08-19T15:00:00,2026-08-19T15:00:00,266,269,3.0,3.0,343,319,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T12:00:00,2026-08-19T16:00:00,2026-08-19T16:00:00,265,280,15.0,15.0,312,293,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T13:00:00,2026-08-19T17:00:00,2026-08-19T17:00:00,272,280,8.0,8.0,288,276,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T14:00:00,2026-08-19T18:00:00,2026-08-19T18:00:00,310,286,-24.0,24.0,274,268,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T15:00:00,2026-08-19T19:00:00,2026-08-19T19:00:00,373,299,-74.0,74.0,266,265,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T16:00:00,2026-08-19T20:00:00,2026-08-19T20:00:00,405,333,-72.0,72.0,265,269,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T17:00:00,2026-08-19T21:00:00,2026-08-19T21:00:00,416,446,30.0,30.0,272,295,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T18:00:00,2026-08-19T22:00:00,2026-08-19T22:00:00,419,434,15.0,15.0,310,399,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T19:00:00,2026-08-19T23:00:00,2026-08-19T23:00:00,420,428,8.0,8.0,373,399,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T20:00:00,2026-08-20T00:00:00,2026-08-20T00:00:00,416,417,1.0,1.0,405,414,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T21:00:00,2026-08-20T01:00:00,2026-08-20T01:00:00,406,410,4.0,4.0,416,419,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T22:00:00,2026-08-20T02:00:00,2026-08-20T02:00:00,393,410,17.0,17.0,419,421,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-19T23:00:00,2026-08-20T03:00:00,2026-08-20T03:00:00,381,398,17.0,17.0,420,408,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T00:00:00,2026-08-20T04:00:00,2026-08-20T04:00:00,369,384,15.0,15.0,416,408,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T01:00:00,2026-08-20T05:00:00,2026-08-20T05:00:00,358,367,9.0,9.0,406,384,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T02:00:00,2026-08-20T06:00:00,2026-08-20T06:00:00,341,364,23.0,23.0,393,372,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T03:00:00,2026-08-20T07:00:00,2026-08-20T07:00:00,324,360,36.0,36.0,381,362,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T04:00:00,2026-08-20T08:00:00,2026-08-20T08:00:00,315,327,12.0,12.0,369,362,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T05:00:00,2026-08-20T09:00:00,2026-08-20T09:00:00,326,305,-21.0,21.0,358,328,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T06:00:00,2026-08-20T10:00:00,2026-08-20T10:00:00,331,306,-25.0,25.0,341,316,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T07:00:00,2026-08-20T11:00:00,2026-08-20T11:00:00,315,350,35.0,35.0,324,316,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T08:00:00,2026-08-20T12:00:00,2026-08-20T12:00:00,294,373,79.0,79.0,315,322,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T09:00:00,2026-08-20T13:00:00,2026-08-20T13:00:00,279,287,8.0,8.0,326,332,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T10:00:00,2026-08-20T14:00:00,2026-08-20T14:00:00,271,270,-1.0,1.0,331,319,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T11:00:00,2026-08-20T15:00:00,2026-08-20T15:00:00,270,274,4.0,4.0,315,299,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T12:00:00,2026-08-20T16:00:00,2026-08-20T16:00:00,275,280,5.0,5.0,294,272,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T13:00:00,2026-08-20T17:00:00,2026-08-20T17:00:00,288,291,3.0,3.0,279,272,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T14:00:00,2026-08-20T18:00:00,2026-08-20T18:00:00,323,297,-26.0,26.0,271,269,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T15:00:00,2026-08-20T19:00:00,2026-08-20T19:00:00,385,306,-79.0,79.0,270,273,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T16:00:00,2026-08-20T20:00:00,2026-08-20T20:00:00,411,328,-83.0,83.0,275,310,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T17:00:00,2026-08-20T21:00:00,2026-08-20T21:00:00,416,451,35.0,35.0,288,310,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T18:00:00,2026-08-20T22:00:00,2026-08-20T22:00:00,418,445,27.0,27.0,323,408,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T19:00:00,2026-08-20T23:00:00,2026-08-20T23:00:00,419,422,3.0,3.0,385,415,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T20:00:00,2026-08-21T00:00:00,2026-08-21T00:00:00,416,411,-5.0,5.0,411,418,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T21:00:00,2026-08-21T01:00:00,2026-08-21T01:00:00,410,415,5.0,5.0,416,418,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T22:00:00,2026-08-21T02:00:00,2026-08-21T02:00:00,402,414,12.0,12.0,418,418,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-20T23:00:00,2026-08-21T03:00:00,2026-08-21T03:00:00,394,407,13.0,13.0,419,417,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T00:00:00,2026-08-21T04:00:00,2026-08-21T04:00:00,389,399,10.0,10.0,416,411,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T01:00:00,2026-08-21T05:00:00,2026-08-21T05:00:00,385,382,-3.0,3.0,410,396,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T02:00:00,2026-08-21T06:00:00,2026-08-21T06:00:00,382,383,1.0,1.0,402,396,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
