constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.75,1.0,0.1868042856,43,0.01,15.0,0.0,0.2289582919,0.2107700316,0.9,0,2.668,ok,30.0,30.0
0.75,1.0,0.1463216283,44,0.02,15.0,0.0,0.1864195102,0.2004894095,0.9,0,1.867,ok,30.0,30.0
0.75,1.0,0.4020421199,45,0.01,15.0,0.0,0.5025618557,0.5025986793,0.85,0,3.844,ok,60.0,30.0
0.75,1.0,0.3910138039,46,0.02,15.0,0.0,0.4898780495,0.4943212279,0.85,0,2.896,ok,60.0,30.0
0.75,1.0,0.3956703152,47,0.01,15.0,0.0,0.4957894169,0.5005955086,0.9,0,2.62,ok,60.0,30.0
0.75,1.0,0.3762454122,48,0.02,15.0,0.0,0.4743083895,0.4903148866,0.9,0,2.306,ok,60.0,30.0
0.75,1.0,0.5791491788,49,0.01,15.0,0.0,0.6513221933,0.3608650725,0.85,0,2.785,ok,30.0,45.0
0.75,1.0,0.5698665699,50,0.02,15.0,0.0,0.6403840941,0.3525876211,0.85,0,2.243,ok,30.0,45.0
0.75,1.0,0.5782220444,51,0.01,15.0,0.0,0.6499944247,0.3588619018,0.9,0,2.311,ok,30.0,45.0
0.75,1.0,0.5654686808,52,0.02,15.0,0.0,0.6351849368,0.3485812797,0.9,0,2.222,ok,30.0,45.0
0.75,1.0,0.2679475689,53,0.01,15.0,0.0,0.389329344,0.6069088756,0.85,0,2.228,ok,60.0,45.0
0.75,1.0,0.2685770411,54,0.02,15.0,0.0,0.3883033259,0.5986314243,0.85,0,2.548,ok,60.0,45.0
0.75,1.0,0.2626616585,55,0.01,15.0,0.0,0.3836427995,0.604905705,0.9,0,2.293,ok,60.0,45.0
0.75,1.0,0.2559804381,56,0.02,15.0,0.0,0.3749054547,0.5946250829,0.9,0,2.493,ok,60.0,45.0
0.75,1.0,0.4895450491,57,0.01,15.0,0.0,0.5944406587,0.5244780482,0.85,0,2.189,ok,30.0,60.0
