event_id,time_value,observed_m3s,simulated_m3s
22,65047680,853.9500122070312,2415.009576809656
22,65047740,878.5999755859375,2590.3895427423363
22,65047800,921.75,2772.9046206366856
22,65047860,978.4249877929688,2965.322357439485
22,65047920,1062.375,3167.9628910621395
22,65047980,1184.0999755859375,3379.0558973189814
22,65048040,1362.425048828125,3597.893217925906
22,65048100,1574.0250244140625,3823.94581461305
22,65048160,1797.7750244140625,4057.032082929936
22,65048220,2033.5250244140625,4296.885372921774
22,65048280,2302.875,4543.536463558743
22,65048340,2685.625,4796.920923131351
22,65048400,3355.89990234375,5055.38658706981
22,65048460,4405.4501953125,5317.268871853758
22,65048520,5606.3251953125,5580.84206295809
22,65048580,6860.7998046875,5844.926193488786
22,65048640,7980.10009765625,6111.051405624902
22,65048700,8891.2998046875,6380.207390472757
22,65048760,9690.849609375,6649.566812313391
22,65048820,10437.6669921875,6916.5881043528425
22,65054280,1900.300048828125,2099.8287924064925
22,65054340,1999.925048828125,2128.8553569628907
22,65054400,2100.300048828125,2160.5829330306033
22,65054460,2157.125,2194.7896760101
22,65054520,2229.925048828125,2231.274793719507
22,65054580,2294.52490234375,2269.855606338227
22,65054640,2360.85009765625,2310.365191137782
22,65054700,2419.77490234375,2352.6057178790534
22,65054760,2465.375,2396.1095842107034
22,65054820,2502.050048828125,2440.258053718892
22,65054880,2518.14990234375,2484.187043984726
22,65054940,2520.449951171875,2526.8706462416153
22,65055000,2506.64990234375,2567.314237052616
22,65055060,2494.02490234375,2604.4645989522737
22,65055120,2458.52490234375,2637.6340809687135
22,65055180,2423.175048828125,2666.6251113268636
22,65055240,2387.97509765625,2691.7007440489606
22,65055300,2351.800048828125,2714.498210108808
22,65055360,2306.824951171875,2736.0750562031644
22,65055420,2269.97509765625,2755.6405381226173
22,65055480,2237.72509765625,2772.5235883018636
22,65055540,2196.72509765625,2786.3992270863846
22,65055600,2162.60009765625,2797.036875514453
22,65055660,2140.64990234375,2804.2371586582544
22,65055720,2116.625,2807.803032198044
22,65055780,2101.375,2807.5187644703256
22,65055840,2091.574951171875,2803.127493932332
22,65055900,2078.52490234375,2794.2982593505185
22,65055960,2063.375,2780.5605768311166
22,65056020,2046.074951171875,2761.062272184159
22,65056080,2029.925048828125,2734.599184330692
22,65056140,2015.949951171875,2700.8031500455995
22,65056200,2000.9000244140625,2659.4337243055847
22,65056260,1981.6500244140625,2611.259742131717
22,65056320,1968.8499755859375,2557.823496303126
22,65056380,1952.8499755859375,2500.8759778878816
22,65056440,1939.050048828125,2443.494733871737
22,65056500,1925.2249755859375,2387.899635724941
22,65056560,1907.25,2334.6604399528264
22,65056620,1893.550048828125,2283.5649153405175
22,65056680,1879.9000244140625,2234.0735115632665
22,65056740,1863.0999755859375,2185.713091026036
22,65056800,1845.2750244140625,2138.3683182724517
22,65056860,1819.199951171875,2091.9903533904026
22,65056920,1768.449951171875,2046.5321592201713
22,65056980,1689.625,2001.9469216079244
22,65057040,1597.8499755859375,1958.1878423776109
22,65057100,1528.375,1915.2078938919196
22,65057160,1548.050048828125,1872.959522358431
22,65057220,1538.199951171875,1831.3942816584818
22,65057280,1510.625,1790.4623712147063
22,65057340,1511.5999755859375,1750.1120383265854
22,65057400,1525.3499755859375,1710.2887839162004
22,65057460,1568.949951171875,1670.9342738184503
22,65057520,1642.0250244140625,1631.9847913975548
22,65057580,1732.449951171875,1585.6783839399552
22,65057640,1763.25,1537.1762160324422
22,65057700,1751.949951171875,1490.8769504371103
22,65057760,1713.0250244140625,1451.4568164858692
22,65057820,1662.199951171875,1411.7732077933351
22,65057880,1612.824951171875,1370.5051354114112
22,65057940,1568.925048828125,1328.6130209162334
22,65058000,1529.300048828125,1287.6611739472303
22,65058060,1496.925048828125,1245.5689640019575
22,65058120,1467.5999755859375,1205.6715637990574
22,65058180,1436.199951171875,1167.7164332717514
22,65058240,1407.2750244140625,1130.9951034066457
22,65058300,1375.199951171875,1095.467193461152
22,65058360,1351.074951171875,1061.0936461673127
22,65058420,1327.074951171875,1027.836684342459
22,65058480,1309.699951171875,995.6597689224435
22,65058540,1291.300048828125,986.575195561574
22,65058600,1276.25,979.917049866572
22,65058660,1255.875,973.3038383076555
22,65058720,1237.75,966.73525763574
22,65058780,1220.7750244140625,960.2110066482924
22,65058840,1207.050048828125,953.7307861755187
22,65058900,1191.199951171875,947.2942990666463
22,65058960,1175.5250244140625,940.9012501762976
22,65059020,1161.949951171875,934.5513463509564
22,65059080,1146.324951171875,928.2442964155249
22,65059140,1131.824951171875,921.9798111599725
22,65059200,1116.3499755859375,915.7576033260738
22,65059260,1103.0250244140625,909.5773875942358
22,65059320,1088.675048828125,903.4388805704154
22,65059380,1077.5,897.3418007731241
22,65059440,1064.324951171875,891.2858686205202
22,65059500,1055.199951171875,885.2708064175891
22,65059560,1047.0999755859375,879.2963383434095
22,65059620,1049.0999755859375,873.3621904385053
