base_end,base_start,bias_cm,contract_id,event,horizon_hours,mae_cm,method,model,n,n_common_event_points,nse,peak_abs_error_cm,peak_error_cm,peak_lag_hours,peak_observed_cm,peak_predicted_cm,r2,rmse_cm
2026-06-30 18:00,2026-06-29 05:00,21.093774,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,33,8,53.470403,RNA fonte Q62,RNA 035,29,29,-2.64013904,127.749588,127.749588,0.0,526.0,653.749588,-2.64013904,69.233891
2026-07-05 23:00,2026-07-02 07:00,12.542646,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,34,8,40.923206,RNA fonte Q62,RNA 035,89,89,0.87335219,47.43663,47.43663,-7.0,882.0,929.43663,0.87335219,52.421951
2026-07-23 23:00,2026-07-21 15:00,-84.62928,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,35,8,156.950926,RNA fonte Q62,RNA 035,47,47,0.64476901,26.267658,26.267658,0.0,1986.0,2012.267658,0.64476901,240.771679
2026-07-31 00:00,2026-07-26 19:00,12.167144,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,37,8,70.174616,RNA fonte Q62,RNA 035,102,102,0.95324119,154.916539,154.916539,0.0,1531.0,1685.916539,0.95324119,90.94428
2025-07-04 02:00,2025-06-28 19:00,0.171875,nivel_86510000,31,8,127.921875,baseline,Persistência,128,128,0.67808525,0.0,0.0,8.0,1499.0,1499.0,0.67808525,192.169969
2026-06-30 18:00,2026-06-29 05:00,23.37931,nivel_86510000,33,8,46.896552,baseline,Persistência,29,29,-1.13396266,25.0,25.0,5.0,526.0,551.0,-1.13396266,53.009433
2026-07-05 23:00,2026-07-02 07:00,-3.213483,nivel_86510000,34,8,80.764045,baseline,Persistência,89,89,0.52861125,0.0,0.0,8.0,882.0,882.0,0.52861125,101.135575
2026-07-23 23:00,2026-07-21 15:00,-113.957447,nivel_86510000,35,8,386.0,baseline,Persistência,47,47,-0.3753487,0.0,0.0,8.0,1986.0,1986.0,-0.3753487,473.757816
2026-07-31 00:00,2026-07-26 19:00,-28.362745,nivel_86510000,37,8,158.480392,baseline,Persistência,102,102,0.76516698,0.0,0.0,8.0,1531.0,1531.0,0.76516698,203.80895
2025-07-04 02:00,2025-06-28 19:00,-34.006809,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,8,41.595076,baseline,Ridge,128,128,0.960352,25.382758,-25.382758,0.0,1499.0,1473.617242,0.960352,67.44127
