MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA;BIAS_EVENTO;PLATEAU_POINTS_OBS;TARGET_MISSING_SAME_EVENT
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;69;0.8267562577078393;23.589793341629843;0.9619436217688907;0.9862207921449927;27.265895742440637;78.63314086078378;428.0;19;49;subida_e_descida;13.02258658635158;0;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;5;Treino;81;0.8156746842701087;29.373110839576402;0.9751655558602016;0.9897728874623409;35.65109287354012;117.98938198317285;687.0;30;49;subida_e_descida;13.068431592826618;1;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;6;Treino;51;0.869705829532115;31.301530522178457;0.9420115367606773;0.9740438695953403;37.5298234357798;94.1308568448901;533.0;13;37;subida_e_descida;8.764186448300094;0;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;7;Treino;46;0.7433452215530947;23.471390385298438;0.8292064880364605;0.9412404302560208;27.12504149007921;67.81642991968874;229.0;10;35;subida_e_descida;11.144573960715642;0;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;11;Treino;69;0.6420445907903598;20.49285051756472;0.9579377464640692;0.9903807280956328;22.449162609110772;39.21613563775418;358.0;21;45;subida_e_descida;16.57007594090512;2;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;12;Treino;174;0.7150159688875217;51.531992042504164;0.9737393754899554;0.9870060624328792;77.94578294032499;298.0071073240026;1725.0;39;131;subida_e_descida;8.744837300186216;3;14
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;13;Treino;60;0.7598653346996981;16.271311739620497;0.9365168082926034;0.9831162175144065;18.440572104242253;40.85111257438962;234.0;24;34;subida_e_descida;12.31965086951047;1;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;18;Validação;145;0.7873076679294654;23.588471730759984;0.9849255683951545;0.9935291336294731;32.10485492336798;195.27486769896973;942.0;55;88;subida_e_descida;10.749989536788538;1;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;21;Validação;113;0.7668407873160793;38.53403785785096;0.9741339561621539;0.9873956254352821;56.87961332125813;220.10857405557238;1093.0;24;85;subida_e_descida;7.831087405697587;3;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;22;Treino;73;0.23770550429357395;23.175116867378144;0.9269080178658469;0.9785287577051021;25.681131008205934;52.69992013156059;325.0;8;63;subida_e_descida;16.067289824069796;1;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;23;Validação;58;0.7802468190803026;27.060819561532117;0.8972391646620678;0.9554100540818143;34.699811718254786;116.94173782909877;358.0;12;45;subida_e_descida;12.464599452329766;0;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;24;Teste;203;0.824760471223567;33.19629110550639;0.9931090212876148;0.996874435478651;44.305584968654124;129.1507254631931;1816.0;83;116;subida_e_descida;13.601888745815849;3;8
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;30;Treino;58;0.6847097030255973;21.616087369409577;0.9052946975602133;0.9610666075243175;26.324117238633285;62.24437391790002;259.0;22;34;subida_e_descida;11.029343569753268;1;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;31;Teste;116;0.8104450506635545;33.1063302282803;0.9812036373722433;0.9910677069139181;45.94327193455878;174.5815490563541;1046.0;23;92;subida_e_descida;10.102518231807023;0;4
