model;horizon_h;xlsx;n_rows;duplicate_cod_sequencial;non_hour_timestamps;source_workbook_exists;source_missing_rows;source_mismatch_count_capped_100;target_check;formula_column;formula_mismatch;event32_rows;mat_exists;mat_rna_max_abs_diff;mat_target_max_abs_diff;mat_current_level_max_abs_diff;mat_error;test_mae_cm;test_max_abs_error_cm;test_plateau_fraction_exact
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\006_MUC_H04_CONTROLE_15INPUTS_NH32_S06_AUDITAVEL.xlsx;1500;0;0;True;0;0;"{""target_checked"": 1500, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT04H_DIF;0;0;True;0.0;0.0;0.0;;38.55865679411968;468.6553475469477;0.0
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07_AUDITAVEL.xlsx;1500;0;0;True;0;0;"{""target_checked"": 1500, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT04H_DIF;0;0;True;0.0;0.0;0.0;;35.05665167661063;437.40079657712636;0.0
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08_AUDITAVEL.xlsx;1500;0;0;True;0;0;"{""target_checked"": 1500, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT04H_DIF;0;0;True;0.0;0.0;0.0;;22.78418100629855;361.80864300386406;0.0
009_MUC_H04_DINAMICA_CURTA_NH64_S09;4;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\009_MUC_H04_DINAMICA_CURTA_NH64_S09_AUDITAVEL.xlsx;1500;0;0;True;0;0;"{""target_checked"": 1500, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT04H_DIF;0;0;True;0.0;0.0;0.0;;24.34012252677486;382.9745546912235;0.0
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;4;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10_AUDITAVEL.xlsx;1500;0;0;True;0;0;"{""target_checked"": 1500, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT04H_DIF;0;0;True;0.0;0.0;0.0;;31.405456370324778;480.76212177532454;0.0
004_MUC_H02_DINAMICA_CURTA_NH64_S04;2;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\004_MUC_H02_DINAMICA_CURTA_NH64_S04_AUDITAVEL.xlsx;1560;0;0;True;0;0;"{""target_checked"": 1560, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT02H_DIF;0;0;True;0.0;0.0;0.0;;9.804482129491586;106.78648448557203;0.0
014_MUC_H08_CHUVA_JANELAS_NH64_S14;8;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\014_MUC_H08_CHUVA_JANELAS_NH64_S14_AUDITAVEL.xlsx;681;0;0;True;0;0;"{""target_checked"": 681, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT08H_DIF;0;0;True;0.0;0.0;0.0;;44.85284531193961;238.60229785569572;0.0
020_MUC_H12_CHUVA_E_DINAMICA_CURTA_NH72_S20;12;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\020_MUC_H12_CHUVA_E_DINAMICA_CURTA_NH72_S20_AUDITAVEL.xlsx;638;0;0;True;0;0;"{""target_checked"": 638, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT12H_DIF;0;0;True;0.0;0.0;0.0;;64.93119412557495;475.4990746467131;0.0
