key;MODELO;HORIZONTE_H;EVENTO;evento;CONJUNTO;conjunto;start;end;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA;BIAS_EVENTO;PLATEAU_POINTS_OBS;obsPeak;rnaPeak;riseObs;riseRna;TARGET_MISSING_SAME_EVENT
4|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;4;Treino;Treino;2018-07-25 22:00;2018-07-28 18:00;69;0.8267562577078393;23.589793341629843;0.9619436217688907;0.9862207921449927;27.265895742440637;78.63314086078378;428.0;19;49;subida_e_descida;13.02258658635158;0;902.0;929.4347996506727;428.0;481.60901233478046;4
5|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;5;5;Treino;Treino;2018-10-02 16:00;2018-10-06 00:00;81;0.8156746842701087;29.373110839576402;0.9751655558602016;0.9897728874623409;35.65109287354012;117.98938198317285;687.0;30;49;subida_e_descida;13.068431592826618;1;1166.0;1199.3942045549486;683.0;834.3835865381214;4
6|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;6;6;Treino;Treino;2018-10-31 17:00;2018-11-02 19:00;51;0.869705829532115;31.301530522178457;0.9420115367606773;0.9740438695953403;37.5298234357798;94.1308568448901;533.0;13;37;subida_e_descida;8.764186448300094;0;966.0;998.5347943460173;533.0;576.1747714268777;4
7|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;7;7;Treino;Treino;2018-11-30 16:00;2018-12-02 13:00;46;0.7433452215530947;23.471390385298438;0.8292064880364605;0.9412404302560208;27.12504149007921;67.81642991968874;229.0;10;35;subida_e_descida;11.144573960715642;0;686.0;722.726617137805;229.0;321.01821720199393;4
11|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;11;11;Treino;Treino;2019-11-07 07:00;2019-11-10 03:00;69;0.6420445907903598;20.49285051756472;0.9579377464640692;0.9903807280956328;22.449162609110772;39.21613563775418;358.0;21;45;subida_e_descida;16.57007594090512;2;848.0;870.9024202662314;208.0;236.77319937223797;4
12|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;12;12;Treino;Treino;2020-07-07 07:00;2020-07-16 03:00;174;0.7150159688875217;51.531992042504164;0.9737393754899554;0.9870060624328792;77.94578294032499;298.0071073240026;1725.0;39;131;subida_e_descida;8.744837300186216;3;2211.0;2206.8666063131395;1542.0;1521.6412809834521;14
13|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;13;13;Treino;Treino;2020-08-15 02:00;2020-08-17 13:00;60;0.7598653346996981;16.271311739620497;0.9365168082926034;0.9831162175144065;18.440572104242253;40.85111257438962;234.0;24;34;subida_e_descida;12.31965086951047;1;714.0;730.3623469771769;234.0;260.93136033517135;4
18|Validação;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;18;18;Validação;Validação;2022-05-01 13:00;2022-05-07 13:00;145;0.7873076679294654;23.588471730759984;0.9849255683951545;0.9935291336294731;32.10485492336798;195.27486769896973;942.0;55;88;subida_e_descida;10.749989536788538;1;1337.0;1359.1457438867103;942.0;1021.793808062324;4
21|Validação;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;21;21;Validação;Validação;2023-07-11 18:00;2023-07-16 10:00;113;0.7668407873160793;38.53403785785096;0.9741339561621539;0.9873956254352821;56.87961332125813;220.10857405557238;1093.0;24;85;subida_e_descida;7.831087405697587;3;1458.0;1507.320885557717;1076.0;1105.4675863554294;4
22|Treino;006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;22;22;Treino;Treino;2023-09-08 19:00;2023-09-11 19:00;73;0.23770550429357395;23.175116867378144;0.9269080178658469;0.9785287577051021;25.681131008205934;52.69992013156059;325.0;8;63;subida_e_descida;16.067289824069796;1;810.0;803.2955232720687;8.0;21.5800557774578;4
