MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat
011_MUC_H08_CONTROLE_28INPUTS_NH32_S11;alt;VAR;28;H2:AI682;AJ2:AJ682;AM2:AM682;AL2:AL682;32;10;100000;123;681;293;132;256;0.9626386310;0.9690347951;0.9551345345;0.9511630821;0.8814718293;0.8991482072;0.8871274897;0.8483866410;46.7954591320;47.7434718926;37.7084869039;50.3958989571;154.4979794598;144.6243750725;144.7457194441;181.1282250317;0.9818753438;0.9845363115;0.9775562835;0.9788102180;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\011_MUC_H08_CONTROLE_28INPUTS_NH32_S11.mat
012_MUC_H08_SEM_SANTA_TEREZA_NH48_S12;alt;VAR;20;H2:AA682;AB2:AB682;AE2:AE682;AD2:AD682;48;10;100000;32300;681;293;132;256;0.9614973464;0.9730706905;0.9637730702;0.9371693220;0.8778511276;0.9122928737;0.9088603124;0.8049432570;48.1007431230;44.8578011282;34.8184648798;58.6610662972;168.6214868444;155.8301156040;115.8410662204;205.3754134692;0.9817999126;0.9865269546;0.9824925626;0.9751497030;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\012_MUC_H08_SEM_SANTA_TEREZA_NH48_S12.mat
013_MUC_H08_SEM_CHUVA_NH56_S13;alt;VAR;24;H2:AE682;AF2:AF682;AI2:AI682;AH2:AH682;56;10;100000;9963;681;293;132;256;0.9573078891;0.9642192840;0.9509660506;0.9441547027;0.8645601609;0.8834643801;0.8766404205;0.8266292493;49.5385884602;48.9518388552;39.6031835287;55.3330848870;170.9135256786;150.9694740462;169.1264478666;182.7957865808;0.9789464710;0.9820067431;0.9753900114;0.9748576237;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\013_MUC_H08_SEM_CHUVA_NH56_S13.mat
014_MUC_H08_CHUVA_JANELAS_NH64_S14;alt;VAR;11;H2:R682;S2:S682;V2:V682;U2:U682;64;10;100000;3805;681;293;132;256;0.9705276639;0.9761637845;0.9459510995;0.9667850541;0.9064996232;0.9223668931;0.8640238096;0.8968847804;45.1084808123;45.2300155717;45.3344884154;44.8528453119;131.8824192847;128.4581279712;128.1463329748;137.4334892021;0.9855873888;0.9880344770;0.9734638531;0.9853678633;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\014_MUC_H08_CHUVA_JANELAS_NH64_S14.mat
015_MUC_H08_CHUVA_E_DINAMICA_CURTA_NH72_S15;alt;VAR;8;H2:O682;P2:P682;S2:S682;R2:R682;72;10;100000;332;681;293;132;256;0.9625705016;0.9637931244;0.9483472463;0.9628158319;0.8812556901;0.8820764041;0.8700520341;0.8845623992;48.6253472823;50.9299622328;41.7400749848;49.5378619806;157.4570725612;180.0459127368;143.8167390371;143.2035474198;0.9816611854;0.9820548084;0.9740219564;0.9832094663;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\015_MUC_H08_CHUVA_E_DINAMICA_CURTA_NH72_S15.mat
016_MUC_H12_CONTROLE_28INPUTS_NH32_S16;alt;VAR;28;H2:AI639;AJ2:AJ639;AM2:AM639;AL2:AL639;32;10;100000;3238;638;254;132;252;0.9092436363;0.9764944639;0.7730204492;0.8647605056;0.8146209518;0.9256602916;0.7139563667;0.7876867956;62.2453204861;38.3865380040;73.3890105620;80.4562873925;275.8720680505;125.5998218158;327.7946936655;312.9965599318;0.9566221369;0.9882059440;0.8885140827;0.9428307163;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\016_MUC_H12_CONTROLE_28INPUTS_NH32_S16.mat
017_MUC_H12_SEM_SANTA_TEREZA_NH48_S17;alt;VAR;20;H2:AA639;AB2:AB639;AE2:AE639;AD2:AD639;48;10;100000;9320;638;254;132;252;0.9203721014;0.9753586765;0.8310351190;0.8762668623;0.8373519669;0.9220681971;0.7870674769;0.8057506863;60.2952458167;41.1416354228;62.2341380630;78.5852587672;251.6736288707;136.2172920258;251.7623727470;304.1059140255;0.9626133495;0.9876030055;0.9175295945;0.9506789146;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\017_MUC_H12_SEM_SANTA_TEREZA_NH48_S17.mat
018_MUC_H12_SEM_CHUVA_NH56_S18;alt;VAR;24;H2:AE639;AF2:AF639;AI2:AI639;AH2:AH639;56;10;100000;45959;638;254;132;252;0.8952746966;0.9707074238;0.7293843877;0.8495669121;0.7860879802;0.9073579276;0.6589654323;0.7638342919;67.6409408552;42.2578673456;82.6230567576;85.3776923327;272.2448679764;127.0453174102;381.5513444136;331.4131406544;0.9495310375;0.9852637359;0.8723506155;0.9323585933;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\018_MUC_H12_SEM_CHUVA_NH56_S18.mat
019_MUC_H12_CHUVA_JANELAS_NH64_S19;alt;VAR;11;H2:R639;S2:S639;V2:V639;U2:U639;64;10;100000;41648;638;254;132;252;0.8950709561;0.9303851853;0.7957690558;0.8772134230;0.7856718197;0.7798329293;0.7426245620;0.8072366970;73.9604439029;70.9348610223;67.2309323878;80.5350215683;266.6298125120;214.9044930772;288.0504075104;289.1320182054;0.9471813197;0.9674879660;0.8941570552;0.9390764959;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\019_MUC_H12_CHUVA_JANELAS_NH64_S19.mat
020_MUC_H12_CHUVA_E_DINAMICA_CURTA_NH72_S20;alt;VAR;8;H2:O639;P2:P639;S2:S639;R2:R639;72;10;100000;14767;638;254;132;252;0.9169209582;0.9522250286;0.8251302344;0.8980089826;0.8303026581;0.8489046398;0.7796260371;0.8398837571;60.4211664651;53.8091364592;64.5342623067;64.9311941256;239.9627213252;171.3907394960;268.9025894614;255.6831441574;0.9581265613;0.9758679067;0.9087003762;0.9510144001;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\020_MUC_H12_CHUVA_E_DINAMICA_CURTA_NH72_S20.mat
