model;horizon_h;xlsx;n_rows;duplicate_cod_sequencial;non_hour_timestamps;source_workbook_exists;source_missing_rows;source_mismatch_count_capped_100;target_check;formula_column;formula_mismatch;event32_rows;mat_exists;mat_rna_max_abs_diff;mat_target_max_abs_diff;mat_current_level_max_abs_diff;mat_error;test_mae_cm;test_max_abs_error_cm;test_plateau_fraction_exact
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\001_MUC_H02_CONTROLE_15INPUTS_NH32_S01_AUDITAVEL.xlsx;1560;0;0;True;0;0;"{""target_checked"": 1560, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT02H_DIF;0;0;True;0.0;0.0;0.0;;9.476241433046093;127.31691703541173;0.0
019_MUC_H12_CHUVA_JANELAS_NH64_S19;12;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\auditaveis\019_MUC_H12_CHUVA_JANELAS_NH64_S19_AUDITAVEL.xlsx;638;0;0;True;0;0;"{""target_checked"": 638, ""target_missing"": 0, ""target_event_mismatch"": 0, ""target_value_mismatch"": 0}";OUT12H_DIF;0;0;True;0.0;0.0;0.0;;80.53502156833271;452.6036517168793;0.0
