event_id,timestamp_label,rain_mm,raw_record_count
E24,2023-11-16 00:00:00,0.600000,4
E24,2023-11-16 01:00:00,0.800000,4
E24,2023-11-16 02:00:00,0.400000,4
E24,2023-11-16 03:00:00,0.000000,4
E24,2023-11-16 04:00:00,0.000000,4
E24,2023-11-16 05:00:00,0.000000,4
E24,2023-11-16 06:00:00,0.000000,4
E24,2023-11-16 07:00:00,0.000000,4
E24,2023-11-16 08:00:00,0.400000,4
E24,2023-11-16 09:00:00,1.800000,4
E24,2023-11-16 10:00:00,0.200000,4
E24,2023-11-16 11:00:00,0.000000,4
E24,2023-11-16 12:00:00,3.000000,4
E24,2023-11-16 13:00:00,0.800000,4
E24,2023-11-16 14:00:00,0.000000,4
E24,2023-11-16 15:00:00,0.000000,4
E24,2023-11-16 16:00:00,0.000000,4
E24,2023-11-16 17:00:00,0.000000,4
E24,2023-11-16 18:00:00,0.000000,4
E24,2023-11-16 19:00:00,0.000000,4
E24,2023-11-16 20:00:00,0.000000,4
E24,2023-11-16 21:00:00,0.000000,4
E24,2023-11-16 22:00:00,0.000000,4
E24,2023-11-16 23:00:00,0.000000,4
E24,2023-11-17 00:00:00,0.000000,4
E24,2023-11-17 01:00:00,0.000000,4
E24,2023-11-17 02:00:00,0.000000,4
E24,2023-11-17 03:00:00,0.000000,4
E24,2023-11-17 04:00:00,0.000000,4
E24,2023-11-17 05:00:00,0.000000,4
E24,2023-11-17 06:00:00,0.000000,4
E24,2023-11-17 07:00:00,0.000000,4
E24,2023-11-17 08:00:00,0.000000,4
E24,2023-11-17 09:00:00,0.000000,4
E24,2023-11-17 10:00:00,2.200000,4
E24,2023-11-17 11:00:00,2.400000,4
E24,2023-11-17 12:00:00,2.400000,4
E24,2023-11-17 13:00:00,0.000000,4
E24,2023-11-17 14:00:00,2.000000,4
E24,2023-11-17 15:00:00,3.200000,4
E24,2023-11-17 16:00:00,2.800000,4
E24,2023-11-17 17:00:00,8.000000,4
E24,2023-11-17 18:00:00,2.400000,4
E24,2023-11-17 19:00:00,17.000000,4
E24,2023-11-17 20:00:00,0.000000,4
E24,2023-11-17 21:00:00,0.000000,4
E24,2023-11-17 22:00:00,16.400000,4
E24,2023-11-17 23:00:00,15.400000,4
E24,2023-11-18 00:00:00,3.000000,4
E24,2023-11-18 01:00:00,9.400000,4
E24,2023-11-18 02:00:00,3.000000,4
E24,2023-11-18 03:00:00,0.000000,4
E24,2023-11-18 04:00:00,0.200000,4
E24,2023-11-18 05:00:00,21.800000,4
E24,2023-11-18 06:00:00,9.800000,4
E24,2023-11-18 07:00:00,23.200000,4
E24,2023-11-18 08:00:00,3.600000,4
E24,2023-11-18 09:00:00,3.800000,4
