MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;4;Treino;69;0.9414468831584598;5.640549252602969;0.9965940574495239;0.9985600040334573;8.24433968892457;26.456854062932507;510.0;23;45;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;5;Treino;81;0.8350491339308718;9.501324420957975;0.9940607818432887;0.9972846879488686;17.62004653706492;85.51342246661807;826.0;34;45;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;6;Treino;51;0.9599717305118295;7.0236295657215395;0.9956248480390811;0.9979680013830502;10.671661118775791;37.47236517430838;597.0;17;33;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;7;Treino;46;0.806812738654762;7.549353003686486;0.9664468890500197;0.9843272451458892;12.87587931050909;51.61481845522803;306.0;14;31;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;11;Treino;108;0.9725135389801465;5.5768867360802075;0.9973371932892254;0.9987288814817962;9.311361888053282;39.15387978941402;750.0;36;68;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;12;Treino;175;0.9560410619893612;9.305550862449971;0.998782770438566;0.9994082152826176;16.056998774310355;79.93051100632147;1696.0;38;133;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;13;Treino;60;0.8669169767373193;4.74334700751396;0.990893890864223;0.9957163756627029;7.157535176649077;29.82225688029348;285.0;28;30;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;18;Validacao;145;0.7672305806563051;9.384426673810713;0.9955968319190793;0.9978093836420687;17.7368740038338;109.97529850484125;1134.0;59;84;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;21;Validacao;113;0.9599664175389623;6.099879569975786;0.9988612304569452;0.9994657618829311;11.988617020572471;64.10046369617714;1093.0;24;85;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;22;Treino;95;0.8665126133734545;16.112691585920654;0.984801925339986;0.993589643175328;36.746496542656736;166.12862913327945;1455.0;33;60;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;23;Validacao;58;0.8977565270974408;8.495989763107705;0.9866662195818774;0.9936179338590918;12.646689667026472;36.15087715998516;358.0;12;41;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;24;Teste;199;0.9204404941407179;10.947976460004643;0.999182402444868;0.9995957924091192;15.232252159773918;54.44329173945289;1757.0;82;113;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;30;Treino;58;0.47967313830738534;14.69183533588166;0.95250079178855;0.9761264684065774;18.896766008122622;49.08185151905309;331.0;25;31;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;31;Teste;116;0.977056147528139;5.328607015246306;0.9994147603361432;0.9997207650058134;8.108769104405575;35.21595928679335;1041.0;24;91;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;34;Teste;77;0.7339026098613334;8.968366813924572;0.9849376909423089;0.9924793092853927;16.688017429777364;75.44667191696186;528.0;24;49;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;35;Teste;40;0.9262869539374139;23.983586336001213;0.9931298369451418;0.9968060315501173;38.41419545129119;141.82827626156916;1603.0;19;20;subida_e_descida
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;2;37;Teste;69;0.9608492657105724;9.224918019846873;0.998716529159928;0.9994487951230729;12.838447186571383;43.172313525021536;1091.0;36;32;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;4;Treino;69;0.9438500961350668;6.1824218236731046;0.9967338485618746;0.9986327064118551;8.073379677668619;27.504281319155666;510.0;23;45;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;5;Treino;81;0.8617294845625387;8.585645240658012;0.995021434107052;0.9977596324841899;16.1322350795204;86.88083588173595;826.0;34;45;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;6;Treino;51;0.964695598855891;7.624122245221797;0.9961411741784051;0.9981278662465356;10.02219948268786;32.72099380766474;597.0;17;33;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;7;Treino;46;0.8618125429879786;8.00504282656318;0.9759993539701666;0.9898429843976059;10.88985173074151;33.544795450528454;306.0;14;31;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;11;Treino;108;0.9747812306861641;6.639272292878508;0.9975568805268217;0.9991173891997172;8.91899123624845;39.8418981277415;750.0;36;68;subida_e_descida
