time_local,observed_m3s,simulated_m3s
2023-09-04 00:00:00,853.95,15.965207
2023-09-04 01:00:00,878.6,16.114599706698694
2023-09-04 02:00:00,921.75,30.340983567159135
2023-09-04 03:00:00,978.425,107.61356499963132
2023-09-04 04:00:00,1062.375,301.39042916168466
2023-09-04 05:00:00,1184.1,603.2346184444945
2023-09-04 06:00:00,1362.425,998.2852618691682
2023-09-04 07:00:00,1574.0249999999999,1502.7685699892916
2023-09-04 08:00:00,1797.775,2113.1063847249
2023-09-04 09:00:00,2033.525,2812.591408518567
2023-09-04 10:00:00,2302.875,3590.1607199826326
2023-09-04 11:00:00,2685.625,4441.545384465038
2023-09-04 12:00:00,3355.9,5348.679546893612
2023-09-04 13:00:00,4405.45,6238.1327850503385
2023-09-04 14:00:00,5606.325,7023.376127738109
2023-09-04 15:00:00,6860.8,7702.092353984558
2023-09-04 16:00:00,7980.1,8293.405141699117
2023-09-04 17:00:00,8891.3,8813.720561110564
2023-09-04 18:00:00,9690.849999999999,9268.247840671947
2023-09-04 19:00:00,10437.666666666666,9617.877671613467
2023-09-08 14:00:00,1900.3,3965.0968358417526
2023-09-08 15:00:00,1999.925,3890.1544496170764
2023-09-08 16:00:00,2100.2999999999997,3757.2837509416195
2023-09-08 17:00:00,2157.125,3609.718092133761
2023-09-08 18:00:00,2229.925,3467.517404377883
2023-09-08 19:00:00,2294.525,3331.7565723542903
2023-09-08 20:00:00,2360.85,3201.0738726407103
2023-09-08 21:00:00,2419.775,3075.5655980664674
2023-09-08 22:00:00,2465.375,2954.969705707176
2023-09-08 23:00:00,2502.05,2839.1038757092742
2023-09-09 00:00:00,2518.15,2727.7809927504654
2023-09-09 01:00:00,2520.45,2620.8231740580336
2023-09-09 02:00:00,2506.65,2518.059226975946
2023-09-09 03:00:00,2494.025,2419.324712505647
2023-09-09 04:00:00,2458.5249999999996,2324.4616336414033
2023-09-09 05:00:00,2423.175,2233.3181893147284
2023-09-09 06:00:00,2387.975,2146.862553014502
2023-09-09 07:00:00,2351.8,2079.236045394047
2023-09-09 08:00:00,2306.825,2056.087640504588
2023-09-09 09:00:00,2269.975,2073.0021299889668
2023-09-09 10:00:00,2237.725,2095.8137448157613
2023-09-09 11:00:00,2196.725,2114.635941744085
2023-09-09 12:00:00,2162.6,2133.4550767907112
2023-09-09 13:00:00,2140.65,2151.3969430919315
2023-09-09 14:00:00,2116.625,2168.658776543594
2023-09-09 15:00:00,2101.375,2185.240091187076
2023-09-09 16:00:00,2091.575,2200.057766556799
2023-09-09 17:00:00,2078.525,2198.8551997482305
2023-09-09 18:00:00,2063.375,2155.8733676839006
2023-09-09 19:00:00,2046.0749999999998,2075.400233909614
2023-09-09 20:00:00,2029.925,1990.8195509129996
2023-09-09 21:00:00,2015.95,1910.260629055833
2023-09-09 22:00:00,2000.9,1829.4690403853951
2023-09-09 23:00:00,1981.65,1752.1867884111302
2023-09-10 00:00:00,1968.85,1678.4153227788609
2023-09-10 01:00:00,1952.8500000000001,1606.580887499236
2023-09-10 02:00:00,1939.0500000000002,1537.5267528599793
2023-09-10 03:00:00,1925.2250000000001,1471.7856770191092
2023-09-10 04:00:00,1907.25,1408.986872833078
2023-09-10 05:00:00,1893.55,1348.6866575829893
2023-09-10 06:00:00,1879.9,1290.7801101522982
2023-09-10 07:00:00,1863.1,1236.1933646599393
2023-09-10 08:00:00,1845.275,1185.300859251088
2023-09-10 09:00:00,1819.2,1136.9147536584614
2023-09-10 10:00:00,1768.45,1090.208021216673
2023-09-10 11:00:00,1689.625,1043.7466053212195
2023-09-10 12:00:00,1597.85,998.953846749424
2023-09-10 13:00:00,1528.375,958.5351541156886
2023-09-10 14:00:00,1548.05,921.3597634407951
2023-09-10 15:00:00,1538.2,884.9096925650487
2023-09-10 16:00:00,1510.625,849.1004592290144
2023-09-10 17:00:00,1511.6,813.8718913771011
2023-09-10 18:00:00,1525.35,780.9554284879283
