time_local,observed_m3s,simulated_m3s
2024-05-04 02:00:00,4985.0,8386.826984113468
2024-05-04 03:00:00,4823.1,8450.988808296775
2024-05-04 04:00:00,4697.925,8515.262251787883
2024-05-04 05:00:00,4582.7,8540.340297866522
2024-05-04 06:00:00,4471.625,8504.705410262277
2024-05-04 07:00:00,4386.7,8424.54510133955
2024-05-04 08:00:00,4325.924999999999,8333.782291137426
2024-05-04 09:00:00,4299.775,8243.009328071386
2024-05-04 10:00:00,4309.4,8151.619540696187
2024-05-04 11:00:00,4342.45,8061.598113898656
2024-05-04 12:00:00,4389.45,7972.513259176615
2024-05-04 13:00:00,4445.075,7884.421076739222
2024-05-04 14:00:00,4488.4,7797.301166648024
2024-05-04 15:00:00,4547.425,7711.144039926004
2024-05-04 16:00:00,4650.8,7625.9388982630235
2024-05-04 17:00:00,4755.275,7541.6752423873795
2024-05-04 18:00:00,4879.7,7460.767730251896
2024-05-04 19:00:00,5010.0,7391.772825410033
2024-05-04 20:00:00,5134.425,7340.728103518093
2024-05-04 21:00:00,5255.775000000001,7300.403343958824
2024-05-04 22:00:00,5471.775,7259.032796463425
2024-05-04 23:00:00,5773.125,7206.663606850311
2024-05-05 00:00:00,6160.925,7137.782467315885
2024-05-05 01:00:00,6467.125,7059.489007493542
2024-05-05 02:00:00,6712.65,6981.129787445659
2024-05-05 03:00:00,6921.375,6904.971454837941
2024-05-05 04:00:00,7089.75,6834.932618444248
2024-05-05 05:00:00,7209.425,6776.986013830169
2024-05-05 06:00:00,7308.95,6729.013667059272
2024-05-05 07:00:00,7351.025,6682.903269496303
2024-05-05 08:00:00,7356.3,6635.326375226983
2024-05-05 09:00:00,7317.725,6584.158064743549
2024-05-05 10:00:00,7233.8,6527.0925144990515
2024-05-05 11:00:00,7131.2,6467.492325324065
2024-05-05 12:00:00,7041.375,6405.347015004899
2024-05-05 13:00:00,6996.675,6336.670205361917
2024-05-05 14:00:00,6953.8,6265.883607587488
2024-05-05 15:00:00,6912.775000000001,6196.813767751932
2024-05-05 16:00:00,6814.049999999999,6128.311738975193
2024-05-05 17:00:00,6652.1,6060.601079333766
2024-05-05 18:00:00,6450.575000000001,5993.633067742172
2024-05-05 19:00:00,6235.525,5927.405861551804
2024-05-05 20:00:00,6007.8,5861.910319394072
2024-05-05 21:00:00,5763.525,5797.13849441118
2024-05-05 22:00:00,5528.625,5733.082370564686
2024-05-05 23:00:00,5310.200000000001,5669.7340422601665
2024-05-06 00:00:00,5078.075,5607.085688281425
2024-05-06 01:00:00,4868.15,5545.12957423085
2024-05-06 02:00:00,4659.45,5483.85805112072
2024-05-06 03:00:00,4478.799999999999,5423.263554488419
2024-05-06 04:00:00,4298.5,5363.338603454827
2024-05-06 05:00:00,4136.575,5304.075799801746
2024-05-06 06:00:00,3980.125,5245.467827058385
2024-05-06 07:00:00,3823.9,5187.507449598115
2024-05-06 08:00:00,3694.725,5130.187511745163
2024-05-06 09:00:00,3566.45,5073.500936891182
2024-05-06 10:00:00,3452.55,5017.440726621603
2024-05-06 11:00:00,3352.725,4961.999959851603
2024-05-06 12:00:00,3244.5,4907.171791971661
2024-05-06 13:00:00,3161.775,4852.949454002521
2024-05-06 14:00:00,3078.75,4799.326251759513
2024-05-06 15:00:00,3000.3500000000004,4746.295565026107
2024-05-06 16:00:00,2936.625,4693.850846736582
2024-05-06 17:00:00,2875.825,4641.985622167745
2024-05-06 18:00:00,2815.625,4590.693488139579
2024-05-06 19:00:00,2758.25,4539.9681122247075
2024-05-06 20:00:00,2696.95,4489.803231966615
2024-05-06 21:00:00,2642.925,4440.192654106493
2024-05-06 22:00:00,2595.925,4391.130253818629
2024-05-06 23:00:00,2539.575,4342.6099739542515
2024-05-07 00:00:00,2487.0,4294.6258242937265
2024-05-07 01:00:00,2429.65,4247.171880807012
2024-05-07 02:00:00,2362.475,4200.242284922293
2024-05-07 03:00:00,2300.275,4153.831242802695
2024-05-07 04:00:00,2242.925,4107.933024630982
2024-05-07 05:00:00,2198.325,4062.541963902168
2024-05-07 06:00:00,2161.125,4017.652456723945
2024-05-07 07:00:00,2131.2,3973.258961124828
2024-05-07 08:00:00,2102.425,3929.3559963699627
2024-05-07 09:00:00,2075.825,3885.938142284483
2024-05-07 10:00:00,2044.5,3843.000038584341
2024-05-07 11:00:00,2019.725,3800.536384214542
2024-05-07 12:00:00,1985.3,3758.5419366946885
2024-05-07 13:00:00,1948.3,3717.0115114717432
2024-05-07 14:00:00,1911.5500000000002,3675.939981279971
2024-05-07 15:00:00,1878.7,3635.3222755079214
2024-05-07 16:00:00,1841.225,3595.1533795724254
2024-05-07 17:00:00,1808.85,3555.428334299511
2024-05-07 18:00:00,1776.7,3516.1422353121434
2024-05-07 19:00:00,1742.4,3477.290232424746
2024-05-07 20:00:00,1711.875,3438.867529044406
2024-05-07 21:00:00,1685.025,3400.8693815786937
2024-05-07 22:00:00,1653.7,3363.2910988500307
2024-05-07 23:00:00,1627.25,3326.128041516522
2024-05-08 00:00:00,1599.775,3289.3756214991954
2024-05-08 01:00:00,1574.75,3253.0293014155677
2024-05-08 02:00:00,1555.525,3217.0845940194613
2024-05-08 03:00:00,1546.45,3181.537061647026
2024-05-08 04:00:00,1543.075,3146.382315668867
2024-05-08 05:00:00,1537.475,3111.6160159482397
2024-05-08 06:00:00,1526.3,3077.233870305215
2024-05-08 07:00:00,1509.5,3043.231633986785
2024-05-08 08:00:00,1483.925,3009.6051091428103
2024-05-08 09:00:00,1458.525,2976.3501443077594
2024-05-08 10:00:00,1427.8,2943.4626338881812
2024-05-08 11:00:00,1400.625,2910.938517655831
2024-05-08 12:00:00,1375.725,2878.773780246408
2024-05-08 13:00:00,1350.0,2846.9644506638206
2024-05-08 14:00:00,1325.475,2815.5066017899435
2024-05-08 15:00:00,1309.575,2784.396349899772
2024-05-08 16:00:00,1288.55,2753.629854181956
2024-05-08 17:00:00,1265.475,2723.2033162646126
2024-05-08 18:00:00,1254.0500000000002,2696.534796908618
2024-05-08 19:00:00,1236.4,2679.933784156492
2024-05-08 20:00:00,1220.925,2670.1919973656727
2024-05-08 21:00:00,1208.6,2659.8922877631926
2024-05-08 22:00:00,1198.35,2646.245766704994
2024-05-08 23:00:00,1189.2,2623.0056316899536
2024-05-09 00:00:00,1182.05,2593.3393742700414
2024-05-09 01:00:00,1174.975,2564.6678587837223
2024-05-09 02:00:00,1166.875,2536.351720848967
2024-05-09 03:00:00,1160.8,2508.3200747668348
2024-05-09 04:00:00,1150.7,2480.605287610849
2024-05-09 05:00:00,1148.7,2453.1953632726695
2024-05-09 06:00:00,1143.7,2426.088541426732
2024-05-09 07:00:00,1136.65,2399.281202727909
2024-05-09 08:00:00,1129.65,2372.770080150782
2024-05-09 09:00:00,1124.7,2346.551894374128
2024-05-09 10:00:00,1121.7,2320.623409452765
2024-05-09 11:00:00,1118.7,2294.981424181152
2024-05-09 12:00:00,1116.7,2269.622772866501
2024-05-09 13:00:00,1115.7,2244.544324776648
2024-05-09 14:00:00,1116.7,2219.7429837753334
2024-05-09 15:00:00,1121.7,2195.215687937068
2024-05-09 16:00:00,1110.7,2170.9594091694894
2024-05-09 17:00:00,1107.7,2146.971152839471
2024-05-09 18:00:00,1104.75,2123.247957403415
2024-05-09 19:00:00,1089.95,2099.786894041633
2024-05-09 20:00:00,1073.275,2076.585066296749
