timestamp_local,observed_m3s,proxy_upstream_m3s,three_station_m3s
2023-11-16 00:00:00,1639.949951171875,1446.746992671311,1644.4163210000002
2023-11-16 01:00:00,1611.824951171875,1439.788248073399,1642.9510357655759
2023-11-16 02:00:00,1576.875,1432.672500014255,1636.5561807864426
2023-11-16 03:00:00,1553.074951171875,1424.866667862593,1624.8169387073588
2023-11-16 04:00:00,1539.175048828125,1416.1266301379837,1610.9713998899772
2023-11-16 05:00:00,1535.199951171875,1406.3552237702881,1596.530586373298
2023-11-16 06:00:00,1535.199951171875,1395.5006540680486,1582.018092902132
2023-11-16 07:00:00,1552.050048828125,1383.5145407073742,1567.5925601394156
2023-11-16 08:00:00,1594.8499755859375,1370.4477600996947,1553.3276186757998
2023-11-16 09:00:00,1689.6500244140625,1356.6853842806222,1539.4126298171007
2023-11-16 10:00:00,1820.324951171875,1342.7520117468875,1526.1927816697262
2023-11-16 11:00:00,1920.0,1328.6278099886501,1513.8584548958409
2023-11-16 12:00:00,1980.574951171875,1313.5658059835905,1502.3604301556109
2023-11-16 13:00:00,2018.0999755859375,1296.7743040131033,1491.6967639446718
2023-11-16 14:00:00,2037.449951171875,1278.4482835811837,1481.84406985801
2023-11-16 15:00:00,2061.22509765625,1259.7861335618186,1472.6476440499014
2023-11-16 16:00:00,2100.27490234375,1241.786267854879,1463.9670895714264
2023-11-16 17:00:00,2140.675048828125,1224.7870288701517,1455.7155319101898
2023-11-16 18:00:00,2174.699951171875,1208.8410579086647,1447.8321668228725
2023-11-16 19:00:00,2206.64990234375,1193.910515170365,1440.2704774471385
2023-11-16 20:00:00,2256.625,1179.929838883357,1432.9914165552207
2023-11-16 21:00:00,2343.97509765625,1166.7755142623337,1425.9442714130769
2023-11-16 22:00:00,2444.85009765625,1154.1839932577461,1419.0212388904135
2023-11-16 23:00:00,2544.77490234375,1141.794639438754,1412.048963512529
2023-11-17 00:00:00,2663.47509765625,1129.3306735453043,1404.8759650440975
2023-11-17 01:00:00,2799.324951171875,1116.6601470313153,1397.4074363789882
2023-11-17 02:00:00,2923.949951171875,1103.724960584864,1389.5443027266406
2023-11-17 03:00:00,3020.925048828125,1090.490063042044,1381.2068475372794
2023-11-17 04:00:00,3101.72509765625,1076.9224622999268,1372.3991625757399
2023-11-17 05:00:00,3183.14990234375,1062.9820169950904,1363.1402679407054
2023-11-17 06:00:00,3254.02490234375,1048.6141553167945,1353.4125696968472
2023-11-17 07:00:00,3294.0,1033.7378414472216,1343.1866353963226
2023-11-17 08:00:00,3326.60009765625,1018.2079474297359,1332.4066416990474
2023-11-17 09:00:00,3340.425048828125,1001.7548861653032,1320.9601404711118
2023-11-17 10:00:00,3345.47509765625,984.9100796723641,1309.059244654512
2023-11-17 11:00:00,3353.02490234375,971.2219335540174,1298.8665890063544
2023-11-17 12:00:00,3335.39990234375,966.2668470408572,1294.906618561215
2023-11-17 13:00:00,3320.324951171875,972.7867523698892,1300.1147589001068
2023-11-17 14:00:00,3292.75,989.7527071930554,1313.8761450091963
2023-11-17 15:00:00,3250.27490234375,1015.6006843939919,1334.8485425372482
2023-11-17 16:00:00,3219.125,1050.2002925415807,1362.9259658644492
2023-11-17 17:00:00,3227.824951171875,1094.8792899794896,1399.4878084347276
2023-11-17 18:00:00,3269.0,1151.102343059298,1446.8121085437158
2023-11-17 19:00:00,3329.175048828125,1219.5090583102674,1506.69627277442
2023-11-17 20:00:00,3422.52490234375,1300.4060870880676,1581.2777856581288
2023-11-17 21:00:00,3530.800048828125,1393.6070882807956,1671.5597864795518
2023-11-17 22:00:00,3685.449951171875,1499.4862706957915,1776.792027969544
2023-11-17 23:00:00,3893.550048828125,1623.4631837196064,1901.4629244318521
2023-11-18 00:00:00,4226.5,1774.5126508686976,2055.9797666457926
2023-11-18 01:00:00,4591.22509765625,1956.755634753561,2245.623508130287
2023-11-18 02:00:00,4985.25,2168.5678282270424,2468.4159606433755
2023-11-18 03:00:00,5452.10009765625,2406.4068714729688,2720.670757772808
2023-11-18 04:00:00,5940.72509765625,2665.2425704131715,2997.0056771799095
2023-11-18 05:00:00,6434.47509765625,2942.1183759106198,3293.30486046862
2023-11-18 06:00:00,6921.39990234375,3243.774715272877,3614.7224047801305
2023-11-18 07:00:00,7382.22509765625,3586.0874168349933,3976.203352230579
2023-11-18 08:00:00,7848.89990234375,3981.9032242916505,4391.508739476016
2023-11-18 09:00:00,8315.375,4433.011147383276,4863.164502448243
2023-11-18 10:00:00,8661.125,4931.611372501037,5382.897100569053
2023-11-18 11:00:00,8943.099609375,5464.13725798076,5937.363703171183
2023-11-18 12:00:00,9155.5,6015.226627009534,6511.090067720891
2023-11-18 13:00:00,9337.025390625,6572.596242215474,7090.1392038893555
2023-11-18 14:00:00,9548.75,7129.251981823647,7666.037521413887
2023-11-18 15:00:00,9810.75,7679.95418805975,8233.227261197459
2023-11-18 16:00:00,10101.0498046875,8218.914991255899,8785.747157165768
2023-11-18 17:00:00,10418.5751953125,8740.928780673506,9318.123869654039
2023-11-18 18:00:00,10703.650390625,9241.17348966566,9825.193581403035
2023-11-18 19:00:00,10955.474609375,9712.91826603586,10299.942053355166
2023-11-18 20:00:00,11137.775390625,10146.15841196303,10732.400778972487
2023-11-18 21:00:00,11278.4248046875,10529.908279781754,11111.589697929563
2023-11-18 22:00:00,11378.724609375,10855.055024337335,11429.80879578768
2023-11-18 23:00:00,11434.9248046875,11113.62101812255,11680.837426731558
2023-11-19 00:00:00,11434.9501953125,11298.956292783756,11857.547460315323
2023-11-19 01:00:00,11370.224609375,11411.408112589388,11959.504814473787
2023-11-19 02:00:00,11293.724609375,11459.34690914116,11996.143151514108
2023-11-19 03:00:00,11186.849609375,11451.55946403442,11977.331900505475
2023-11-19 04:00:00,11033.0,11393.578210131756,11908.981636554327
2023-11-19 05:00:00,10884.775390625,11287.14083998946,11793.744280978524
2023-11-19 06:00:00,10676.849609375,11126.277739082112,11627.654236773416
2023-11-19 07:00:00,10476.7001953125,10901.466518159648,11402.606567551107
2023-11-19 08:00:00,10242.9501953125,10616.08642877562,11117.663389107192
2023-11-19 09:00:00,9992.525390625,10288.081467736494,10785.867020727372
2023-11-19 10:00:00,9696.625,9936.715365960079,10428.063548414153
2023-11-19 11:00:00,9435.474609375,9578.560094299166,10062.64412514938
2023-11-19 12:00:00,9141.125,9223.938642034625,9700.816936117728
2023-11-19 13:00:00,8817.650390625,8878.016926298837,9347.85576455038
2023-11-19 14:00:00,8483.724609375,8543.134431432452,9005.85406208709
2023-11-19 15:00:00,8149.22509765625,8220.17977816917,8675.809042311163
2023-11-19 16:00:00,7784.77490234375,7909.405697782572,8358.074498503867
2023-11-19 17:00:00,7435.2001953125,7610.59725817279,8052.464216560686
2023-11-19 18:00:00,7098.64990234375,7323.368688391678,7758.596917243518
2023-11-19 19:00:00,6784.27490234375,7047.2909789063115,7476.040881506882
2023-11-19 20:00:00,6488.2998046875,6781.934547051851,7204.361906236502
2023-11-19 21:00:00,6200.97509765625,6526.881730205947,6943.137327674706
2023-11-19 22:00:00,5928.35009765625,6281.729892266714,6691.959547863884
2023-11-19 23:00:00,5661.0498046875,6046.091819811768,6450.436538748997
2023-11-20 00:00:00,5410.72509765625,5819.595381822953,6218.191525135157
2023-11-20 01:00:00,5177.0,5601.883007881229,5994.862463799829
2023-11-20 02:00:00,4963.5498046875,5392.611135273277,5780.10148588723
2023-11-20 03:00:00,4764.1748046875,5191.4496643648035,5573.574346311991
2023-11-20 04:00:00,4578.4248046875,4998.081431884928,5374.9598909399
2023-11-20 05:00:00,4416.97509765625,4812.201703989262,5183.94954369315
2023-11-20 06:00:00,4265.47509765625,4633.517688981306,5000.246813523593
2023-11-20 07:00:00,4110.27490234375,4461.748069086841,4823.566820657947
2023-11-20 08:00:00,3950.22509765625,4296.622550575656,4653.63584140505
2023-11-20 09:00:00,3798.800048828125,4137.881431521462,4490.190870808712
2023-11-20 10:00:00,3662.10009765625,3985.2751865108858,4332.979202449157
2023-11-20 11:00:00,3538.5,3838.5640676374805,4181.7580247213
2023-11-20 12:00:00,3419.97509765625,3697.51772114232,4036.2940329438484
2023-11-20 13:00:00,3320.35009765625,3561.9148190876085,3896.363056678523
2023-11-20 14:00:00,3241.550048828125,3431.542705473795,3761.749701662896
2023-11-20 15:00:00,3160.89990234375,3306.1970562337992,3632.247005783797
2023-11-20 16:00:00,3068.64990234375,3185.681552560137,3507.656108540697
2023-11-20 17:00:00,2950.550048828125,3069.8075670421103,3387.7859334700497
2023-11-20 18:00:00,2839.85009765625,2958.393862110704,3272.4528830223326
2023-11-20 19:00:00,2751.77490234375,2851.2663003085377,3161.4805454034613
2023-11-20 20:00:00,2684.550048828125,2748.2575659211525,3054.6994129114
2023-11-20 21:00:00,2641.175048828125,2649.206897524106,2951.9466113171766
2023-11-20 22:00:00,2594.550048828125,2553.959831017791,2853.065639857211
2023-11-20 23:00:00,2552.824951171875,2462.367952738722,2757.906121420832
2023-11-21 00:00:00,2507.800048828125,2374.2886622521173,2666.323562533181
2023-11-21 01:00:00,2440.25,2289.5849444461437,2578.179122749389
2023-11-21 02:00:00,2348.47509765625,2208.1251505630485,2493.339393090959
2023-11-21 03:00:00,2254.425048828125,2129.782787816714,2411.676183169769
2023-11-21 04:00:00,2191.22509765625,2054.436317259927,2333.066316659025
2023-11-21 05:00:00,2157.125,1981.9689595778461,2257.391434783828
2023-11-21 06:00:00,2140.675048828125,1912.2685084968384,2184.5378075168883
2023-11-21 07:00:00,2123.175048828125,1845.2271515100538,2114.3961521772117
2023-11-21 08:00:00,2102.47509765625,1780.7412976328076,2046.8614591414837
2023-11-21 09:00:00,2043.9749755859375,1718.711411912099,1981.832824389209
2023-11-21 10:00:00,1968.8499755859375,1659.041856425403,1919.2132886136324
2023-11-21 11:00:00,1913.625,1601.640737514259,1858.9096826409798
2023-11-21 12:00:00,1874.6500244140625,1546.4197590081587,1800.8324789106287
2023-11-21 13:00:00,1856.800048828125,1493.0948882032776,1744.8956487785429
2023-11-21 14:00:00,1851.550048828125,1441.3146013071441,1691.0165254156204
2023-11-21 15:00:00,1840.0250244140625,1391.4300126967144,1639.115672081545
2023-11-21 16:00:00,1826.5,1343.8690270332831,1589.1167555633594
2023-11-21 17:00:00,1807.7750244140625,1298.3100919970045,1540.9464245762217
2023-11-21 18:00:00,1788.074951171875,1254.5419648404757,1494.5341929317658
2023-11-21 19:00:00,1762.25,1213.099146440802,1449.8123272871044
2023-11-21 20:00:00,1739.625,1177.427323916444,1406.7157392948538
2023-11-21 21:00:00,1717.0999755859375,1152.247138253008,1365.1818819816033
2023-11-21 22:00:00,1692.625,1136.2929731541403,1325.4020865424263
2023-11-21 23:00:00,1668.25,1124.0959216491062,1287.55192313199
