x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
682,-9,-16,-32,-2,-1,6,-17,-11,789,-11,-26,-48,-31,-14,682,-19,-39,663,643,1,3
682,20,31,49,9,14,4,-8,-13,888,27,56,88,49,23,682,43,64,725,746,1,12
683,-4,-3,5,-5,-6,-18,-32,-11,788,-3,-10,-11,-17,-33,683,-10,2,673,685,1,3
683,-2,-5,6,1,-4,-17,-22,-31,798,1,-2,-2,-28,-10,683,-2,7,681,690,1,6
684,6,20,75,-8,-14,-15,2,-8,803,1,4,54,-16,2,684,3,-7,687,677,1,3
685,-19,-37,-91,-1,7,-5,-15,-4,802,-1,-5,-94,25,27,685,-10,-27,675,658,1,3
685,-6,-10,-15,-2,-2,-3,5,-7,831,-11,-18,-30,-16,-10,685,-16,-36,669,649,1,21
685,-3,-1,23,-5,-12,-24,-30,-24,797,-3,-5,6,-26,-8,685,-4,0,681,685,1,6
685,4,4,0,4,6,7,-17,-23,818,5,13,18,-15,-11,685,13,78,698,763,1,6
686,-10,-17,-37,-3,-1,-3,-6.59164364,26,834,-10,-20,-49,18,5,686,-17,-40,669,646,1,4
686,2,8,42,-4,-12,-33,-8,-14,798,-5,-4,20,-14,-5,686,-3,-13,683,673,1,3
686,9,24,65,-6,-12,-8,-14,-7,802,1,2,72,-16,1,686,-1,-5,685,681,1,6
686,10,20,45,0,0,-5,1,10,795,11,24,81,13,17,686,19.539,31.6686,705.539,717.6686,1,4
687,1,3,23,-1,-5,-19,-20,-12,791,-7,-12,-2,-11,-26,687,-10,-12,677,675,1,3
688,-5,-13,-24,3,0,0,-7.9736,-15,812,-9,-15,-31,-19,-21,688,5,-23,693,665,1,4
688,2,11,47,-7,-13,-18,-24,-14,800,-2,-1,37,-36,0,688,-5,-7,683,681,1,6
690,5,9,7,1,5,7,-10,-15,846,28,33,49,-1,11,690,35,93,725,783,1,6
690,11,22,31,0,5,9,-5,12,820,-9,0,44,-11,8,690,3,23,693,713,1,6
691,-7,-15,-38,1,1,4,-21,-3,800,-15,-26,-45,-35,-21,691,-19,-39,672,652,1,3
691,-4,-8,-12,0,-3,9,6,3,842,-7,-12,-17,-11,-9,691,-13,-31,678,660,1,21
691,16,48,142,-16,-33,-14,8,22,871,13,26,129,-82,15,691,25,60,716,751,1,21
692,-15,-20,-21,-10,-14,-14,-4,-10,771,-16,-51,-72,-5,-2,692,-33,-34,659,658,1,6
693,-8,-13,-24,-3,-2,-4,-13.0344,-18,821,-6,-14,-23,-17,-15,693,-12,-5,681,688,1,4
693,0,3,25,-3,-11,-6,-21,-2,843,15,23,40,-1,28,693,20,53,713,746,1,6
693,3,14,31,-8,-8,0,-23,2,828,8,-1,38,-5,25,693,7,38,700,731,1,6
695,-7,-12,-27,-2,0,6,1,0,802,-13,-35,-56,-38,-47,695,-23,-35,672,660,1,6
695,-4,-5,-21,-3,-1,19,-1,-1,849,-5,-10,-12,0,3,695,-10,-26,685,669,1,21
696,-16,-36,-59,4,-1,-6,3,-15,830,-15,-33,-87,-11,16,696,-19,-30,677,666,1,22
696,-15,-25,-39,-5,-8,-8,-1,-3,789,-20,-37,-78,1,-23,696,-30,-50,666,646,1,2
696,-7,-16,-34,2,4,0,-2.88643325,23,844,-10,-20,-46,7,13,696,-18,-39,678,657,1,4
696,10,20,40,0,0,-5,-3,8,805,10,21,73,15,16,696,16.6342,24.6422,712.6342,720.6422,1,4
697,-12,-16,-21,-8,-10,-6,1,-15,818,-23,-48,-59,-21,-44,697,-33,-43,664,654,1,12
698,-8,-16,-42,0,7,-14,-22,-2,815,-11,-20,-61,-10,-26,698,-16,-35,682,663,1,3
698,8,13,17,3,4,10,-1,-9,914,68,96,116,35,34,698,65,94,763,792,1,6
699,-17,-22,-19,-12,-17,-16,-7,-12,797,-16,-51,-59,-12,-13,699,-35,-55,664,644,1,15
699,-1,-4,-40,2,12,17,-4,3,854,-5,-7,-34,-1,28,699,-8,-21,691,678,1,21
699,74,154,203,-6,38,67,66,48,978,103,178,433,85,65,699,135,181,834,880,1,2
700,-3,-16,-57,10,20,8,-4,-2,859,-2,0,-58,3,21,700,-5,-15,695,685,1,21
700,7,7,21,7,4,-4,-2,-3,867,24,39,47,-4,32,700,31,64,731,764,1,6
701,-5,-11,-20,1,0,-5,-12.0952,-15,827,-8,-13,-17,-21,-18,701,-13,-8,688,693,1,4
702,-5,-12,-33,2,3,15,1,-5,815,-22,-25,-45,8,-90,702,-21,-35,681,667,1,6
702,4,9,38,-1,-5,-25,-12,-8,844,10,18,40,-24,-2,702,16,36,718,738,1,7
703,-13,-36,-65,10,5,-3,-6,-12,861,2,0,-71,3,-16,703,-4,-12,699,691,1,21
