x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
463,-2,-7,-35,3,13,-6,-5,2,591,8,12,-11,8,1,463,4.7995247,20.095925,467.7995247,483.095925,3,17
464,17,18,26,16,14,17,23,23,635,3,51,66,8,11,464,42.68888146,44.39651058,506.6888815,508.3965106,3,17
465,-5,-20,-29,10,8,-10,-6,-2,583,4,5,-43,8,-5,465,2.026849755,12.82623438,467.0268498,477.8262344,3,17
466,3,1,-19,5,8,16,-2,6,602,11,19,24,8,7,466,14.25033699,29.07979837,480.250337,495.0797984,3,17
467,-20,-26,-41,-14,-13,-13,-39,-40,537,-4,-51,-86,-44,19,467,-35.63283233,-42.51006739,431.3671677,424.4899326,3,16
468,-5,-13,-32,3,6,-13,-8,24,586,-4,-6,-33,-15,1,468,-6.283311732,-16.1211709,461.7166883,451.8788291,3,17
470,-15,-28,-19,-2,-19,-19,-14,-15,579,1,1,-41,5,-14,470,-7.597726451,2.786150668,462.4022735,472.7861507,3,17
471,-7,-17,-24,3,1,-9,-49,13,601,4,7,-23,8,13,471,-2.265875776,4.59479118,468.7341242,475.5947912,3,16
471,0,-7,-25,7,10,-1,-9,28,629,28,32,14,6,36,471,27.4279851,45.49574483,498.4279851,516.4957448,3,16
471,5,8,1,2,7,20,1,6,668,66,77,90,62,66,471,54.06250732,116.0605745,525.0625073,587.0605745,3,17
473,-8,-19,-19,3,0,-36,-13,12,590,-2,-6,-45,7,4,473,-8.244744072,-11.072648,464.7552559,461.927352,3,17
476,5,5,-12,5,12,13,7,19,662,33,61,61,-32,42,476,60.08573473,68.02596445,536.0857347,544.0259645,3,16
477,-3,-7,-10,1,0,-5,-19,-6,599,3,3,-9,-53,59,477,5.525156884,12.58681022,482.5251569,489.5868102,3,17
477,1,0,-7,2,4,4,-7,-49,608,5,9,8,-10,8,477,4.913926678,24.17500411,481.9139267,501.1750041,3,17
478,-12,-22,-41,-2,-2,-5,-36,-2,516,-44,-91,-124,-47,-29,478,-57.0857219,-114.8175383,420.9142781,363.1824617,3,16
478,-10,-18,-15,-2,-11,-12,-27,-4,597,3,-4,-25,50,6,478,-10.55126102,-6.601716644,467.448739,471.3982834,3,16
479,-10,-15,-21,-5,-6,-11,7,-6,592,-12,-33,-54,-5,-9,479,-22.55722504,-30.26111382,456.442775,448.7388862,3,11
480,-4,-7,-5,-1,-4,-8,-33,-4,596,0,-4,-14,-55,30,480,-1.714733237,4.320080157,478.2852668,484.3200802,3,17
480,3,4,0,2,4,7,-1,-26,615,7,12,19,-2,6,480,9.902922307,25.98036468,489.9029223,505.9803647,3,17
481,-11,-19,17,-3,-19,-28,-11,-5,592,-4,-13,-40,44,1,481,-13.45101337,-20.91960617,467.5489866,460.0803938,3,17
482,-20,-26,-35,-14,-16,-16,-13,-15,550,-9,-57,-89,-1,-75,482,-48.23140636,-55.84860388,433.7685936,426.1513961,3,17
484,-3,-3,3,-3,-5,-11,-53,3,596,-4,-8,-14,-11,1,484,-7.713443617,-3.693529247,476.2865564,480.3064708,3,17
484,42,59,17,25,56,62,49,23,614,-15,-10,73,-12,-27,484,2.984334078,-8.092722592,486.9843341,475.9072774,3,16
485,-13,-9,0,-17,-18,-18,-10,-15,578,0,-24,-37,4,-17,485,-24.03403109,-16.09176543,460.9659689,468.9082346,3,17
485,5,8,8,2,4,8,3,-11,620,5,12,24,-2,0,485,11.03636998,21.21840288,496.03637,506.2184029,3,17
485,33,83,162,-17,-26,27,61,35,652,10,33,185,36,2,485,34.00804103,52.36867185,519.008041,537.3686718,3,16
487,-6,-13,-28,1,2,-1,-39,-12,541,-47,-69,-91,-133,9,487,-59.09624357,-97.77365533,427.9037564,389.2263447,3,16
487,0,2,14,-2,-4,-12,-30,15,600,-4,-8,-6,-9,2,487,-5.759287285,-1.416749484,481.2407127,485.5832505,3,17
488,-8,-7,-3,-9,-10,-6,6,-1,594,-7,-21,-25,15,-17,488,-17.58653213,-40.38258452,470.4134679,447.6174155,3,16
489,-5,-9,-10,-1,-3,-7,12,5,604,-21,-33,-43,-19,-20,489,-20.44224413,-41.76420534,468.5577559,447.2357947,3,11
489,4,9,13,-1,1,5,4,-8,626,6,11,27,2,-1,489,9.964653207,20.36713324,498.9646532,509.3671332,3,17
490,-10,-20,-36,0,-1,-8,-15,-2,560,-47,-56,-90,-40,-52,490,-43.69999463,-102.4417259,446.3000054,387.5582741,3,16
491,-2,7,66,-11,-44,12,5,-2,622,3,8,63,11,-83,491,9.283526999,9.712289951,500.283527,500.71229,3,16
492,-8,0,45,-16,-36,-9,7,-4,596,-9,-23,12,14,-3,492,-16.21316961,-39.52450995,475.7868304,452.47549,3,17
492,21,26,27,16,18,26,16,20,694,26,92,115,21,28,492,71.04683448,94.42654188,563.0468345,586.4265419,3,17
492,28,45,49,11,27,23,48,32,619,-16,-13,49,-11,-8,492,2.287679208,-21.09396523,494.2876792,470.9060348,3,17
493,-7,-15,-27,1,0,-7,-57,-7,588,-22,-27,-52,-46,4,493,-24.59752306,-45.4409731,468.4024769,447.5590269,3,16
493,2,0,51,4,-7,-15,8,7,624,2,5,0,11,-38,493,7.342610591,10.20629957,500.3426106,503.2062996,3,16
493,9,51,54,-33,-8,37,17,-7,619,5,-10,82,14,-19,493,-6.143875636,-8.876962097,486.8561244,484.1230379,3,16
494,-4,-6,-3,-2,-5,-5,6,12,625,-12,-15,-21,-10,-11,494,-10.00927422,-17.35078341,483.9907258,476.6492166,3,11
494,5,9,17,1,0,4,8,-3,602,-24,-18,-1,-24,-79,494,-11.00334368,-29.75073016,482.9966563,464.2492698,3,17
495,2,4,11,0,4,-40,22,9,615,-9,-7,-14,-1,-35,495,-4.424363288,-17.77007188,490.5756367,477.2299281,3,16
496,-8,-25,-52,9,9,-5,8,-6,646,3,8,-45,6,7,496,4.15889077,-12.04826784,500.1588908,483.9517322,3,11
496,1,3,3,-1,-1,-8,29,9,601,-14,-23,-13,-9,-37,496,-10.1819036,-37.81361494,485.8180964,458.1863851,3,16
497,1,-7,-41,9,18,11,17,3,647,1,4,-22,3,3,497,6.195125887,-12.86022656,503.1951259,484.1397734,3,11
498,-2,-1,2,-3,-4,6,1,14,637,-3,-9,-6,7,-1,498,-5.008044281,-0.5535807271,492.9919557,497.4464193,3,11
498,4,9,18,-1,0,1,8,0,578,-24,-48,-30,-22,-80,498,-26.40100974,-49.67098628,471.5989903,448.3290137,3,17
499,2,3,-22,1,10,19,12,4,646,-1,0,0,15,-1,499,1.040445655,-11.86417203,500.0404457,487.135828,3,11
500,-10,-19,-28,-1,-3,-19,-10,-11,607,-9,-20,-51,5,-74,500,-18.80431484,-34.05970968,481.1956852,465.9402903,3,16
500,-8,-15,-20,-1,-3,-24,-67,-2,610,-5,-13,-39,-17,-2,500,-12.80543905,-16.18016098,487.194561,483.819839,3,16
500,1,3,-4,-1,0,18,5,7,640,-6,-7,2,19,-5,500,-3.382139062,-9.538675021,496.6178609,490.461325,3,11
500,8,36,54,-20,-9,5,37,13,605,-14,-30,35,-10,-7,500,-14.68726267,-45.08022852,485.3127373,454.9197715,3,17
500,24,29,22,19,24,34,22,7,664,2,35,70,-3,10,500,31.93888466,31.66544211,531.9388847,531.6654421,3,16
502,-6,-10,-19,-2,-1,0,0,-3,559,-48,-71,-85,-41,-59,502,-48.15779119,-105.6925964,453.8422088,396.3074036,3,17
504,19,52,161,-14,-31,-1,35,22,649,-3,7,96,53,-8,504,9.955953151,8.973344245,513.9559532,512.9733442,3,16
508,-7,-12,4,-2,-7,-26,-27,9,615,-8,-17,-37,-13,-6,508,-14.29895601,-21.49752153,493.701044,486.5024785,3,16
508,-4,-9,-19,1,0,3,3,-9,607,-23,-27,-42,-15,-31,508,-19.20854646,-47.4295649,488.7914535,460.5704351,3,17
510,-9,-16,-9,-2,-7,-28,-2,-11,616,-11,-24,-48,-2,-33,510,-18.19477703,-35.50421621,491.805223,474.4957838,3,16
512,-5,-9,-22,-1,1,0,2,-19,630,-4,-9,-25,1,-8,512,-8.118283069,-15.72039839,503.8817169,496.2796016,3,17
515,-5,-5,30,-5,-21,-38,-11,23,623,-9,-17,-19,-10,-6,515,-13.28306518,-29.09714111,501.7169348,485.9028589,3,16
517,-4,-10,-22,2,3,3,1,-26,634,-5,-10,-26,-8,-6,517,-7.556958167,-12.91438994,509.4430418,504.0856101,3,17
519,-7,-9,19,-5,-16,-31,3,-9,627,-13,-23,-35,-15,-9,519,-15.31603288,-39.7487714,503.6839671,479.2512286,3,16
519,19,43,48,-5,14,26,17,-23,658,-6,-4,61,9,-1,519,1.418463294,-9.747102382,520.4184633,509.2528976,3,16
520,0,16,68,-16,-19,-50,0,32,632,-8,-17,13,-2,-8,520,-14.94975526,-22.22286783,505.0502447,497.7771322,3,16
