x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
479,-11,-22,-40,0,0,-11,-21,-15,602,-10,-21,-60,-25,0,479,-18.55463315,-31.91885599,460.4453669,447.081144,2,18
479,-5,-8,-13,-2,-3,-2,-2,-1,546,-36,-64,-72,-33,-32,479,-40.33658614,-82.66751047,438.6634139,396.3324895,2,13
480,-3,-5,-10,-1,-1,-1,1,5,605,-1,-4,-10,4,-15,480,-3.4801477,-1.419226467,476.5198523,478.5807735,2,13
481,-2,-3,-4,-1,-2,0,-1,0,609,-3,-4,-8,1,1,481,-2.769628063,-9.216380318,478.2303719,471.7836197,2,13
480.9596,27.9596,47.9596,80.9596,7.9596,9.9596,20.9596,24.9596,27.9596,711,81,129,207,74,82,480.9596,114.5864736,177.1644262,595.5460736,658.1240262,2,5
482,15,26,29,4,11,22,16,16,640,18,32,64,21,19,482,30.51312581,79.92606267,512.5131258,561.9260627,2,13
483,-1,-1,-4,-1,0,0,1,-2,612,-1,-2,-5,2,16,483,-0.6787740971,-5.208680363,482.3212259,477.7913196,2,13
484,-3,-5,-11,-1,0,-1,0,0,582,-28,-31,-39,-26,-24,484,-23.87871991,-53.31920833,460.1212801,430.6807917,2,13
484,-1,-3,-4,1,0,-1,2,-19,614,-1,-3,-5,0,-2,484,-0.1090007762,-1.746851374,483.8909992,482.2531486,2,13
484,0,-1,-4,1,2,0,4,-9,613,-1,-2,-5,3,6,484,0.3908377522,-3.109559233,484.3908378,480.8904408,2,13
485,-2,-3,-3,-1,-2,-1,0,-18,615,-2,-2,-5,-10,-3,485,-1.003866743,-2.419624984,483.9961333,482.580375,2,13
485,-1,-2,-3,0,0,0,4,3,582,2,2,-2,7,8,485,0.5977378831,9.025124826,485.5977379,494.0251248,2,5
486,-1,-2,-3,0,-1,1,3,4,580,0,-1,-5,5,6,486,-1.306482113,3.882682586,484.6935179,489.8826826,2,5
486,0,1,-1,-1,1,1,1,4,586,4,4,5,9,9,486,1.77869077,17.0181633,487.7786908,503.0181633,2,5
486,1,0,-2,2,2,1,4,5,582,0,2,0,4,7,486,1.551827997,10.03644609,487.551828,496.0364461,2,5
487,-3,-5,-12,-1,1,1,3,4,611,-2,-4,-13,8,3,487,-3.859546904,-4.775030726,483.1404531,482.2249693,2,13
