x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
265,3,4,4,2,3,2,2,1,352,2,5,5,2,2,265,5.313956409,5.048121184,270.3139564,270.0481212,1,3
266,-5,-13,-16,3,0,-11,-5,-25,334,5,5,-19,5,1,266,0.9287474662,13.12055885,266.9287475,279.1205588,1,4
266,2,0,-13,4,7,7,-5,-16,349,11,15,19,12,12,266,10.56668933,32.74598142,276.5666893,298.7459814,1,4
267,1,3,-4,-1,3,9,-7,-3,364,15,26,35,8,-7,267,13.88894269,42.28656687,280.8889427,309.2865669,1,4
267,37,57,68,17,24,45,39,44,540,44,127,233,44,44,267,134.7601071,168.25774,401.7601071,435.25774,2,18
268,3,6,7,0,2,3,1,1,352,0,2,6,-1,-1,268,2.212552979,-0.3962054472,270.212553,267.6037946,1,3
270,1,2,4,0,0,-3,10,0,355,4,6,5,23,1,270,4.240441898,3.393164875,274.2404419,273.3931649,1,2
271,-8,-13,-5,-3,-10,-16,-12,-11,329,0,-1,-35,-7,-5,271,-8.204266102,-4.439321252,262.7957339,266.5606787,1,4
271,1,2,4,0,0,0,1,-2,362,7,11,12,20,5,271,6.377785141,12.47907543,277.3777851,283.4790754,1,2
272,5,6,6,4,3,10,-1,5,374,10,25,45,6,-43,272,20.0043265,39.42786516,292.0043265,311.4278652,1,4
279,-5,-3,11,-7,-11,-12,-23,-9,329,-1,-9,-33,-25,-3,279,-12.49165336,-10.98846813,266.5083466,268.0115319,1,4
281,9,14,17,4,8,11,7,7,381,7,17,47,2,-17,281,17.74858934,31.18838249,298.7485893,312.1883825,1,4
284,2,8,23,-4,-6,0,-31,-6,330,-8,-23,-27,-61,-7,284,-15.46734503,-23.88363517,268.532655,260.1163648,1,4
284,77,88,107,66,69,68,76,77,604,26,121,355,26,26,284,220.3684388,127.5608854,504.3684388,411.5608854,1,9
285,8,14,16,2,7,7,0,16,433,33,71,84,23,33,285,50.71569174,77.41321612,335.7156917,362.4132161,1,2
294,13,22,28,4,8,11,18,6,394,13,20,56,11,6,294,24.87799042,41.3957629,318.8779904,335.3957629,1,4
303,49,83,91,15,44,45,60,48,477,4,15,161,20,8,303,39.27919401,39.20195041,342.279194,342.2019504,1,15
305,12,24,32,0,9,7,12,12,432,58,71,80,58,58,305,54.90354047,106.3037767,359.9035405,411.3037767,1,3
306,12,25,39,-1,3,11,20,4,410,16,29,61,27,16,306,25.79650397,49.08276128,331.796504,355.0827613,1,4
