index,observed_m3s,simulated_m3s
0,158.8000030517578,129.72245801193878
1,117.2249984741211,129.44550855891708
2,76.5,129.1691503759091
3,55.25,128.89338220058983
4,44.54999923706055,128.6182027733292
5,39.599998474121094,128.34361083718636
6,36.75,128.069605137904
7,35.54999923706055,127.79618442390256
8,34.849998474121094,127.52334744627451
9,34.400001525878906,127.25109295877867
10,34.17499923706055,126.97941971783452
11,33.724998474121094,126.70832648251647
12,33.724998474121094,126.43781201454827
13,33.5,126.1678750782973
14,33.5,125.89851444076892
15,33.5,125.62972887160089
16,36.57500076293945,125.3615171430577
17,86.5,125.09387803002498
18,158.125,124.8268103100039
19,176.85000610351562,124.56031276310561
20,170.14999389648438,124.29438417204562
21,160.89999389648438,124.0290233221383
22,151.47500610351562,123.76422900129126
23,146.8249969482422,123.49999999999987
24,128.6999969482422,123.23633511134173
25,88.3499984741211,122.97323313097112
26,62.099998474121094,122.71069285711356
27,48.974998474121094,122.44871309056023
28,42.5,122.18729263466261
29,39.125,121.92643029532691
30,37.95000076293945,121.66612488100867
31,37.70000076293945,121.4063752027073
32,41.04999923706055,121.14718007396066
33,45.57500076293945,120.8885383108396
34,48.974998474121094,120.63044873194265
35,50.025001525878906,120.37291015839051
36,52.25,120.11592141382071
37,104.5999984741211,119.85948132438229
38,173.0749969482422,119.60358871873034
39,203.47500610351562,119.34824242802071
40,210.6750030517578,119.09344128590469
41,209.25,118.83918412852361
42,205.35000610351562,118.5854697945036
43,209.72500610351562,118.33229712495022
44,221.0,118.07966496344324
45,229.52499389648438,117.82757215603128
46,238.6750030517578,117.57601755122658
47,234.625,117.32499999999976
48,205.9250030517578,117.07451835577453
49,182.375,116.82457147442246
50,173.25,116.57515821425777
51,172.8000030517578,116.32627743603211
52,175.5,116.07999255613241
53,183.75,115.84088496166135
54,196.35000610351562,115.61271829860269
55,220.5749969482422,115.39559148903218
56,248.0,115.18755190248297
57,265.95001220703125,114.98784833708632
58,286.17498779296875,114.79653069324917
59,318.75,114.61300282432946
60,351.29998779296875,114.43635343582606
61,409.45001220703125,114.26597183226883
62,497.9750061035156,114.1013293343898
63,541.3499755859375,113.94201677217494
64,559.5,113.78772362320188
65,558.1500244140625,113.63819482497813
66,565.5999755859375,113.49321398877996
67,586.8250122070312,113.35259365209289
68,586.125,113.21616889758728
69,591.0,113.08383712986455
70,597.9000244140625,112.9555913882
71,612.5999755859375,112.83171856766675
72,644.5,112.71234356958846
73,701.2249755859375,112.59848700562472
74,775.0750122070312,112.49196821690902
75,874.9249877929688,112.39379357003811
76,989.3250122070312,112.30450889534316
77,1102.8499755859375,112.22541875948224
78,1222.050048828125,112.15726621587828
79,1411.2249755859375,112.10046378242818
80,1783.4749755859375,112.05540483703436
81,2668.27490234375,112.02271770509832
82,4166.4248046875,112.0027674335385
83,5584.5,111.99477323565651
84,7420.35009765625,111.99799532346199
85,9411.5751953125,112.01151038947458
86,10827.275390625,112.03464466612729
87,11917.474609375,112.06845813587971
88,12940.4248046875,112.11385159435268
89,13854.724609375,112.16962673126648
90,14602.025390625,112.23477168828414
91,15057.0,112.30871778801013
92,15292.4248046875,112.39139370977317
93,15447.875,112.48274588826892
94,15282.9248046875,112.58231581678064
95,15063.83984375,112.68970670235605
96,14627.9521484375,112.80463157386002
97,14087.4677734375,112.92684831801499
98,13644.044921875,113.05614387801448
99,13151.6650390625,113.1923266813856
100,12659.8125,113.33522211128022
101,12166.107421875,113.48466946180265
102,11727.955078125,113.64051973957307
103,11248.4599609375,113.80263399877907
104,10776.7373046875,113.97088203661906
105,10253.447265625,114.14514134471148
106,9776.2529296875,114.32529624930737
107,9258.2724609375,114.51123719493434
108,8673.912109375,114.70286013961007
109,8232.2998046875,114.90006603854091
110,7864.47998046875,115.10276039914453
111,7478.46240234375,115.3108528943622
112,6991.4775390625,115.52425702417791
113,6648.24755859375,115.74288981742107
114,6229.5,115.96667156754134
115,5977.89990234375,116.1955255972666
116,5687.72998046875,116.42937804799735
117,5165.66748046875,116.66815769052613
118,4794.89013671875,116.91179575425092
119,4606.8251953125,117.16022577251566
120,4475.68505859375,117.41338344208421
121,4374.22021484375,117.67120649505782
122,4176.892578125,117.9336345817956
123,3908.767578125,118.20060916360225
124,3596.25244140625,118.47207341411888
125,3400.9150390625,118.7479721284948
126,3292.20751953125,119.02825163953915
127,3231.070068359375,119.31285974015206
128,3205.97509765625,119.60174561142182
129,3079.00244140625,119.89485975584839
130,2941.18994140625,120.19215393521645
131,2752.08740234375,120.49358111269596
132,2607.70751953125,120.79909539879533
133,2531.282470703125,121.10865200083288
134,2335.739990234375,121.42220717562847
135,2095.905029296875,121.73971818514767
136,2014.5,122.06114325485837
137,1981.4300537109375,122.38644153458398
138,1981.425048828125,122.71557306165829
139,1974.842529296875,123.04849872620524
140,1954.0450439453125,123.38518023838495
141,1917.0400390625,123.72558009746
142,1884.60498046875,124.06966156255102
143,1841.7049560546875,124.4173886249611
144,1781.22998046875,124.76872598195952
145,1741.322509765625,125.12363901192467
146,1703.8349609375,125.48209375075444
147,1654.3349609375,125.84405686945992
148,1614.5474853515625,126.20949565286504
149,1567.092529296875,126.57837797934141
150,1500.3824462890625,126.95067230151238
151,1449.3375244140625,127.32634762786662
152,1420.1949462890625,127.70537350522477
153,1403.7900390625,128.08772000200798
154,1375.02001953125,128.47335769226083
155,1357.8699951171875,128.86225764038377
156,1328.5274658203125,129.2543913865344
157,1306.905029296875,129.64973093265982
158,1277.0625,130.04824872912369
159,1257.6175537109375,130.4499176618957
160,1230.030029296875,130.8547110402726
161,1212.68505859375,131.26260258510166
162,1189.0999755859375,131.67356641748023
163,1168.385009765625,132.08757704790625
164,1146.91748046875,132.50460936585614
165,1130.0274658203125,132.92463862976814
166,1111.4725341796875,133.3480386212321
167,1095.6650390625,133.77511449473687
168,1081.6824951171875,134.20667544299184
169,1072.114990234375,134.64373618036117
170,1060.842529296875,135.0869137527808
171,1050.47998046875,135.5370631391207
172,1056.532470703125,135.99412668754812
173,1081.6925048828125,136.45727508424352
174,1113.2425537109375,136.9258784206887
175,1150.4949951171875,137.39957378589529
176,1210.0050048828125,137.87811305377187
177,1278.9549560546875,138.36130568464554
178,1353.199951171875,138.84899686982578
179,1430.9024658203125,139.34105617339898
180,1500.407470703125,139.83737081703526
181,1545.0574951171875,140.3378413745662
182,1581.1624755859375,140.84237884880972
183,1619.635009765625,141.35090259925812
184,1664.612548828125,141.86333882216832
185,1709.0174560546875,142.37961940463362
186,1741.2950439453125,142.89968104060193
187,1754.905029296875,143.42346453562385
188,1769.60498046875,143.95091425086665
189,1764.3499755859375,144.48197765202298
190,1760.1500244140625,145.01660493864676
191,1735.0350341796875,145.55474873612945
192,1715.2449951171875,146.09636383714286
193,1683.135009765625,146.64140698263418
194,1656.3924560546875,147.18983667479802
195,1627.77001953125,147.74161301616311
196,1603.387451171875,148.29669757020304
197,1573.0975341796875,148.8550532398341
198,1549.0400390625,149.41721928640882
199,1522.1324462890625,149.98363647663427
200,1504.300048828125,150.55400443031914
201,1483.5875244140625,151.1280635301519
202,1478.6724853515625,151.70568744319897
203,1474.74755859375,152.28678705012493
204,1466.9033203125,152.87129143901444
205,1460.0574951171875,153.45914049819842
206,1454.1949462890625,154.05028127616896
207,1450.2950439453125,154.64466593465835
208,1442.5074462890625,155.24225048812286
209,1438.6175537109375,155.84299397425966
210,1429.8800048828125,156.44685787961805
211,1418.2574462890625,157.05380572537626
212,1408.6075439453125,157.6638027585463
213,1399.93994140625,158.27681571531596
214,1395.135009765625,158.89281263537742
215,1379.7950439453125,159.51176271330112
216,1373.1099853515625,160.1336361774754
217,1362.62255859375,160.75840418998848
218,1353.12255859375,161.38603876271466
219,1336.072509765625,162.01651268614404
220,1321.927490234375,162.64979946838017
221,1305.030029296875,163.2858732823584
222,1207.864990234375,163.92470891978752
223,1062.6199951171875,164.56628175065026
224,1015.39501953125,165.21056768734513
225,983.2449951171875,165.85754315273653
226,972.3300170898438,166.50718505152525
227,981.5599975585938,167.15947074445822
228,1006.905029296875,167.81437802498573
229,1050.510009765625,168.4718850980396
230,1103.5849609375,169.13197056066215
231,1188.7574462890625,169.79461338425722
232,1352.217529296875,170.45979289827187
233,1375.0174560546875,171.12748877514485
234,1374.06494140625,171.7976810163814
235,1329.512451171875,172.47034993963553
