protocol,dataset,label,horizon_h,lookback_h,fold_id,validation_event,test_event,train_event_count,train_rows,validation_rows,test_rows,train_end,test_start,seed,common_source_contract,model,backend,fit_seconds,status,error,warnings,n_train,epochs_run,best_epoch,best_validation_loss_scaled,n_validation,parameter_count,history_tail
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Seq2Seq · decoder 1 passo,pytorch-cpu,0.09164269990287721,completed,,,883.0,18.0,18.0,0.3722417652606964,295.0,10785.0,"[{'epoch': 14, 'train_loss': 0.6917163133621216, 'validation_loss': 0.48566868901252747}, {'epoch': 15, 'train_loss': 0.6671399474143982, 'validation_loss': 0.45628616213798523}, {'epoch': 16, 'train_loss': 0.6427488327026367, 'validation_loss': 0.42743080854415894}, {'epoch': 17, 'train_loss': 0.6186386346817017, 'validation_loss': 0.39932945370674133}, {'epoch': 18, 'train_loss': 0.5949450135231018, 'validation_loss': 0.3722417652606964}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Transformer temporal,pytorch-cpu,0.13231240003369749,completed,,,883.0,18.0,18.0,0.13798990845680237,295.0,9217.0,"[{'epoch': 14, 'train_loss': 0.4014109671115875, 'validation_loss': 0.19139838218688965}, {'epoch': 15, 'train_loss': 0.38853880763053894, 'validation_loss': 0.17970702052116394}, {'epoch': 16, 'train_loss': 0.37697967886924744, 'validation_loss': 0.16709041595458984}, {'epoch': 17, 'train_loss': 0.3643476068973541, 'validation_loss': 0.15296077728271484}, {'epoch': 18, 'train_loss': 0.34947606921195984, 'validation_loss': 0.13798990845680237}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,DLinear experimental,pytorch-cpu,0.009800500003620982,completed,,,883.0,18.0,18.0,0.1687646359205246,295.0,32.0,"[{'epoch': 14, 'train_loss': 0.29737603664398193, 'validation_loss': 0.20363231003284454}, {'epoch': 15, 'train_loss': 0.2877238988876343, 'validation_loss': 0.19418589770793915}, {'epoch': 16, 'train_loss': 0.2786131799221039, 'validation_loss': 0.1852383017539978}, {'epoch': 17, 'train_loss': 0.2700149714946747, 'validation_loss': 0.17677077651023865}, {'epoch': 18, 'train_loss': 0.26190072298049927, 'validation_loss': 0.1687646359205246}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,NLinear experimental,pytorch-cpu,0.007186900009401143,completed,,,883.0,18.0,18.0,0.8647086024284363,295.0,61.0,"[{'epoch': 14, 'train_loss': 1.0006822347640991, 'validation_loss': 0.9111044406890869}, {'epoch': 15, 'train_loss': 0.9839613437652588, 'validation_loss': 0.8981895446777344}, {'epoch': 16, 'train_loss': 0.968657374382019, 'validation_loss': 0.8862005472183228}, {'epoch': 17, 'train_loss': 0.9546404480934143, 'validation_loss': 0.8750651478767395}, {'epoch': 18, 'train_loss': 0.9417772889137268, 'validation_loss': 0.8647086024284363}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,TSMixer experimental,pytorch-cpu,0.06351689994335175,completed,,,883.0,18.0,18.0,0.6242194175720215,295.0,1619.0,"[{'epoch': 14, 'train_loss': 0.7777454853057861, 'validation_loss': 0.7398078441619873}, {'epoch': 15, 'train_loss': 0.7602759003639221, 'validation_loss': 0.7086173295974731}, {'epoch': 16, 'train_loss': 0.7444463968276978, 'validation_loss': 0.6788531541824341}, {'epoch': 17, 'train_loss': 0.7301626801490784, 'validation_loss': 0.6506727933883667}, {'epoch': 18, 'train_loss': 0.7172923684120178, 'validation_loss': 0.6242194175720215}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,N-BEATS experimental,pytorch-cpu,0.028938300092704594,completed,,,883.0,17.0,10.0,0.08989366143941879,295.0,20158.0,"[{'epoch': 13, 'train_loss': 0.10728678107261658, 'validation_loss': 0.1276065707206726}, {'epoch': 14, 'train_loss': 0.11322659254074097, 'validation_loss': 0.12990881502628326}, {'epoch': 15, 'train_loss': 0.10992846637964249, 'validation_loss': 0.12248651683330536}, {'epoch': 16, 'train_loss': 0.09919270128011703, 'validation_loss': 0.11189663410186768}, {'epoch': 17, 'train_loss': 0.08941071480512619, 'validation_loss': 0.10386617481708527}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,N-HiTS-lite experimental,pytorch-cpu,0.016528000007383525,completed,,,883.0,18.0,18.0,0.11545485258102417,295.0,2353.0,"[{'epoch': 14, 'train_loss': 0.2441956102848053, 'validation_loss': 0.14833328127861023}, {'epoch': 15, 'train_loss': 0.2391800731420517, 'validation_loss': 0.14015696942806244}, {'epoch': 16, 'train_loss': 0.2296336442232132, 'validation_loss': 0.1314059942960739}, {'epoch': 17, 'train_loss': 0.21629780530929565, 'validation_loss': 0.12292186915874481}, {'epoch': 18, 'train_loss': 0.20047971606254578, 'validation_loss': 0.11545485258102417}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,PatchTST experimental,pytorch-cpu,0.09662680001929402,completed,,,883.0,18.0,18.0,0.18173135817050934,295.0,9089.0,"[{'epoch': 14, 'train_loss': 0.4230382740497589, 'validation_loss': 0.23943303525447845}, {'epoch': 15, 'train_loss': 0.4118005335330963, 'validation_loss': 0.22852447628974915}, {'epoch': 16, 'train_loss': 0.40199562907218933, 'validation_loss': 0.21584029495716095}, {'epoch': 17, 'train_loss': 0.39036503434181213, 'validation_loss': 0.20000970363616943}, {'epoch': 18, 'train_loss': 0.375374436378479, 'validation_loss': 0.18173135817050934}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,TFT-lite experimental,pytorch-cpu,0.12473889999091625,completed,,,883.0,18.0,18.0,0.12303163856267929,295.0,11889.0,"[{'epoch': 14, 'train_loss': 0.42045778036117554, 'validation_loss': 0.20321866869926453}, {'epoch': 15, 'train_loss': 0.4069884121417999, 'validation_loss': 0.1824856847524643}, {'epoch': 16, 'train_loss': 0.3847752809524536, 'validation_loss': 0.15488293766975403}, {'epoch': 17, 'train_loss': 0.3535352349281311, 'validation_loss': 0.13181225955486298}, {'epoch': 18, 'train_loss': 0.325224906206131, 'validation_loss': 0.12303163856267929}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Persistência,baseline,0.0,completed,,,,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Ridge,scikit-learn,0.0005574000533670187,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Elastic Net,scikit-learn,0.022854299983009696,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,SVR,scikit-learn,0.05449499993119389,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,MLP,scikit-learn,0.18696379999164492,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Random Forest,scikit-learn,2.1357289999723434,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Extra Trees,scikit-learn,0.8995140999322757,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,HistGradientBoosting,scikit-learn,0.4563131000613794,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,XGBoost,xgboost,0.30997990001924336,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,LightGBM,lightgbm,0.30874679994303733,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,CatBoost,catboost,3.7261829000199214,completed,,[],1178.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,CNN-1D temporal,pytorch-cpu,0.05518650007434189,completed,,,1178.0,18.0,18.0,0.01909373141825199,214.0,4609.0,"[{'epoch': 14, 'train_loss': 0.23347488045692444, 'validation_loss': 0.02508443407714367}, {'epoch': 15, 'train_loss': 0.22792959213256836, 'validation_loss': 0.02401718683540821}, {'epoch': 16, 'train_loss': 0.21296600997447968, 'validation_loss': 0.022531768307089806}, {'epoch': 17, 'train_loss': 0.192313551902771, 'validation_loss': 0.020822912454605103}, {'epoch': 18, 'train_loss': 0.1701652705669403, 'validation_loss': 0.01909373141825199}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,LSTM,pytorch-cpu,0.05313150002621114,completed,,,1178.0,18.0,18.0,0.029614359140396118,214.0,6305.0,"[{'epoch': 14, 'train_loss': 0.5717513561248779, 'validation_loss': 0.031604569405317307}, {'epoch': 15, 'train_loss': 0.5436137318611145, 'validation_loss': 0.030612029135227203}, {'epoch': 16, 'train_loss': 0.5166897177696228, 'validation_loss': 0.029951106756925583}, {'epoch': 17, 'train_loss': 0.4911233186721802, 'validation_loss': 0.029621994122862816}, {'epoch': 18, 'train_loss': 0.46706488728523254, 'validation_loss': 0.029614359140396118}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,GRU,pytorch-cpu,0.060855999938212335,completed,,,1178.0,16.0,9.0,0.029541831463575363,214.0,4737.0,"[{'epoch': 12, 'train_loss': 0.3673919141292572, 'validation_loss': 0.032547727227211}, {'epoch': 13, 'train_loss': 0.34413161873817444, 'validation_loss': 0.03463315591216087}, {'epoch': 14, 'train_loss': 0.32511278986930847, 'validation_loss': 0.036958690732717514}, {'epoch': 15, 'train_loss': 0.3097379505634308, 'validation_loss': 0.039322346448898315}, {'epoch': 16, 'train_loss': 0.2973742187023163, 'validation_loss': 0.04152709245681763}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,TCN,pytorch-cpu,0.07780249998904765,completed,,,1178.0,18.0,18.0,0.020542103797197342,214.0,7713.0,"[{'epoch': 14, 'train_loss': 0.24243904650211334, 'validation_loss': 0.02766476385295391}, {'epoch': 15, 'train_loss': 0.21192358434200287, 'validation_loss': 0.025245897471904755}, {'epoch': 16, 'train_loss': 0.17873764038085938, 'validation_loss': 0.023112796247005463}, {'epoch': 17, 'train_loss': 0.1536106914281845, 'validation_loss': 0.021538250148296356}, {'epoch': 18, 'train_loss': 0.1404525488615036, 'validation_loss': 0.020542103797197342}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Seq2Seq · decoder 1 passo,pytorch-cpu,0.0760973000433296,completed,,,1178.0,18.0,18.0,0.03532455489039421,214.0,10785.0,"[{'epoch': 14, 'train_loss': 0.6721259355545044, 'validation_loss': 0.04197237268090248}, {'epoch': 15, 'train_loss': 0.6458161473274231, 'validation_loss': 0.039928462356328964}, {'epoch': 16, 'train_loss': 0.6196293234825134, 'validation_loss': 0.038118403404951096}, {'epoch': 17, 'train_loss': 0.5936735272407532, 'validation_loss': 0.03657388314604759}, {'epoch': 18, 'train_loss': 0.5680983662605286, 'validation_loss': 0.03532455489039421}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,Transformer temporal,pytorch-cpu,0.12811699998565018,completed,,,1178.0,18.0,18.0,0.010051709599792957,214.0,9217.0,"[{'epoch': 14, 'train_loss': 0.34608200192451477, 'validation_loss': 0.022275229915976524}, {'epoch': 15, 'train_loss': 0.33364883065223694, 'validation_loss': 0.016435176134109497}, {'epoch': 16, 'train_loss': 0.32337287068367004, 'validation_loss': 0.013108805753290653}, {'epoch': 17, 'train_loss': 0.3124813139438629, 'validation_loss': 0.011205076240003109}, {'epoch': 18, 'train_loss': 0.29949161410331726, 'validation_loss': 0.010051709599792957}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,DLinear experimental,pytorch-cpu,0.017295300029218197,completed,,,1178.0,18.0,18.0,0.0341084823012352,214.0,32.0,"[{'epoch': 14, 'train_loss': 0.2867337167263031, 'validation_loss': 0.03789672255516052}, {'epoch': 15, 'train_loss': 0.2766943871974945, 'validation_loss': 0.03689200058579445}, {'epoch': 16, 'train_loss': 0.2671944797039032, 'validation_loss': 0.03593043237924576}, {'epoch': 17, 'train_loss': 0.2582090198993683, 'validation_loss': 0.035004813224077225}, {'epoch': 18, 'train_loss': 0.2497129589319229, 'validation_loss': 0.0341084823012352}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,NLinear experimental,pytorch-cpu,0.01143370009958744,completed,,,1178.0,18.0,18.0,0.06973662227392197,214.0,61.0,"[{'epoch': 14, 'train_loss': 1.0066454410552979, 'validation_loss': 0.08133633434772491}, {'epoch': 15, 'train_loss': 0.9898735284805298, 'validation_loss': 0.07795380055904388}, {'epoch': 16, 'train_loss': 0.9745784997940063, 'validation_loss': 0.07490737736225128}, {'epoch': 17, 'train_loss': 0.9606379270553589, 'validation_loss': 0.07217589765787125}, {'epoch': 18, 'train_loss': 0.9479236602783203, 'validation_loss': 0.06973662227392197}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,TSMixer experimental,pytorch-cpu,0.06861750001553446,completed,,,1178.0,18.0,18.0,0.1420029252767563,214.0,1619.0,"[{'epoch': 14, 'train_loss': 0.764137864112854, 'validation_loss': 0.158192440867424}, {'epoch': 15, 'train_loss': 0.7436150908470154, 'validation_loss': 0.15189458429813385}, {'epoch': 16, 'train_loss': 0.7249370813369751, 'validation_loss': 0.14719392359256744}, {'epoch': 17, 'train_loss': 0.7080296277999878, 'validation_loss': 0.14394450187683105}, {'epoch': 18, 'train_loss': 0.6928225159645081, 'validation_loss': 0.1420029252767563}]"
