candidate_id,constant_loss,event_id,initial_flow_ratio,initial_loss,k,mae_m3s,nse,observed_peak_m3s,pairs,peak_lag_hours,peak_relative_error,recession,research_score,rmse_m3s,simulated_peak_m3s,status,storage,tc
33,2.0,E28,0.003,2.5,1.0,502.7223928560104,0.8630757708038599,7886.72509765625,209,1.0,0.03509487500740467,0.8,0.8360567958023789,660.2346242310581,7609.9414661362425,replay_scored_not_promoted,25.0,25.0
29,1.5,E28,0.003,2.5,1.0,500.4551093570907,0.8584239273885286,7886.72509765625,209,1.0,0.08144743070293399,0.8,0.8221344412479418,671.3563080878492,7244.371601791802,replay_scored_not_promoted,30.0,25.0
24,2.0,E28,0.003,2.5,1.0,531.4796858941576,0.8388077174003922,7886.72509765625,209,0.0,0.13262716726354415,0.8,0.8122822839476833,716.3582489982903,6840.731088967803,replay_scored_not_promoted,30.0,24.0
32,2.0,E28,0.003,2.5,1.0,585.298881900849,0.8322163972151658,7886.72509765625,209,0.0,0.10176578591160092,0.8,0.8118632400328456,730.857825520764,8689.323875487986,replay_scored_not_promoted,20.0,25.0
23,2.0,E28,0.003,2.5,1.0,529.2769935148148,0.8448199872214724,7886.72509765625,209,-1.0,0.12375315719693966,0.8,0.8000693557820845,702.8716640001518,6910.717966876947,replay_scored_not_promoted,30.0,23.0
38,2.0,E28,0.003,2.5,0.75,528.3765818254559,0.8406813547737821,7886.72509765625,209,1.0,0.14129469019725788,0.8,0.7924224167343306,712.1827429131771,6772.372718311972,replay_scored_not_promoted,30.0,25.0
27,2.0,E28,0.003,2.0,1.0,528.497254891169,0.8345353142624976,7886.72509765625,209,1.0,0.13753060425675534,0.8,0.7870291934111465,725.7897039502908,6802.059029368668,replay_scored_not_promoted,30.0,25.0
37,2.0,E28,0.0035,2.5,1.0,530.5869548074578,0.833262246807044,7886.72509765625,209,1.0,0.14013135791724995,0.8,0.785235975223594,728.5764279046595,6781.547600201624,replay_scored_not_promoted,30.0,25.0
11,2.0,E28,0.003,2.5,1.0,534.7824220599325,0.8303492463758322,7886.72509765625,209,1.0,0.14171801690330688,0.8,0.7820056429951708,734.9131869171391,6769.034056954867,replay_scored_not_promoted,30.0,25.0
36,2.0,E28,0.0025,2.5,1.0,534.7824220599325,0.8303492463758322,7886.72509765625,209,1.0,0.14171801690330688,0.8,0.7820056429951708,734.9131869171391,6769.034056954867,replay_scored_not_promoted,30.0,25.0
