timestamp,obs_m3s,sim_m3s,obs_antas_m3s,sim_antas_m3s,in_core_window
2024-10-10 20:00:00,,79.8260,,64.5933,0
2024-10-10 21:00:00,,79.6612,,54.9043,0
2024-10-10 22:00:00,,79.7937,,47.6108,0
2024-10-10 23:00:00,,79.6432,,58.4754,0
2024-10-11 00:00:00,,77.7208,,93.2446,0
2024-10-11 01:00:00,,74.5544,,147.0959,0
2024-10-11 02:00:00,,72.8208,,222.0089,0
2024-10-11 03:00:00,,75.8185,,303.8827,0
2024-10-11 04:00:00,,86.9468,,382.9511,0
2024-10-11 05:00:00,,109.0186,,459.2633,0
2024-10-11 06:00:00,,142.4918,,532.8758,0
2024-10-11 07:00:00,,186.3284,,603.8505,0
2024-10-11 08:00:00,,238.9165,,672.2535,0
2024-10-11 09:00:00,,298.4490,,738.1541,0
2024-10-11 10:00:00,,363.1918,,801.6234,0
2024-10-11 11:00:00,,431.5889,,862.7338,0
2024-10-11 12:00:00,,502.3126,,921.5583,0
2024-10-11 13:00:00,,574.2714,,979.1123,0
2024-10-11 14:00:00,,646.4836,,1018.4718,0
2024-10-11 15:00:00,,718.7250,,1032.8007,0
2024-10-11 16:00:00,,790.5235,,1027.7813,0
2024-10-11 17:00:00,,859.3874,,1000.3949,0
2024-10-11 18:00:00,,922.5405,,964.7019,0
2024-10-11 19:00:00,,977.1158,,930.4438,0
2024-10-11 20:00:00,734.75,1020.5083,677.2,897.5590,1
2024-10-11 21:00:00,808.375,1052.2611,762.975,881.0645,1
2024-10-11 22:00:00,921.975,1074.0255,866.025,915.1751,1
2024-10-11 23:00:00,980.775,1085.5055,907.625,992.2501,1
2024-10-12 00:00:00,987.4,1090.9235,1083.275,1066.3187,1
2024-10-12 01:00:00,1013.225,1100.1940,1220.65,1137.4963,1
2024-10-12 02:00:00,1079.25,1119.7347,1247.625,1212.4898,1
2024-10-12 03:00:00,1170.1,1150.5755,1302.175,1289.2633,1
2024-10-12 04:00:00,1303.5,1192.6119,1316.525,1361.1504,1
2024-10-12 05:00:00,1437.8,1245.1257,1357.925,1430.2256,1
2024-10-12 06:00:00,1537.575,1306.8325,1458.4499999999998,1496.5983,1
2024-10-12 07:00:00,1605.5,1375.5165,1570.275,1559.4313,1
2024-10-12 08:00:00,1653.75,1449.0115,1666.55,1619.8049,1
2024-10-12 09:00:00,1710.75,1525.1146,1725.35,1677.8148,1
2024-10-12 10:00:00,1789.8,1601.9133,1761.0500000000002,1733.5532,1
2024-10-12 11:00:00,1887.275,1678.0843,1771.95,1787.1087,1
2024-10-12 12:00:00,1979.15,1752.6991,1769.775,1823.4913,1
2024-10-12 13:00:00,2047.425,1825.5147,1755.625,1808.5125,1
2024-10-12 14:00:00,2077.8,1896.8836,1722.125,1749.8392,1
2024-10-12 15:00:00,2099.475,1964.3119,1639.1,1693.4679,1
2024-10-12 16:00:00,2102.45,2020.9683,1634.8,1639.3081,1
2024-10-12 17:00:00,2101.45,2062.3957,1655.875,1580.6775,1
2024-10-12 18:00:00,2073.875,2088.8002,1648.475,1519.6357,1
2024-10-12 19:00:00,2041.575,2101.0811,1609.625,1460.9880,1
2024-10-12 20:00:00,2024.025,2100.4281,1592.95,1403.6984,1
2024-10-12 21:00:00,2017.225,2088.4591,1588.775,1348.6557,1
2024-10-12 22:00:00,2002.65,2067.1175,1574.25,1295.7717,1
2024-10-12 23:00:00,1981.575,2038.2388,1516.875,1244.9616,1
2024-10-13 00:00:00,1964.325,2003.5676,1410.75,1196.1442,1
2024-10-13 01:00:00,1944.6,1964.6134,1351.1,1149.2412,1
2024-10-13 02:00:00,1918.9,1922.6663,1331.825,1104.1775,1
2024-10-13 03:00:00,1864.2,1878.8206,1328.0,1060.8809,1
2024-10-13 04:00:00,1796.95,1832.8659,1324.15,1019.2823,1
2024-10-13 05:00:00,1734.175,1786.5014,1315.55,979.3148,1
2024-10-13 06:00:00,1690.875,1739.9349,1299.35,940.9147,1
2024-10-13 07:00:00,1661.825,1691.9335,1223.525,904.0203,1
2024-10-13 08:00:00,1646.8,1642.1978,1149.55,868.5727,1
2024-10-13 09:00:00,1631.85,1590.9164,1067.475,834.5150,1
2024-10-13 10:00:00,1604.325,1538.4732,974.225,801.7929,1
2024-10-13 11:00:00,1553.25,1485.4000,993.55,770.3538,1
2024-10-13 12:00:00,1489.5,1432.1908,1062.15,740.1476,1
2024-10-13 13:00:00,1412.625,1379.2517,1085.675,711.1258,1
2024-10-13 14:00:00,1337.225,1326.9254,958.825,683.2419,1
2024-10-13 15:00:00,1306.45,1275.5403,834.675,656.4515,1
2024-10-13 16:00:00,1315.925,1225.3239,779.925,630.7115,1
2024-10-13 17:00:00,1322.275,1176.4450,793.65,605.9808,1
2024-10-13 18:00:00,1276.0,1129.0230,874.05,582.2199,1
2024-10-13 19:00:00,1195.375,1083.1357,934.525,559.3906,1
2024-10-13 20:00:00,1124.7,1038.8277,948.475,537.4566,1
2024-10-13 21:00:00,1085.0,996.1177,941.9,516.3825,1
2024-10-13 22:00:00,1093.9,955.0040,911.675,496.1348,1
2024-10-13 23:00:00,1137.675,915.4697,869.95,476.6811,1
2024-10-14 00:00:00,1172.95,877.4868,808.225,457.9901,1
2024-10-14 01:00:00,1187.175,841.0188,767.8499999999999,440.0320,1
2024-10-14 02:00:00,1178.025,806.0240,752.9,422.7781,1
2024-10-14 03:00:00,1151.725,772.4567,757.3499999999999,406.2007,1
2024-10-14 04:00:00,1108.775,740.2690,776.9,390.2733,1
2024-10-14 05:00:00,1064.475,709.4118,784.5,374.9705,1
2024-10-14 06:00:00,1027.575,679.8357,773.125,360.2677,1
2024-10-14 07:00:00,1009.35,651.4917,733.7,346.1413,1
2024-10-14 08:00:00,1005.525,624.3313,667.4,332.5689,1
2024-10-14 09:00:00,1011.25,598.3071,615.925,319.5287,1
2024-10-14 10:00:00,1008.375,573.3731,598.3,306.9998,1
2024-10-14 11:00:00,992.15,549.4846,601.025,294.9622,1
2024-10-14 12:00:00,955.375,526.5982,647.05,283.3965,1
2024-10-14 13:00:00,907.125,504.6724,665.125,272.2844,1
2024-10-14 14:00:00,860.7,483.6669,670.1,261.6080,1
2024-10-14 15:00:00,832.025,463.5432,635.925,251.3502,1
2024-10-14 16:00:00,829.375,444.2641,559.45,241.4946,1
2024-10-14 17:00:00,847.2,425.7942,499.45,232.0254,1
