timestamp,obs_m3s,sim_m3s
2024-05-05 04:00:00,7089.75,6834.9326
2024-05-05 05:00:00,7209.425,6776.9860
2024-05-05 06:00:00,7308.95,6729.0137
2024-05-05 07:00:00,7351.025,6682.9033
2024-05-05 08:00:00,7356.3,6635.3264
2024-05-05 09:00:00,7317.725,6584.1581
2024-05-05 10:00:00,7233.8,6527.0925
2024-05-05 11:00:00,7131.2,6467.4923
2024-05-05 12:00:00,7041.375,6405.3470
2024-05-05 13:00:00,6996.675,6336.6702
2024-05-05 14:00:00,6953.8,6265.8836
2024-05-05 15:00:00,6912.775000000001,6196.8138
2024-05-05 16:00:00,6814.049999999999,6128.3117
2024-05-05 17:00:00,6652.1,6060.6011
2024-05-05 18:00:00,6450.575000000001,5993.6331
2024-05-05 19:00:00,6235.525,5927.4059
2024-05-05 20:00:00,6007.8,5861.9103
2024-05-05 21:00:00,5763.525,5797.1385
2024-05-05 22:00:00,5528.625,5733.0824
2024-05-05 23:00:00,5310.200000000001,5669.7340
2024-05-06 00:00:00,5078.075,5607.0857
2024-05-06 01:00:00,4868.15,5545.1296
2024-05-06 02:00:00,4659.45,5483.8581
2024-05-06 03:00:00,4478.799999999999,5423.2636
2024-05-06 04:00:00,4298.5,5363.3386
2024-05-06 05:00:00,4136.575,5304.0758
2024-05-06 06:00:00,3980.125,5245.4678
2024-05-06 07:00:00,3823.9,5187.5074
2024-05-06 08:00:00,3694.725,5130.1875
2024-05-06 09:00:00,3566.45,5073.5009
2024-05-06 10:00:00,3452.55,5017.4407
2024-05-06 11:00:00,3352.725,4962.0000
2024-05-06 12:00:00,3244.5,4907.1718
2024-05-06 13:00:00,3161.775,4852.9495
2024-05-06 14:00:00,3078.75,4799.3263
2024-05-06 15:00:00,3000.3500000000004,4746.2956
2024-05-06 16:00:00,2936.625,4693.8508
2024-05-06 17:00:00,2875.825,4641.9856
2024-05-06 18:00:00,2815.625,4590.6935
2024-05-06 19:00:00,2758.25,4539.9681
2024-05-06 20:00:00,2696.95,4489.8032
2024-05-06 21:00:00,2642.925,4440.1927
2024-05-06 22:00:00,2595.925,4391.1303
2024-05-06 23:00:00,2539.575,4342.6100
2024-05-07 00:00:00,2487.0,4294.6258
2024-05-07 01:00:00,2429.65,4247.1719
