timestamp,obs_m3s,sim_m3s,obs_antas_m3s,sim_antas_m3s,in_core_window
2023-11-15 00:00:00,,67.6398,,64.5933,0
2023-11-15 01:00:00,,67.7754,,54.9043,0
2023-11-15 02:00:00,,66.6683,,46.6686,0
2023-11-15 03:00:00,,62.4964,,39.6683,0
2023-11-15 04:00:00,,56.8772,,33.7181,0
2023-11-15 05:00:00,,51.1461,,28.6604,0
2023-11-15 06:00:00,,45.2899,,24.3613,0
2023-11-15 07:00:00,,39.8956,,20.7071,0
2023-11-15 08:00:00,,34.8799,,19.1834,0
2023-11-15 09:00:00,,30.6135,,18.0236,0
2023-11-15 10:00:00,,27.3573,,17.1644,0
2023-11-15 11:00:00,,24.4195,,49.7825,0
2023-11-15 12:00:00,,26.0955,,88.3721,0
2023-11-15 13:00:00,,40.0522,,124.6116,0
2023-11-15 14:00:00,,63.0409,,160.2141,0
2023-11-15 15:00:00,,89.7903,,201.5326,0
2023-11-15 16:00:00,,120.6242,,240.2715,0
2023-11-15 17:00:00,,154.7809,,276.5844,0
2023-11-15 18:00:00,,190.4043,,310.6168,0
2023-11-15 19:00:00,,225.7494,,342.5067,0
2023-11-15 20:00:00,,260.4790,,372.3844,0
2023-11-15 21:00:00,,293.8766,,400.3729,0
2023-11-15 22:00:00,,325.8422,,426.5885,0
2023-11-15 23:00:00,,356.1724,,451.1407,0
2023-11-16 00:00:00,1639.95,384.8670,1124.715,474.1326,1
2023-11-16 01:00:00,1611.825,411.9152,1122.06,495.6614,1
2023-11-16 02:00:00,1576.875,437.3680,1131.8,515.8186,1
2023-11-16 03:00:00,1553.0749999999998,461.2804,1147.8175,534.6899,1
2023-11-16 04:00:00,1539.175,483.7244,1201.8175,552.3564,1
2023-11-16 05:00:00,1535.2,504.7736,1279.045,568.8937,1
2023-11-16 06:00:00,1535.2,524.5271,1385.6475,582.7909,1
2023-11-16 07:00:00,1552.05,542.8385,1458.1275,595.7992,1
2023-11-16 08:00:00,1594.85,559.1742,1484.575,628.5460,1
2023-11-16 09:00:00,1689.65,577.1784,1487.525,625.9560,1
2023-11-16 10:00:00,1820.325,596.6625,1505.3025,615.6257,1
2023-11-16 11:00:00,1920.0,607.0385,1560.06,611.7676,1
2023-11-16 12:00:00,1980.575,609.7464,1621.695,606.5793,1
2023-11-16 13:00:00,2018.1,611.2146,1689.3475,593.8164,1
2023-11-16 14:00:00,2037.45,609.0383,1687.2725,581.8790,1
2023-11-16 15:00:00,2061.225,603.2438,1677.9850000000001,570.7135,1
2023-11-16 16:00:00,2100.275,595.2625,1728.805,560.2699,1
2023-11-16 17:00:00,2140.675,586.4681,1806.69,550.5012,1
2023-11-16 18:00:00,2174.7,577.0913,1912.7875,541.3638,1
2023-11-16 19:00:00,2206.65,567.7436,1982.5325,532.8168,1
2023-11-16 20:00:00,2256.625,558.5227,2057.9125,524.8218,1
2023-11-16 21:00:00,2343.975,549.6385,2251.8375,517.3433,1
2023-11-16 22:00:00,2444.85,541.1319,2368.115,510.3477,1
2023-11-16 23:00:00,2544.775,533.0601,2416.5,503.8039,1
2023-11-17 00:00:00,2663.475,525.4285,2455.7174999999997,497.6825,1
2023-11-17 01:00:00,2799.325,518.2401,2557.9425,491.9564,1
2023-11-17 02:00:00,2923.95,511.4824,2640.695,486.5998,1
2023-11-17 03:00:00,3020.925,505.1403,2670.145,481.5890,1
2023-11-17 04:00:00,3101.725,499.1942,2678.77,476.9017,1
2023-11-17 05:00:00,3183.15,493.6237,2684.9375,472.5168,1
2023-11-17 06:00:00,3254.025,488.7010,2704.6975,447.8438,1
2023-11-17 07:00:00,3294.0,481.5261,2753.1025,424.7623,1
2023-11-17 08:00:00,3326.6,467.9975,2736.93,403.1694,1
2023-11-17 09:00:00,3340.4249999999997,451.0484,2694.8175,377.1672,1
2023-11-17 10:00:00,3345.475,431.1653,2651.715,447.2579,1
2023-11-17 11:00:00,3353.025,420.3508,2605.23,529.1796,1
2023-11-17 12:00:00,3335.3999999999996,441.7977,2556.635,605.8180,1
2023-11-17 13:00:00,3320.325,486.1183,2543.3225,677.5138,1
2023-11-17 14:00:00,3292.75,539.1224,2565.105,765.1569,1
2023-11-17 15:00:00,3250.275,601.5367,2596.69,871.9383,1
2023-11-17 16:00:00,3219.125,674.4790,2624.76,1017.7224,1
2023-11-17 17:00:00,3227.825,765.4978,2662.7725,1154.1045,1
2023-11-17 18:00:00,3269.0,875.1618,2728.2725,1314.9211,1
2023-11-17 19:00:00,3329.175,997.6217,2858.6575,1494.3766,1
2023-11-17 20:00:00,3422.525,1135.7873,3088.2125,1662.2584,1
2023-11-17 21:00:00,3530.8,1289.0608,3350.065,1819.3131,1
2023-11-17 22:00:00,3685.45,1442.8971,3717.36,2174.5867,1
2023-11-17 23:00:00,3893.55,1622.1574,4107.6225,2546.5073,1
2023-11-18 00:00:00,4226.5,1870.2080,4641.8625,2942.4407,1
2023-11-18 01:00:00,4591.225,2169.3638,5462.83,3371.3876,1
2023-11-18 02:00:00,4985.25,2504.4318,6311.9875,3774.2528,1
2023-11-18 03:00:00,5452.1,2874.7560,7079.1625,4151.1360,1
2023-11-18 04:00:00,5940.725,3252.7226,7426.66,4534.8332,1
2023-11-18 05:00:00,6434.475,3628.6354,7690.415,5171.7574,1
2023-11-18 06:00:00,6921.4,4038.8914,8043.7275,5906.3272,1
2023-11-18 07:00:00,7382.225,4548.0823,8222.52,6723.8057,1
2023-11-18 08:00:00,7848.9,5157.5104,8437.3025,7442.1458,1
2023-11-18 09:00:00,8315.375,5830.3213,8582.960000000001,8118.3777,1
2023-11-18 10:00:00,8661.125,6519.1846,8898.6625,8761.0192,1
2023-11-18 11:00:00,8943.1,7198.5083,9519.557499999999,9382.7858,1
2023-11-18 12:00:00,9155.5,7869.6096,10274.215,9947.5740,1
2023-11-18 13:00:00,9337.025,8519.1115,11093.76,10451.1465,1
2023-11-18 14:00:00,9548.75,9136.7745,11736.48,10876.3529,1
2023-11-18 15:00:00,9810.75,9706.9663,12236.3925,11274.1365,1
2023-11-18 16:00:00,10101.05,10226.8266,12579.32,11613.0356,1
2023-11-18 17:00:00,10418.575,10700.2641,12930.425,11901.0677,1
2023-11-18 18:00:00,10703.65,11124.5891,12997.905,12170.5237,1
2023-11-18 19:00:00,10955.475,11500.9328,13034.0475,12422.6017,1
2023-11-18 20:00:00,11137.775,11845.1840,12986.869999999999,12450.0746,1
2023-11-18 21:00:00,11278.425,12134.3563,12813.7,12436.2160,1
2023-11-18 22:00:00,11378.725,12326.9475,12594.8225,12375.2521,1
2023-11-18 23:00:00,11434.925,12441.7692,12320.19,12259.6716,1
2023-11-19 00:00:00,11434.95,12495.6220,12076.0175,12149.9628,1
2023-11-19 01:00:00,11370.225,12490.5157,11727.4625,12047.3294,1
2023-11-19 02:00:00,11293.724999999999,12455.3861,11415.07,11920.1949,1
2023-11-19 03:00:00,11186.85,12401.4165,10957.817500000001,11523.2869,1
2023-11-19 04:00:00,11033.0,12294.2441,10524.18,11013.2539,1
2023-11-19 05:00:00,10884.775,12071.2365,10117.869999999999,10405.8312,1
2023-11-19 06:00:00,10676.85,11733.3162,9577.494999999999,9789.5839,1
2023-11-19 07:00:00,10476.7,11305.2689,9124.0425,9192.5092,1
2023-11-19 08:00:00,10242.95,10813.9174,8764.605,8623.9198,1
2023-11-19 09:00:00,9992.525,10295.5058,8285.4125,8071.4295,1
2023-11-19 10:00:00,9696.625,9764.0239,7823.7074999999995,7550.8786,1
2023-11-19 11:00:00,9435.475,9233.1778,7419.625,7063.8997,1
2023-11-19 12:00:00,9141.125,8712.9118,6964.7474999999995,6608.2301,1
2023-11-19 13:00:00,8817.65,8212.1314,6580.4275,6182.0454,1
2023-11-19 14:00:00,8483.725,7733.8157,6272.0775,5783.3467,1
2023-11-19 15:00:00,8149.225,7280.5465,6045.094999999999,5408.3155,1
2023-11-19 16:00:00,7784.775,6852.3547,5715.89,5059.0299,1
2023-11-19 17:00:00,7435.2,6448.9686,5457.735,4732.7578,1
2023-11-19 18:00:00,7098.65,6070.1300,5263.462500000001,4427.4306,1
2023-11-19 19:00:00,6784.275,5714.9423,5009.2075,4141.4052,1
2023-11-19 20:00:00,6488.3,5382.1204,4747.21,3874.3135,1
2023-11-19 21:00:00,6200.975,5070.5692,4549.3975,3624.4473,1
2023-11-19 22:00:00,5928.35,4779.2067,4375.725,3390.6958,1
2023-11-19 23:00:00,5661.05,4506.8475,4220.6849999999995,3172.0196,1
2023-11-20 00:00:00,5410.725,4252.2269,4057.7174999999997,2967.4465,1
2023-11-20 01:00:00,5177.0,4014.2473,3915.6575,2776.0669,1
2023-11-20 02:00:00,4963.55,3791.8677,3813.62,2597.0300,1
2023-11-20 03:00:00,4764.175,3584.1046,3670.8225,2429.5397,1
2023-11-20 04:00:00,4578.425,3390.0404,3491.9125,2272.8513,1
2023-11-20 05:00:00,4416.975,3208.6857,3313.6075,2126.2683,1
2023-11-20 06:00:00,4265.475,3038.7152,3183.585,1989.1389,1
2023-11-20 07:00:00,4110.275,2879.0444,3077.6800000000003,1860.8533,1
2023-11-20 08:00:00,3950.225,2729.3905,2967.955,1740.8413,1
2023-11-20 09:00:00,3798.8,2589.0389,2868.6225,1628.5692,1
2023-11-20 10:00:00,3662.1,2457.5256,2819.425,1523.5378,1
2023-11-20 11:00:00,3538.5,2334.4029,2758.0950000000003,1425.2803,1
2023-11-20 12:00:00,3419.975,2219.0445,2666.5325,1332.0933,1
2023-11-20 13:00:00,3320.35,2110.0265,2489.45,1246.1826,1
2023-11-20 14:00:00,3241.55,2006.0808,2332.9475,1165.8125,1
2023-11-20 15:00:00,3160.9,1907.4835,2278.23,1090.2686,1
2023-11-20 16:00:00,3068.65,1813.9319,2258.5775000000003,1019.9539,1
2023-11-20 17:00:00,2950.55,1725.3717,2226.3325,954.1740,1
2023-11-20 18:00:00,2839.8500000000004,1641.8791,2196.5575,892.6364,1
2023-11-20 19:00:00,2751.775,1563.2256,2152.1724999999997,835.0676,1
2023-11-20 20:00:00,2684.55,1489.1810,2105.9175,781.2116,1
2023-11-20 21:00:00,2641.175,1419.5189,2037.7825,730.8289,1
2023-11-20 22:00:00,2594.55,1353.9874,1884.95,683.6955,1
2023-11-20 23:00:00,2552.825,1292.3527,1748.6475,639.6019,1
2023-11-21 00:00:00,2507.8,1234.3793,1746.5325,598.3521,1
2023-11-21 01:00:00,2440.25,1179.8459,1764.355,559.7625,1
2023-11-21 02:00:00,2348.475,1128.5398,1769.6100000000001,523.6618,1
2023-11-21 03:00:00,2254.425,1080.2606,1762.25,489.8892,1
2023-11-21 04:00:00,2191.225,1034.8190,1736.1125,458.2948,1
2023-11-21 05:00:00,2157.125,992.0368,1616.83,428.7380,1
2023-11-21 06:00:00,2140.675,951.7466,1503.355,401.0874,1
2023-11-21 07:00:00,2123.175,913.7916,1472.7825,375.2201,1
2023-11-21 08:00:00,2102.475,878.0246,1479.655,351.0210,1
2023-11-21 09:00:00,2043.975,844.3076,1496.3975,328.3826,1
2023-11-21 10:00:00,1968.85,812.5115,1495.41,307.2042,1
2023-11-21 11:00:00,1913.625,782.5153,1485.5575,287.3917,1
2023-11-21 12:00:00,1874.65,754.2059,1461.0475000000001,268.8569,1
2023-11-21 13:00:00,1856.8,727.4772,1442.5075,251.5175,1
2023-11-21 14:00:00,1851.55,702.3129,1416.335,229.4841,1
2023-11-21 15:00:00,1840.025,677.7381,1399.9425,213.6774,1
2023-11-21 16:00:00,1826.5,653.1712,1378.8500000000001,199.8967,1
2023-11-21 17:00:00,1807.775,630.4358,1360.7275,187.0047,1
2023-11-21 18:00:00,1788.075,609.7435,1338.9099999999999,173.6779,1
2023-11-21 19:00:00,1762.25,590.0990,1319.105,160.9507,1
2023-11-21 20:00:00,1739.625,571.3985,1299.415,147.7456,1
2023-11-21 21:00:00,1717.1,553.1858,1287.2875,138.2170,1
2023-11-21 22:00:00,1692.625,535.8254,1249.3375,127.2573,1
2023-11-21 23:00:00,1668.25,519.6525,1201.8,117.2642,1
2023-11-22 00:00:00,1647.025,504.0778,1168.38,109.7015,1
2023-11-22 01:00:00,1625.875,489.2684,1152.2649999999999,102.6265,1
2023-11-22 02:00:00,1602.8,476.0455,1146.91,83.1818,1
2023-11-22 03:00:00,1567.95,461.9649,1138.9025,75.3818,1
2023-11-22 04:00:00,1537.2,445.8366,1129.1425,67.5654,1
2023-11-22 05:00:00,1506.7,431.3358,1119.4125,59.6036,1
2023-11-22 06:00:00,1490.1,418.3041,1107.0700000000002,55.6622,1
2023-11-22 07:00:00,1469.85,405.8017,1096.5425,52.0724,1
2023-11-22 08:00:00,1457.475,395.4596,1085.1725000000001,46.7983,1
2023-11-22 09:00:00,1440.65,386.1612,1068.645,26.6680,1
2023-11-22 10:00:00,1428.4,374.4379,1058.2475,62.2975,1
2023-11-22 11:00:00,1418.375,364.5572,1044.4524999999999,127.2690,1
2023-11-22 12:00:00,1401.725,373.5513,1032.4424999999999,217.9065,1
2023-11-22 13:00:00,1388.425,404.6215,1034.155,409.3520,1
2023-11-22 14:00:00,1379.6,467.2397,1035.01,607.5613,1
2023-11-22 15:00:00,1378.5,577.2269,1048.7625,850.8865,1
2023-11-22 16:00:00,1385.1,723.9175,1078.2225,1102.2388,1
2023-11-22 17:00:00,1399.525,904.1832,1112.3675,1337.6079,1
2023-11-22 18:00:00,1423.95,1109.0373,1141.575,1557.7974,1
2023-11-22 19:00:00,1448.5,1320.4874,1163.0,1763.7862,1
2023-11-22 20:00:00,1484.475,1533.1694,1171.0700000000002,1956.4902,1
2023-11-22 21:00:00,1544.2,1740.9277,1173.77,2136.7661,1
2023-11-22 22:00:00,1628.925,1941.4669,1175.57,2305.4154,1
2023-11-22 23:00:00,1677.375,2132.8903,1185.485,2463.1881,1
2023-11-23 00:00:00,1727.3,2314.5447,1199.0549999999998,2610.7855,1
2023-11-23 01:00:00,1745.825,2486.1044,1222.715,2748.8640,1
2023-11-23 02:00:00,1756.0749999999998,2647.6605,1251.175,2878.0373,1
2023-11-23 03:00:00,1761.2,2799.4612,1310.6975,2998.8798,1
2023-11-23 04:00:00,1774.625,2941.8898,1365.4975,3111.9289,1
2023-11-23 05:00:00,1800.5,3075.3834,1398.9825,3217.6871,1
2023-11-23 06:00:00,1841.125,3200.4120,1413.4325,3316.6246,1
2023-11-23 07:00:00,1899.925,3317.4505,1427.94,3409.1813,1
2023-11-23 08:00:00,1960.325,3427.6227,1429.88,3449.8795,1
2023-11-23 09:00:00,2015.95,3525.4040,1433.76,3456.8327,1
2023-11-23 10:00:00,2048.25,3598.1242,1436.6725000000001,3438.5467,1
2023-11-23 11:00:00,2063.35,3644.4517,1423.13,3316.4749,1
2023-11-23 12:00:00,2072.025,3655.6177,1359.81,3183.8147,1
2023-11-23 13:00:00,2078.5,3616.8559,1327.5774999999999,3001.1618,1
2023-11-23 14:00:00,2069.875,3537.6476,1353.135,2807.6078,1
2023-11-23 15:00:00,2054.725,3421.4388,1418.3325,2626.5367,1
2023-11-23 16:00:00,2021.325,3277.1218,1515.2975000000001,2457.1434,1
2023-11-23 17:00:00,1974.15,3122.8727,1619.7,2298.6748,1
2023-11-23 18:00:00,1962.4250000000002,2963.8982,1677.98,2150.4264,1
2023-11-23 19:00:00,1979.5,2806.5479,1681.4099999999999,2011.7389,1
2023-11-23 20:00:00,2014.875,2653.1911,1647.16,1881.9958,1
2023-11-23 21:00:00,2072.05,2505.9050,1629.8,1760.6202,1
2023-11-23 22:00:00,2123.175,2365.4892,1608.4524999999999,1647.0725,1
2023-11-23 23:00:00,2148.325,2232.4405,1589.22,1540.8478,1
2023-11-24 00:00:00,2150.525,2106.8254,1565.0625,1441.4739,1
2023-11-24 01:00:00,2133.025,1988.5541,1544.0375,1348.5089,1
2023-11-24 02:00:00,2110.1,1877.3923,1514.205,1261.5395,1
2023-11-24 03:00:00,2081.8,1773.0461,1484.585,1180.1790,1
2023-11-24 04:00:00,2054.725,1675.1803,1450.3125,1104.0657,1
2023-11-24 05:00:00,2025.625,1583.4473,1417.3025,1032.8612,1
2023-11-24 06:00:00,1992.35,1497.4970,1388.4275,966.2489,1
2023-11-24 07:00:00,1959.25,1416.9867,1357.875,903.9326,1
2023-11-24 08:00:00,1922.075,1341.5855,1327.585,845.6352,1
2023-11-24 09:00:00,1883.05,1270.9772,1300.3525,791.0977,1
2023-11-24 10:00:00,1847.375,1204.8614,1272.4175,740.0774,1
2023-11-24 11:00:00,1811.9,1142.9544,1247.47,692.3476,1
2023-11-24 12:00:00,1772.55,1084.9888,1221.8,647.6960,1
2023-11-24 13:00:00,1738.575,1030.7133,1203.595,605.9241,1
2023-11-24 14:00:00,1703.825,979.8919,1167.52,566.8462,1
2023-11-24 15:00:00,1669.225,932.3033,1095.74,530.2886,1
2023-11-24 16:00:00,1646.025,887.7402,1030.7525,496.0887,1
2023-11-24 17:00:00,1612.8,845.9973,1006.0325,464.0944,1
2023-11-24 18:00:00,1584.85,806.8445,1004.335,434.1636,1
2023-11-24 19:00:00,1542.175,770.0800,1005.1825,406.1631,1
2023-11-24 20:00:00,,735.5416,1006.0300000000001,379.9684,1
2023-11-24 21:00:00,,702.8793,999.25,355.4631,1
2023-11-24 22:00:00,1395.1,671.8345,990.815,332.5382,1
2023-11-24 23:00:00,1373.0,642.4252,979.8824999999999,311.0918,1
2023-11-25 00:00:00,1358.725,614.5087,968.1575,291.0286,1
2023-11-25 01:00:00,1350.0,588.1279,951.5025,272.2593,1
2023-11-25 02:00:00,1341.2,563.2057,939.9125,254.7004,1
2023-11-25 03:00:00,1327.075,539.6929,927.5475,238.2740,1
2023-11-25 04:00:00,1312.9499999999998,517.5155,916.07,222.9070,1
2023-11-25 05:00:00,1294.525,496.6048,905.4575,208.5311,1
2023-11-25 06:00:00,1278.4,476.8884,893.28,195.0823,1
2023-11-25 07:00:00,1262.275,458.2969,880.35,182.5008,1
2023-11-25 08:00:00,1246.25,440.7631,865.0925,170.7308,1
2023-11-25 09:00:00,1228.2,424.2227,856.3075,159.7199,1
2023-11-25 10:00:00,1202.8,408.6146,843.5925,149.4190,1
2023-11-25 11:00:00,1191.2,393.8814,804.355,139.7826,1
2023-11-25 12:00:00,1176.575,379.9687,770.355,130.7676,1
2023-11-25 13:00:00,1157.8000000000002,366.8254,752.055,122.3340,1
2023-11-25 14:00:00,1137.0,354.4037,742.2175,114.4443,1
2023-11-25 15:00:00,1116.375,342.6585,733.9325,107.0634,1
2023-11-25 16:00:00,1086.65,331.5479,736.1899999999999,100.1586,1
2023-11-25 17:00:00,1058.25,321.0322,757.3774999999999,93.6991,1
2023-11-25 18:00:00,1033.05,311.0745,768.81,87.6561,1
2023-11-25 19:00:00,1014.075,301.6402,779.5525,82.0029,1
2023-11-25 20:00:00,1009.1,292.6968,791.8975,76.7143,1
2023-11-25 21:00:00,1004.1,284.2141,794.9925000000001,71.7668,1
2023-11-25 22:00:00,1011.075,276.1636,784.1725,67.1383,1
2023-11-25 23:00:00,1021.0,268.5187,768.825,62.8084,1
