timestamp,sim_q_at_stz_m3s,obs_nivel_stz_cm
2025-06-28 19:00:00,105.3210,452.25
2025-06-28 20:00:00,108.3027,452.75
2025-06-28 21:00:00,123.4821,459.75
2025-06-28 22:00:00,157.9089,472.5
2025-06-28 23:00:00,213.8913,488.5
2025-06-29 00:00:00,292.6926,510.0
2025-06-29 01:00:00,395.4331,540.75
2025-06-29 02:00:00,519.2197,595.5
2025-06-29 03:00:00,658.5690,655.25
2025-06-29 04:00:00,810.5345,718.5
2025-06-29 05:00:00,973.0257,792.75
2025-06-29 06:00:00,1143.9132,858.0
2025-06-29 07:00:00,1319.9892,925.0
2025-06-29 08:00:00,1498.6075,1009.5
2025-06-29 09:00:00,1678.0811,1074.25
2025-06-29 10:00:00,1856.2115,1115.25
2025-06-29 11:00:00,2031.4856,1140.25
2025-06-29 12:00:00,2203.3535,1160.5
2025-06-29 13:00:00,2371.6751,1187.75
2025-06-29 14:00:00,2536.4494,1222.75
2025-06-29 15:00:00,2697.7191,1256.25
2025-06-29 16:00:00,2855.5403,1282.25
2025-06-29 17:00:00,3009.9736,1304.0
2025-06-29 18:00:00,3161.0810,1318.25
2025-06-29 19:00:00,3308.9254,1326.0
2025-06-29 20:00:00,3450.6025,1330.5
2025-06-29 21:00:00,3578.5939,1331.75
2025-06-29 22:00:00,3688.2064,1329.0
2025-06-29 23:00:00,3777.2779,1320.75
2025-06-30 00:00:00,3843.7300,1308.75
2025-06-30 01:00:00,3886.0418,1292.75
2025-06-30 02:00:00,3902.8792,1272.0
2025-06-30 03:00:00,3896.9843,1251.0
2025-06-30 04:00:00,3873.7310,1225.5
2025-06-30 05:00:00,3835.9845,1202.0
2025-06-30 06:00:00,3785.7749,1177.25
2025-06-30 07:00:00,3725.1883,1153.25
2025-06-30 08:00:00,3657.4026,1130.5
2025-06-30 09:00:00,3585.0466,1108.0
2025-06-30 10:00:00,3509.7987,1086.25
2025-06-30 11:00:00,3433.8576,1065.75
2025-06-30 12:00:00,3358.7429,1047.5
2025-06-30 13:00:00,3285.0167,1027.5
2025-06-30 14:00:00,3212.8361,1007.5
2025-06-30 15:00:00,3142.2224,988.75
2025-06-30 16:00:00,3073.1566,971.5
2025-06-30 17:00:00,3005.6089,962.5
2025-06-30 18:00:00,2939.5465,956.0
2025-06-30 19:00:00,2874.9372,
2025-06-30 20:00:00,2811.7487,
2025-06-30 21:00:00,2749.9497,
2025-06-30 22:00:00,2689.5096,
2025-06-30 23:00:00,2630.3985,
2025-07-01 00:00:00,2572.5869,
2025-07-01 01:00:00,2516.0464,
2025-07-01 02:00:00,2460.7488,
2025-07-01 03:00:00,2406.6668,
2025-07-01 04:00:00,2353.7736,
2025-07-01 05:00:00,2302.0431,
2025-07-01 06:00:00,2251.4497,
2025-07-01 07:00:00,2201.9684,
2025-07-01 08:00:00,2153.5746,
2025-07-01 09:00:00,2106.2446,
2025-07-01 10:00:00,2059.9548,
2025-07-01 11:00:00,2014.6824,
2025-07-01 12:00:00,1970.4051,
2025-07-01 13:00:00,1927.1009,
2025-07-01 14:00:00,1884.7484,
2025-07-01 15:00:00,1843.3268,
2025-07-01 16:00:00,1802.8156,
2025-07-01 17:00:00,1763.1947,
2025-07-01 18:00:00,1724.4445,
2025-07-01 19:00:00,1686.5461,
2025-07-01 20:00:00,1649.4805,
2025-07-01 21:00:00,1613.2296,
2025-07-01 22:00:00,1577.7753,
2025-07-01 23:00:00,1543.1003,
2025-07-02 00:00:00,1509.1873,
2025-07-02 01:00:00,1476.0197,
2025-07-02 02:00:00,1443.5810,
2025-07-02 03:00:00,1411.8552,
2025-07-02 04:00:00,1380.8266,
2025-07-02 05:00:00,1350.4800,
2025-07-02 06:00:00,1320.8003,
2025-07-02 07:00:00,1291.7729,
2025-07-02 08:00:00,1263.3834,
2025-07-02 09:00:00,1235.6179,
2025-07-02 10:00:00,1208.4625,
