timestamp,obs_m3s,sim_m3s,in_core_window
2023-05-05 10:00:00,,39.9323,0
2023-05-05 11:00:00,,39.9367,0
2023-05-05 12:00:00,,39.9273,0
2023-05-05 13:00:00,,39.9761,0
2023-05-05 14:00:00,,40.1229,0
2023-05-05 15:00:00,,40.8874,0
2023-05-05 16:00:00,,43.3422,0
2023-05-05 17:00:00,,48.7932,0
2023-05-05 18:00:00,,59.8394,0
2023-05-05 19:00:00,,78.4882,0
2023-05-05 20:00:00,,104.9859,0
2023-05-05 21:00:00,,137.8962,0
2023-05-05 22:00:00,,175.3070,0
2023-05-05 23:00:00,,215.5369,0
2023-05-06 00:00:00,,257.3316,0
2023-05-06 01:00:00,,299.8223,0
2023-05-06 02:00:00,,342.5840,0
2023-05-06 03:00:00,,386.1010,0
2023-05-06 04:00:00,,431.7345,0
2023-05-06 05:00:00,,479.9717,0
2023-05-06 06:00:00,,530.5343,0
2023-05-06 07:00:00,,582.6996,0
2023-05-06 08:00:00,,635.7215,0
2023-05-06 09:00:00,,689.0036,0
2023-05-06 10:00:00,722.6,742.1257,1
2023-05-06 11:00:00,755.9,794.7943,1
2023-05-06 12:00:00,839.05,846.8600,1
2023-05-06 13:00:00,962.85,898.2049,1
2023-05-06 14:00:00,1071.525,948.6418,1
2023-05-06 15:00:00,1151.575,998.0462,1
2023-05-06 16:00:00,1210.2,1045.8956,1
2023-05-06 17:00:00,1247.3500000000001,1091.1518,1
2023-05-06 18:00:00,1267.65,1132.5521,1
2023-05-06 19:00:00,1281.625,1167.5361,1
2023-05-06 20:00:00,1287.0,1194.1335,1
2023-05-06 21:00:00,1282.7,1212.1181,1
2023-05-06 22:00:00,1274.1,1222.9466,1
2023-05-06 23:00:00,1264.425,1228.5483,1
2023-05-07 00:00:00,1251.6,1230.6197,1
2023-05-07 01:00:00,1240.925,1230.4283,1
2023-05-07 02:00:00,1227.15,1228.8558,1
2023-05-07 03:00:00,1217.625,1226.3387,1
2023-05-07 04:00:00,1219.725,1222.4044,1
2023-05-07 05:00:00,1240.95,1215.7025,1
2023-05-07 06:00:00,1270.875,1205.7567,1
2023-05-07 07:00:00,1318.35,1192.8561,1
2023-05-07 08:00:00,1359.825,1177.7334,1
2023-05-07 09:00:00,1398.4,1161.1451,1
2023-05-07 10:00:00,1408.375,1143.6976,1
2023-05-07 11:00:00,1373.025,1125.8210,1
2023-05-07 12:00:00,1314.05,1107.7990,1
2023-05-07 13:00:00,1245.25,1089.8103,1
2023-05-07 14:00:00,1189.15,1071.9628,1
2023-05-07 15:00:00,1137.0,1054.3197,1
2023-05-07 16:00:00,1108.15,1036.9161,1
2023-05-07 17:00:00,1116.375,1019.7710,1
2023-05-07 18:00:00,1156.75,1002.8930,1
2023-05-07 19:00:00,1218.7,986.8229,1
2023-05-07 20:00:00,1271.975,971.5614,1
2023-05-07 21:00:00,1303.175,958.2520,1
2023-05-07 22:00:00,1309.675,949.4998,1
2023-05-07 23:00:00,1298.85,948.5897,1
2023-05-08 00:00:00,1276.25,958.2952,1
2023-05-08 01:00:00,1242.0,978.2879,1
2023-05-08 02:00:00,1212.325,1006.4368,1
2023-05-08 03:00:00,1183.8999999999999,1040.3509,1
2023-05-08 04:00:00,1157.775,1078.0433,1
2023-05-08 05:00:00,1122.5500000000002,1118.1560,1
2023-05-08 06:00:00,1094.85,1159.7579,1
2023-05-08 07:00:00,1054.2,1202.1275,1
2023-05-08 08:00:00,1014.05,1244.7396,1
2023-05-08 09:00:00,975.425,1287.2473,1
2023-05-08 10:00:00,950.875,1329.4852,1
2023-05-08 11:00:00,937.225,1371.4558,1
2023-05-08 12:00:00,934.3,1413.1955,1
2023-05-08 13:00:00,935.275,1454.7011,1
2023-05-08 14:00:00,943.075,1495.8918,1
