timestamp,sim_q_at_stz_m3s,obs_nivel_stz_cm
2024-04-29 16:00:00,196.5029,385.0
2024-04-29 17:00:00,270.6428,426.25
2024-04-29 18:00:00,358.0441,437.75
2024-04-29 19:00:00,498.3745,442.75
2024-04-29 20:00:00,690.8283,484.25
2024-04-29 21:00:00,890.4359,510.75
2024-04-29 22:00:00,1086.1904,519.5
2024-04-29 23:00:00,1281.5745,530.0
2024-04-30 00:00:00,1472.2127,534.0
2024-04-30 01:00:00,1658.7126,535.25
2024-04-30 02:00:00,1841.1076,545.75
2024-04-30 03:00:00,2026.3334,573.0
2024-04-30 04:00:00,2229.6136,608.5
2024-04-30 05:00:00,2452.4760,649.5
2024-04-30 06:00:00,2692.0132,699.0
2024-04-30 07:00:00,2962.1814,760.5
2024-04-30 08:00:00,3254.1369,796.5
2024-04-30 09:00:00,3547.9415,795.5
2024-04-30 10:00:00,3855.9542,821.5
2024-04-30 11:00:00,4194.9180,853.5
2024-04-30 12:00:00,4557.4054,892.5
2024-04-30 13:00:00,4927.6979,961.0
2024-04-30 14:00:00,5318.7283,1074.0
2024-04-30 15:00:00,5732.1716,1156.0
2024-04-30 16:00:00,6136.6858,1191.75
2024-04-30 17:00:00,6510.3497,1223.25
2024-04-30 18:00:00,6868.2743,1256.0
2024-04-30 19:00:00,7203.7218,1278.25
2024-04-30 20:00:00,7484.1623,1286.25
2024-04-30 21:00:00,7720.5985,1284.75
2024-04-30 22:00:00,7949.6039,1276.25
2024-04-30 23:00:00,8169.4834,1258.5
2024-05-01 00:00:00,8380.3099,1234.5
2024-05-01 01:00:00,8588.8124,1205.75
2024-05-01 02:00:00,8801.8140,1174.0
2024-05-01 03:00:00,9036.4281,1142.75
2024-05-01 04:00:00,9315.3585,1123.25
2024-05-01 05:00:00,9620.1179,1128.0
2024-05-01 06:00:00,9916.3890,1145.75
2024-05-01 07:00:00,10231.2200,1178.75
2024-05-01 08:00:00,10549.5351,1222.75
2024-05-01 09:00:00,10877.9685,1281.0
2024-05-01 10:00:00,11277.2884,1387.5
2024-05-01 11:00:00,11731.5340,1528.25
2024-05-01 12:00:00,12190.1402,1693.5
2024-05-01 13:00:00,12642.4830,1872.25
2024-05-01 14:00:00,13091.6506,2010.25
2024-05-01 15:00:00,13515.7723,2086.75
2024-05-01 16:00:00,13894.4521,2138.5
2024-05-01 17:00:00,14238.7999,2170.0
2024-05-01 18:00:00,14580.1548,2188.75
2024-05-01 19:00:00,14929.2613,2192.5
2024-05-01 20:00:00,15277.3128,2182.0
2024-05-01 21:00:00,15616.9382,2172.25
2024-05-01 22:00:00,15938.0213,2148.25
2024-05-01 23:00:00,16264.1622,2126.5
2024-05-02 00:00:00,16639.4542,2109.25
2024-05-02 01:00:00,17045.8237,2120.5
2024-05-02 02:00:00,17481.8412,2135.75
2024-05-02 03:00:00,17999.1100,2148.75
2024-05-02 04:00:00,18569.1907,2170.5
2024-05-02 05:00:00,19106.5652,2190.75
2024-05-02 06:00:00,19593.4469,2208.5
2024-05-02 07:00:00,20060.0536,2217.75
2024-05-02 08:00:00,20478.4095,2225.5
2024-05-02 09:00:00,20854.9292,2224.0
2024-05-02 10:00:00,21190.3748,2214.0
2024-05-02 11:00:00,21440.6239,2200.5
2024-05-02 12:00:00,21606.3327,2184.75
2024-05-02 13:00:00,21719.2110,2167.5
2024-05-02 14:00:00,21797.5384,2158.5
2024-05-02 15:00:00,21858.5853,2185.25
2024-05-02 16:00:00,21914.4260,2223.75
2024-05-02 17:00:00,21971.0455,2221.5
2024-05-02 18:00:00,22023.9514,2202.25
2024-05-02 19:00:00,22063.7547,2167.5
2024-05-02 20:00:00,22089.1357,2138.0
2024-05-02 21:00:00,22107.0531,2113.0
2024-05-02 22:00:00,22118.1386,2086.75
2024-05-02 23:00:00,22121.9646,2065.0
2024-05-03 00:00:00,22103.0414,2040.75
2024-05-03 01:00:00,22030.7830,2013.25
2024-05-03 02:00:00,21920.3466,1984.0
2024-05-03 03:00:00,21771.9815,1953.5
2024-05-03 04:00:00,21526.9006,1921.0
2024-05-03 05:00:00,21196.7387,1882.0
2024-05-03 06:00:00,20837.6977,1841.0
2024-05-03 07:00:00,20471.1453,1802.75
2024-05-03 08:00:00,20099.9636,1763.5
2024-05-03 09:00:00,19728.2911,1724.25
2024-05-03 10:00:00,19351.1297,1683.0
2024-05-03 11:00:00,18970.2171,1644.75
2024-05-03 12:00:00,18588.8504,1604.5
2024-05-03 13:00:00,18209.8425,1563.25
2024-05-03 14:00:00,17835.8826,1524.75
2024-05-03 15:00:00,17467.5211,1485.75
2024-05-03 16:00:00,17100.2591,1446.5
2024-05-03 17:00:00,16731.2337,1410.75
2024-05-03 18:00:00,16364.2140,1375.0
2024-05-03 19:00:00,16004.3429,1341.0
2024-05-03 20:00:00,15652.6600,1309.25
2024-05-03 21:00:00,15308.6552,1275.75
2024-05-03 22:00:00,14972.2185,1245.5
2024-05-03 23:00:00,14644.8493,1216.75
2024-05-04 00:00:00,14336.6962,1190.0
2024-05-04 01:00:00,14062.1129,1165.75
2024-05-04 02:00:00,13820.7194,1146.5
2024-05-04 03:00:00,13599.2165,1129.25
2024-05-04 04:00:00,13388.5229,1116.5
2024-05-04 05:00:00,13187.2303,1104.5
2024-05-04 06:00:00,12991.9355,1097.25
2024-05-04 07:00:00,12800.6080,1091.5
2024-05-04 08:00:00,12613.5379,1092.0
2024-05-04 09:00:00,12430.5714,1094.75
2024-05-04 10:00:00,12251.6270,1101.25
2024-05-04 11:00:00,12076.6150,1108.0
2024-05-04 12:00:00,11905.4493,1112.5
2024-05-04 13:00:00,11738.0453,1122.75
2024-05-04 14:00:00,11574.3204,1143.0
2024-05-04 15:00:00,11414.4173,1166.5
2024-05-04 16:00:00,11258.6186,1188.5
2024-05-04 17:00:00,11107.7708,1206.5
2024-05-04 18:00:00,10966.1615,1218.75
2024-05-04 19:00:00,10839.7763,1228.5
2024-05-04 20:00:00,10727.2461,1246.5
2024-05-04 21:00:00,10620.6734,1278.5
2024-05-04 22:00:00,10515.7555,1328.25
2024-05-04 23:00:00,10413.2530,1372.75
2024-05-05 00:00:00,10311.3125,1407.5
2024-05-05 01:00:00,10199.5932,1437.25
2024-05-05 02:00:00,10063.5312,1466.5
2024-05-05 03:00:00,9905.2583,1491.5
2024-05-05 04:00:00,9744.2110,1507.0
2024-05-05 05:00:00,9591.1843,1516.0
2024-05-05 06:00:00,9439.5644,1514.25
2024-05-05 07:00:00,9290.9024,1504.5
2024-05-05 08:00:00,9152.2332,1489.5
2024-05-05 09:00:00,9021.3211,1469.25
2024-05-05 10:00:00,8892.3896,1451.75
2024-05-05 11:00:00,8766.4326,1446.5
2024-05-05 12:00:00,8643.2235,1450.75
2024-05-05 13:00:00,8522.7249,1443.75
2024-05-05 14:00:00,8404.8742,1423.0
2024-05-05 15:00:00,8289.6135,1397.0
2024-05-05 16:00:00,8176.6622,1364.5
2024-05-05 17:00:00,8065.6028,1332.25
2024-05-05 18:00:00,7955.4574,1297.25
2024-05-05 19:00:00,7841.8093,1262.25
2024-05-05 20:00:00,7718.5470,1228.75
2024-05-05 21:00:00,7586.9160,1197.75
2024-05-05 22:00:00,7454.6934,1167.5
2024-05-05 23:00:00,7326.0641,1139.75
2024-05-06 00:00:00,7200.1520,1114.5
2024-05-06 01:00:00,7077.0229,1090.5
2024-05-06 02:00:00,6956.5976,1068.75
2024-05-06 03:00:00,6838.8193,1048.25
2024-05-06 04:00:00,6721.6752,1028.25
2024-05-06 05:00:00,6598.7728,1007.75
2024-05-06 06:00:00,6468.1489,989.0
2024-05-06 07:00:00,6337.5814,971.5
2024-05-06 08:00:00,6208.6835,954.25
2024-05-06 09:00:00,6076.2175,939.0
2024-05-06 10:00:00,5941.9004,925.5
2024-05-06 11:00:00,5811.4394,911.5
2024-05-06 12:00:00,5683.7034,899.25
2024-05-06 13:00:00,5558.7951,887.25
2024-05-06 14:00:00,5436.6291,877.0
2024-05-06 15:00:00,5317.1484,867.0
2024-05-06 16:00:00,5200.2934,857.0
2024-05-06 17:00:00,5086.0065,846.75
2024-05-06 18:00:00,4974.2314,837.25
2024-05-06 19:00:00,4864.9127,828.0
2024-05-06 20:00:00,4757.9965,818.75
2024-05-06 21:00:00,4653.4300,808.75
2024-05-06 22:00:00,4551.1616,798.75
2024-05-06 23:00:00,4451.1407,785.5
2024-05-07 00:00:00,4353.3180,770.0
2024-05-07 01:00:00,4257.6451,755.5
2024-05-07 02:00:00,4164.0749,745.0
2024-05-07 03:00:00,4072.5610,738.5
2024-05-07 04:00:00,3983.0583,733.5
2024-05-07 05:00:00,3895.5227,727.75
2024-05-07 06:00:00,3809.9108,721.75
2024-05-07 07:00:00,3726.1804,715.5
2024-05-07 08:00:00,3644.2901,709.25
2024-05-07 09:00:00,3564.1996,702.5
2024-05-07 10:00:00,3485.8692,696.5
2024-05-07 11:00:00,3409.2602,690.0
2024-05-07 12:00:00,3334.3349,683.25
2024-05-07 13:00:00,3261.0563,677.0
2024-05-07 14:00:00,3189.3880,670.0
2024-05-07 15:00:00,3119.2949,664.25
2024-05-07 16:00:00,3050.7421,658.5
2024-05-07 17:00:00,2983.6960,652.5
2024-05-07 18:00:00,2918.1233,646.5
2024-05-07 19:00:00,2853.9917,640.5
2024-05-07 20:00:00,2791.2696,635.0
2024-05-07 21:00:00,2729.9259,631.25
2024-05-07 22:00:00,2669.9303,624.0
2024-05-07 23:00:00,2611.2533,619.5
2024-05-08 00:00:00,2553.8658,617.25
2024-05-08 01:00:00,2497.7395,618.0
2024-05-08 02:00:00,2442.8467,618.5
2024-05-08 03:00:00,2389.1603,617.5
2024-05-08 04:00:00,2336.6537,614.0
2024-05-08 05:00:00,2285.3011,608.5
2024-05-08 06:00:00,2235.0770,602.5
2024-05-08 07:00:00,2185.9568,595.25
2024-05-08 08:00:00,2137.9160,588.5
2024-05-08 09:00:00,2090.9311,582.5
2024-05-08 10:00:00,2044.9787,576.75
2024-05-08 11:00:00,2000.0362,572.0
2024-05-08 12:00:00,1956.0814,566.5
2024-05-08 13:00:00,1913.0927,561.75
2024-05-08 14:00:00,1871.0486,558.0
2024-05-08 15:00:00,1829.9286,553.75
2024-05-08 16:00:00,1789.7123,550.25
2024-05-08 17:00:00,1750.3798,546.5
2024-05-08 18:00:00,1716.2710,543.0
2024-05-08 19:00:00,1691.0940,540.25
2024-05-08 20:00:00,1668.8793,537.75
2024-05-08 21:00:00,1646.5631,536.25
2024-05-08 22:00:00,1624.8386,534.5
2024-05-08 23:00:00,1603.5764,532.25
2024-05-09 00:00:00,1582.7835,531.0
2024-05-09 01:00:00,1562.4474,529.5
2024-05-09 02:00:00,1542.5582,527.75
2024-05-09 03:00:00,1523.1061,526.5
2024-05-09 04:00:00,1504.0815,524.5
2024-05-09 05:00:00,1485.4749,523.0
2024-05-09 06:00:00,1467.2774,521.5
2024-05-09 07:00:00,1449.4797,520.0
2024-05-09 08:00:00,1431.9862,519.5
2024-05-09 09:00:00,1414.7966,519.0
2024-05-09 10:00:00,1398.0339,519.0
2024-05-09 11:00:00,1381.6708,518.0
2024-05-09 12:00:00,1365.7642,518.0
2024-05-09 13:00:00,1350.1964,516.75
2024-05-09 14:00:00,1334.9719,515.5
2024-05-09 15:00:00,1320.0819,513.75
2024-05-09 16:00:00,1305.5192,510.5
2024-05-09 17:00:00,1291.2765,504.5
2024-05-09 18:00:00,1277.3467,498.75
2024-05-09 19:00:00,1259.3639,
2024-05-09 20:00:00,1233.5941,492.25
