timestamp,obs_m3s,sim_m3s,in_core_window
2023-06-15 08:00:00,,82.7904,0
2023-06-15 09:00:00,,81.8997,0
2023-06-15 10:00:00,,79.1475,0
2023-06-15 11:00:00,,79.1722,0
2023-06-15 12:00:00,,91.7441,0
2023-06-15 13:00:00,,121.9815,0
2023-06-15 14:00:00,,169.6695,0
2023-06-15 15:00:00,,233.1614,0
2023-06-15 16:00:00,,310.5585,0
2023-06-15 17:00:00,,404.2703,0
2023-06-15 18:00:00,,515.5788,0
2023-06-15 19:00:00,,640.0345,0
2023-06-15 20:00:00,586.35,769.3437,1
2023-06-15 21:00:00,707.675,898.0683,1
2023-06-15 22:00:00,817.575,1025.4646,1
2023-06-15 23:00:00,918.975,1151.6698,1
2023-06-16 00:00:00,1024.2,1276.2836,1
2023-06-16 01:00:00,1133.025,1399.4473,1
2023-06-16 02:00:00,1233.55,1522.3678,1
2023-06-16 03:00:00,1297.8,1646.5276,1
2023-06-16 04:00:00,1331.4,1774.7194,1
2023-06-16 05:00:00,1345.6,1910.1611,1
2023-06-16 06:00:00,1366.4,2052.7862,1
2023-06-16 07:00:00,1392.875,2198.7309,1
2023-06-16 08:00:00,1465.275,2343.3938,1
2023-06-16 09:00:00,1633.3249999999998,2484.3633,1
2023-06-16 10:00:00,1919.65,2620.8378,1
2023-06-16 11:00:00,2253.925,2751.7968,1
2023-06-16 12:00:00,2605.525,2873.8196,1
2023-06-16 13:00:00,2889.2,2981.0751,1
2023-06-16 14:00:00,3061.275,3069.7517,1
2023-06-16 15:00:00,3179.45,3139.2609,1
2023-06-16 16:00:00,3231.6,3191.2875,1
2023-06-16 17:00:00,3256.5,3227.6066,1
2023-06-16 18:00:00,3260.25,3245.7425,1
2023-06-16 19:00:00,3236.575,3244.3587,1
2023-06-16 20:00:00,3224.125,3227.8670,1
2023-06-16 21:00:00,3193.05,3204.5359,1
2023-06-16 22:00:00,3200.5,3179.7889,1
2023-06-16 23:00:00,3216.6499999999996,3154.3646,1
2023-06-17 00:00:00,3232.825,3128.1278,1
2023-06-17 01:00:00,3210.425,3101.4873,1
2023-06-17 02:00:00,3158.375,3074.3154,1
2023-06-17 03:00:00,3099.25,3045.4230,1
2023-06-17 04:00:00,3029.475,3013.3486,1
2023-06-17 05:00:00,2954.175,2975.3241,1
2023-06-17 06:00:00,2854.25,2928.1574,1
2023-06-17 07:00:00,2763.625,2871.9436,1
2023-06-17 08:00:00,2669.325,2810.5758,1
2023-06-17 09:00:00,2574.85,2748.6860,1
2023-06-17 10:00:00,2482.575,2688.2358,1
2023-06-17 11:00:00,2425.45,2629.1667,1
2023-06-17 12:00:00,2371.0,2571.3787,1
2023-06-17 13:00:00,2321.4,2514.8650,1
2023-06-17 14:00:00,2274.425,2459.5931,1
2023-06-17 15:00:00,2216.675,2405.5363,1
2023-06-17 16:00:00,2143.975,2352.6679,1
2023-06-17 17:00:00,2068.825,2300.9615,1
2023-06-17 18:00:00,1998.825,2250.3918,1
2023-06-17 19:00:00,1933.75,2200.9336,1
2023-06-17 20:00:00,1890.4,2152.5625,1
2023-06-17 21:00:00,1854.6999999999998,2105.2546,1
2023-06-17 22:00:00,1816.075,2058.9865,1
2023-06-17 23:00:00,1787.025,2013.7354,1
2023-06-18 00:00:00,1754.025,1969.4788,1
2023-06-18 01:00:00,1726.3,1926.1949,1
2023-06-18 02:00:00,1695.675,1883.8624,1
2023-06-18 03:00:00,1656.125,1842.4602,1
2023-06-18 04:00:00,1628.9,1801.9680,1
2023-06-18 05:00:00,1595.825,1762.3657,1
2023-06-18 06:00:00,1562.0,1723.6338,1
2023-06-18 07:00:00,1529.325,1685.7531,1
2023-06-18 08:00:00,1496.75,1648.7050,1
2023-06-18 09:00:00,1464.225,1612.4711,1
2023-06-18 10:00:00,1438.425,1577.0335,1
2023-06-18 11:00:00,1401.725,1542.3748,1
2023-06-18 12:00:00,1353.275,1508.4777,1
2023-06-18 13:00:00,1290.25,1475.3257,1
2023-06-18 14:00:00,1218.7,1442.9022,1
2023-06-18 15:00:00,1175.525,1411.1913,1
2023-06-18 16:00:00,1149.4750000000001,1380.1773,1
2023-06-18 17:00:00,1139.1,1349.8450,1
2023-06-18 18:00:00,1133.9,1320.1792,1
2023-06-18 19:00:00,1129.775,1291.1655,1
2023-06-18 20:00:00,1131.85,1262.7894,1
2023-06-18 21:00:00,1148.425,1235.0369,1
2023-06-18 22:00:00,1180.75,1207.8943,1
2023-06-18 23:00:00,1202.8,1181.3482,1
2023-06-19 00:00:00,1199.625,1155.3856,1
2023-06-19 01:00:00,1174.475,1129.9935,1
2023-06-19 02:00:00,1134.9250000000002,1105.1595,1
2023-06-19 03:00:00,1088.7,1080.8713,1
2023-06-19 04:00:00,1050.175,1057.1168,1
2023-06-19 05:00:00,1016.075,1033.8844,1
2023-06-19 06:00:00,982.3,1011.1626,1
2023-06-19 07:00:00,955.775,988.9401,1
2023-06-19 08:00:00,936.25,967.2061,1
2023-06-19 09:00:00,915.975,945.9497,1
2023-06-19 10:00:00,898.65,925.1604,1
2023-06-19 11:00:00,883.35,904.8280,1
2023-06-19 12:00:00,865.3,884.9425,1
