timestamp,sim_q_at_stz_m3s,obs_nivel_stz_cm
2023-09-04 00:00:00,97.4845,
2023-09-04 01:00:00,101.1768,
2023-09-04 02:00:00,122.7320,
2023-09-04 03:00:00,185.6663,
2023-09-04 04:00:00,294.1841,
2023-09-04 05:00:00,433.6921,
2023-09-04 06:00:00,612.5773,
2023-09-04 07:00:00,832.1833,
2023-09-04 08:00:00,1088.1038,
2023-09-04 09:00:00,1372.6229,
2023-09-04 10:00:00,1684.6968,
2023-09-04 11:00:00,2022.8116,
2023-09-04 12:00:00,2385.5021,
2023-09-04 13:00:00,2753.4034,
2023-09-04 14:00:00,3122.5177,
2023-09-04 15:00:00,3485.9021,
2023-09-04 16:00:00,3855.5438,
2023-09-04 17:00:00,4244.9503,
2023-09-04 18:00:00,4639.9426,
2023-09-04 19:00:00,5015.1439,
2023-09-04 20:00:00,5376.4366,
2023-09-04 21:00:00,5726.7600,
2023-09-04 22:00:00,6076.4124,
2023-09-04 23:00:00,6424.7781,
2023-09-05 00:00:00,6758.8218,
2023-09-05 01:00:00,7074.9793,
2023-09-05 02:00:00,7366.4634,
2023-09-05 03:00:00,7627.7788,
2023-09-05 04:00:00,7840.0760,
2023-09-05 05:00:00,7996.6711,
2023-09-05 06:00:00,8112.9053,
2023-09-05 07:00:00,8180.5329,
2023-09-05 08:00:00,8198.4627,
2023-09-05 09:00:00,8171.3484,
2023-09-05 10:00:00,8107.1607,
2023-09-05 11:00:00,8007.2012,
2023-09-05 12:00:00,7873.2425,
2023-09-05 13:00:00,7707.0082,
2023-09-05 14:00:00,7528.1192,
2023-09-05 15:00:00,7340.8265,
2023-09-05 16:00:00,7152.3216,
2023-09-05 17:00:00,6950.8616,
2023-09-05 18:00:00,6723.1776,
2023-09-05 19:00:00,6483.6817,
2023-09-05 20:00:00,6257.9775,
2023-09-05 21:00:00,6040.4032,
2023-09-05 22:00:00,5828.2335,
2023-09-05 23:00:00,5611.3779,
2023-09-06 00:00:00,5390.6529,
2023-09-06 01:00:00,5179.2884,
2023-09-06 02:00:00,4976.2084,
2023-09-06 03:00:00,4781.0839,
2023-09-06 04:00:00,4593.6127,
2023-09-06 05:00:00,4413.4923,
2023-09-06 06:00:00,4240.4350,
2023-09-06 07:00:00,4074.1636,
2023-09-06 08:00:00,3914.4120,
2023-09-06 09:00:00,3760.9246,
2023-09-06 10:00:00,3613.4556,
2023-09-06 11:00:00,3471.7692,
2023-09-06 12:00:00,3335.6385,
2023-09-06 13:00:00,3204.8456,
2023-09-06 14:00:00,3079.1813,
2023-09-06 15:00:00,2958.4445,
2023-09-06 16:00:00,2842.4419,
2023-09-06 17:00:00,2730.9878,
2023-09-06 18:00:00,2623.9040,
2023-09-06 19:00:00,2521.0190,
2023-09-06 20:00:00,2422.1683,
2023-09-06 21:00:00,2327.1935,
2023-09-06 22:00:00,2235.9428,
2023-09-06 23:00:00,2148.2701,
2023-09-07 00:00:00,2064.0352,
2023-09-07 01:00:00,1983.1031,
2023-09-07 02:00:00,1905.3444,
2023-09-07 03:00:00,1830.6348,
2023-09-07 04:00:00,1758.8545,
2023-09-07 05:00:00,1689.8888,
2023-09-07 06:00:00,1623.6273,
2023-09-07 07:00:00,1559.9639,
2023-09-07 08:00:00,1498.7968,
2023-09-07 09:00:00,1440.0281,
2023-09-07 10:00:00,1383.5638,
2023-09-07 11:00:00,1329.3135,
2023-09-07 12:00:00,1277.1903,
2023-09-07 13:00:00,1227.1110,
2023-09-07 14:00:00,1178.9952,
2023-09-07 15:00:00,1132.7662,
2023-09-07 16:00:00,1088.3498,
2023-09-07 17:00:00,1045.6749,
2023-09-07 18:00:00,1004.6734,
2023-09-07 19:00:00,965.2796,
2023-09-07 20:00:00,927.4305,
2023-09-07 21:00:00,891.0654,
2023-09-07 22:00:00,856.1262,
2023-09-07 23:00:00,826.1392,
2023-09-08 00:00:00,809.0845,
2023-09-08 01:00:00,812.1081,
2023-09-08 02:00:00,839.4791,
2023-09-08 03:00:00,894.1163,
2023-09-08 04:00:00,977.0141,
2023-09-08 05:00:00,1085.4410,
2023-09-08 06:00:00,1201.4726,
2023-09-08 07:00:00,1313.8749,
2023-09-08 08:00:00,1421.5356,
2023-09-08 09:00:00,1525.0378,
2023-09-08 10:00:00,1624.4717,
2023-09-08 11:00:00,1720.0082,
2023-09-08 12:00:00,1811.7985,
2023-09-08 13:00:00,1899.9896,
2023-09-08 14:00:00,1984.7228,
2023-09-08 15:00:00,2066.1334,
2023-09-08 16:00:00,2144.3520,
2023-09-08 17:00:00,2219.5035,
2023-09-08 18:00:00,2291.7083,
2023-09-08 19:00:00,2361.0819,
2023-09-08 20:00:00,2427.7353,
2023-09-08 21:00:00,2491.7752,
2023-09-08 22:00:00,2553.3041,
2023-09-08 23:00:00,2612.4204,
2023-09-09 00:00:00,2665.6366,
2023-09-09 01:00:00,2705.0095,
2023-09-09 02:00:00,2723.4291,
2023-09-09 03:00:00,2716.6605,
2023-09-09 04:00:00,2681.8178,
2023-09-09 05:00:00,2617.9384,
2023-09-09 06:00:00,2528.0329,
2023-09-09 07:00:00,2439.2794,
2023-09-09 08:00:00,2371.0959,
2023-09-09 09:00:00,2312.2185,
2023-09-09 10:00:00,2254.0312,
2023-09-09 11:00:00,2198.4033,
2023-09-09 12:00:00,2144.9148,
2023-09-09 13:00:00,2093.5295,
2023-09-09 14:00:00,2044.1583,
2023-09-09 15:00:00,1996.7230,
2023-09-09 16:00:00,1951.1477,
2023-09-09 17:00:00,1907.3594,
2023-09-09 18:00:00,1865.2881,
2023-09-09 19:00:00,1824.8664,
2023-09-09 20:00:00,1786.0297,
2023-09-09 21:00:00,1748.7158,
2023-09-09 22:00:00,1712.8650,
2023-09-09 23:00:00,1678.4199,
2023-09-10 00:00:00,1645.3254,
2023-09-10 01:00:00,1613.5286,
2023-09-10 02:00:00,1582.9786,
2023-09-10 03:00:00,1553.6264,
2023-09-10 04:00:00,1525.4252,
2023-09-10 05:00:00,1498.3297,
2023-09-10 06:00:00,1472.2967,
2023-09-10 07:00:00,1447.0357,
2023-09-10 08:00:00,1413.2822,
2023-09-10 09:00:00,1362.3951,
2023-09-10 10:00:00,1306.5119,
2023-09-10 11:00:00,1253.7786,
2023-09-10 12:00:00,1200.9909,
2023-09-10 13:00:00,1149.5172,
2023-09-10 14:00:00,1101.2743,
2023-09-10 15:00:00,1054.0142,
2023-09-10 16:00:00,1008.3299,
2023-09-10 17:00:00,964.6875,
2023-09-10 18:00:00,923.3307,
2023-09-10 19:00:00,883.5816,
2023-09-10 20:00:00,845.4255,
2023-09-10 21:00:00,808.8017,
2023-09-10 22:00:00,775.3130,
2023-09-10 23:00:00,743.4850,
2023-09-11 00:00:00,713.5403,
2023-09-11 01:00:00,683.6784,
2023-09-11 02:00:00,653.7122,
2023-09-11 03:00:00,626.1599,
2023-09-11 04:00:00,602.0150,
2023-09-11 05:00:00,578.3429,
2023-09-11 06:00:00,555.3763,
2023-09-11 07:00:00,532.3957,
2023-09-11 08:00:00,510.3749,
2023-09-11 09:00:00,490.4281,
2023-09-11 10:00:00,471.1977,
2023-09-11 11:00:00,452.7211,
2023-09-11 12:00:00,434.9698,
2023-09-11 13:00:00,417.9144,
2023-09-11 14:00:00,401.5277,
2023-09-11 15:00:00,385.7836,
2023-09-11 16:00:00,370.6568,
2023-09-11 17:00:00,356.1231,
2023-09-11 18:00:00,342.1594,
2023-09-11 19:00:00,328.7431,
2023-09-11 20:00:00,315.8529,
2023-09-11 21:00:00,303.4681,
2023-09-11 22:00:00,291.5690,
2023-09-11 23:00:00,280.1364,
2023-09-12 00:00:00,269.1521,
2023-09-12 01:00:00,258.5985,
2023-09-12 02:00:00,248.4587,
2023-09-12 03:00:00,238.7165,
2023-09-12 04:00:00,229.3563,
2023-09-12 05:00:00,220.3631,
2023-09-12 06:00:00,211.7225,
2023-09-12 07:00:00,203.4208,
