station_code,measurement_datetime,measurement_date,consistency_level,stage_cm,discharge_m3s,wetted_area_m2,width_m,mean_depth_m,mean_velocity_ms,source,source_route,downloaded_at,processed_at
86507000,2009-02-28 07:00:00,2009-02-28,2,178.0,26.218,98.24,52.4,1.87,0.267,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2009-04-04 07:00:00,2009-04-04,2,126.0,3.626,16.07,31.35,0.51,0.226,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2009-06-27 07:00:00,2009-06-27,2,184.0,30.832,99.04,51.8,1.91,0.311,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2009-07-29 07:00:00,2009-07-29,2,167.0,21.725,87.34,51.3,1.7,0.249,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2009-08-24 07:00:00,2009-08-24,2,212.0,66.188,122.21,53.0,2.31,0.542,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2009-12-18 07:00:00,2009-12-18,2,182.0,35.358,101.7,52.7,1.93,0.348,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2010-01-25 07:00:00,2010-01-25,2,298.0,180.467,158.3,57.6,2.75,1.14,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2010-01-25 10:55:00,2010-01-25,1,298.0,180.467,158.3,57.6,2.75,1.14,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.035267115,2026-06-14 10:36:12.061599016
86507000,2010-03-18 07:00:00,2010-03-18,2,128.0,4.186,18.59,33.0,0.56,0.225,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2010-03-18 10:20:00,2010-03-18,1,128.0,4.186,18.59,33.0,0.56,0.225,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2010-04-19 07:00:00,2010-04-19,2,129.0,4.881,19.56,33.0,0.59,0.25,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2010-04-19 10:10:00,2010-04-19,1,129.0,4.881,19.56,33.0,0.59,0.25,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2010-05-18 07:00:00,2010-05-18,2,204.0,51.421,106.56,52.0,2.05,0.483,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2010-05-18 10:00:00,2010-05-18,1,204.0,52.129,106.56,52.0,2.05,0.489,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2010-06-16 07:00:00,2010-06-16,2,129.0,5.873,17.31,31.0,0.56,0.339,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:23.452265024,2026-06-14 10:36:12.061599016
86507000,2011-06-17 07:00:00,2011-06-17,2,182.0,34.208,93.75,52.2,1.8,0.365,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:24.052532911,2026-06-14 10:36:12.061599016
86507000,2011-10-13 07:00:00,2011-10-13,2,182.0,37.734,96.86,53.4,1.81,0.39,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:24.052532911,2026-06-14 10:36:12.061599016
86507000,2012-08-23 07:00:00,2012-08-23,2,127.0,3.251,20.69,33.5,0.62,0.157,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:24.645143986,2026-06-14 10:36:12.061599016
86507000,2012-11-22 07:00:00,2012-11-22,2,125.0,3.833,26.67,37.0,0.72,0.144,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:24.645143986,2026-06-14 10:36:12.061599016
