station_code,rating_curve_id,rating_curve_segment_id,segment_number,valid_from,valid_to,consistency_level,stage_min_cm,stage_max_cm,coefficient_a,coefficient_h0,coefficient_h0_cm,coefficient_h0_m,coefficient_n,n_segments_reported,curve_type,equation_type,table_stage_step_cm,measurement_datetime,source,source_route,downloaded_at,processed_at
86510000,86510000__19400101000000__19470520000000__2,86510000__19400101000000__19470520000000__2__01_04__30__121__1__1__NA__104__0_23__1_57,1,1940-01-01,1947-05-20,2,30.0,121.0,104.0,0.23,0.23,0.0023,1.57,4,1,1,,1940-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19400101000000__19470520000000__2,86510000__19400101000000__19470520000000__2__02_04__121__176__1__1__NA__127_3104__0_32__2,2,1940-01-01,1947-05-20,2,121.0,176.0,127.3104,0.32,0.32,0.0032,2.0,4,1,1,,1940-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19400101000000__19470520000000__2,86510000__19400101000000__19470520000000__2__03_04__176__413__1__1__NA__110_4673__0_01__1_554,3,1940-01-01,1947-05-20,2,176.0,413.0,110.4673,0.01,0.01,0.0001,1.554,4,1,1,,1940-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19400101000000__19470520000000__2,86510000__19400101000000__19470520000000__2__04_04__413__2150__1__1__NA__30_6115__2_44__1_85,4,1940-01-01,1947-05-20,2,413.0,2150.0,30.6115,-2.44,-2.44,-0.024399999999999998,1.85,4,1,1,,1940-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19470521000000__19501015000000__2,86510000__19470521000000__19501015000000__2__01_04__30__127__1__1__NA__90_2849__0_1__1_798,1,1947-05-21,1950-10-15,2,30.0,127.0,90.2849,0.1,0.1,0.001,1.798,4,1,1,,1947-05-21,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19470521000000__19501015000000__2,86510000__19470521000000__19501015000000__2__02_04__127__183__1__1__NA__127_3104__0_3__2,2,1947-05-21,1950-10-15,2,127.0,183.0,127.3104,0.3,0.3,0.003,2.0,4,1,1,,1947-05-21,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19470521000000__19501015000000__2,86510000__19470521000000__19501015000000__2__03_04__183__347__1__1__NA__99__0_11__1_657,3,1947-05-21,1950-10-15,2,183.0,347.0,99.0,-0.11,-0.11,-0.0011,1.657,4,1,1,,1947-05-21,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19470521000000__19501015000000__2,86510000__19470521000000__19501015000000__2__04_04__347__2150__1__1__NA__30_6115__2_44__1_85,4,1947-05-21,1950-10-15,2,347.0,2150.0,30.6115,-2.44,-2.44,-0.024399999999999998,1.85,4,1,1,,1947-05-21,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19501016000000__19551124000000__2,86510000__19501016000000__19551124000000__2__01_04__40__126__1__1__NA__104__0_23__1_57,1,1950-10-16,1955-11-24,2,40.0,126.0,104.0,0.23,0.23,0.0023,1.57,4,1,1,,1950-10-16,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19501016000000__19551124000000__2,86510000__19501016000000__19551124000000__2__02_04__126__293__1__1__NA__129__0_36__1_6,2,1950-10-16,1955-11-24,2,126.0,293.0,129.0,0.36,0.36,0.0036,1.6,4,1,1,,1950-10-16,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19501016000000__19551124000000__2,86510000__19501016000000__19551124000000__2__03_04__293__413__1__1__NA__110_4673__0_01__1_554,3,1950-10-16,1955-11-24,2,293.0,413.0,110.4673,0.01,0.01,0.0001,1.554,4,1,1,,1950-10-16,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19501016000000__19551124000000__2,86510000__19501016000000__19551124000000__2__04_04__413__2150__1__1__NA__30_6115__2_44__1_85,4,1950-10-16,1955-11-24,2,413.0,2150.0,30.6115,-2.44,-2.44,-0.024399999999999998,1.85,4,1,1,,1950-10-16,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19551125000000__19590621000000__2,86510000__19551125000000__19590621000000__2__01_04__80__178__1__1__NA__100_1302__0_31__1_682,1,1955-11-25,1959-06-21,2,80.0,178.0,100.1302,0.31,0.31,0.0031,1.682,4,1,1,,1955-11-25,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
86510000,86510000__19551125000000__19590621000000__2,86510000__19551125000000__19590621000000__2__02_04__178__259__1__1__NA__58_6174__0_03__1_994,2,1955-11-25,1959-06-21,2,178.0,259.0,58.6174,-0.03,-0.03,-0.0003,1.994,4,1,1,,1955-11-25,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:13:00.186131001,2026-06-14 11:17:27.276710033
