station_code,measurement_datetime,measurement_date,consistency_level,stage_cm,discharge_m3s,wetted_area_m2,width_m,mean_depth_m,mean_velocity_ms,source,source_route,downloaded_at,processed_at
86510000,1944-04-17 07:00:00,1944-04-17,2,77.0,42.4,254.2,160.25,1.59,0.167,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1944-04-20 07:00:00,1944-04-20,2,122.0,110.0,321.7,168.9,1.9,0.342,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1944-09-14 07:00:00,1944-09-14,2,148.0,147.0,379.6,171.4,2.21,0.386,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1945-05-18 07:00:00,1945-05-18,2,44.0,9.79,216.2,156.15,1.38,0.045,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1945-05-19 07:00:00,1945-05-19,2,44.0,7.49,217.2,156.1,1.39,0.034,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1945-05-20 07:00:00,1945-05-20,2,42.0,6.56,215.0,155.9,1.38,0.03,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1945-05-21 07:00:00,1945-05-21,2,42.0,6.84,216.3,155.9,1.39,0.032,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1945-06-10 07:00:00,1945-06-10,2,89.0,45.3,274.4,162.5,1.69,0.154,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1945-07-30 07:00:00,1945-07-30,1,577.0,1134.0,1134.0,192.4,5.8,1.016,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1945-08-05 07:00:00,1945-08-05,2,365.0,771.0,768.0,179.3,4.28,1.004,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
86510000,1946-03-04 07:00:00,1946-03-04,2,332.0,809.0,747.2,185.8,4.02,1.082,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-03-18 07:00:00,1946-03-18,2,116.0,89.6,320.8,168.4,1.9,0.279,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-05-25 07:00:00,1946-05-25,2,107.0,74.9,314.6,166.4,1.89,0.238,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-06-10 07:00:00,1946-06-10,2,82.0,41.5,274.5,162.9,1.69,0.151,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-06-11 07:00:00,1946-06-11,2,82.0,40.4,271.3,162.9,1.67,0.149,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-07-06 07:00:00,1946-07-06,2,283.0,554.0,623.1,183.6,3.39,0.888,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-07-08 07:00:00,1946-07-08,2,215.0,360.0,512.5,181.3,2.83,0.703,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-07-09 07:00:00,1946-07-09,2,202.0,347.0,498.5,180.7,2.76,0.689,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-10-07 07:00:00,1946-10-07,2,316.0,588.0,620.4,166.4,3.73,0.947,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1946-10-08 07:00:00,1946-10-08,2,434.0,959.0,791.5,168.15,4.71,1.212,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:47.421854973,2026-06-14 10:36:12.061599016
86510000,1947-02-11 07:00:00,1947-02-11,2,148.0,166.0,335.9,161.6,2.08,0.496,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-02-12 07:00:00,1947-02-12,2,148.0,159.0,322.4,161.6,2.0,0.494,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-02-13 07:00:00,1947-02-13,2,138.0,145.0,321.9,161.6,1.99,0.451,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-02-14 07:00:00,1947-02-14,2,140.0,151.0,326.4,161.6,2.02,0.464,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-02-15 07:00:00,1947-02-15,2,170.0,241.0,375.1,163.4,2.3,0.643,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-02-18 07:00:00,1947-02-18,2,128.0,124.0,311.1,161.2,1.93,0.399,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-02-19 07:00:00,1947-02-19,2,124.0,112.0,295.3,161.2,1.83,0.381,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-03-15 07:00:00,1947-03-15,2,105.0,78.6,271.1,160.55,1.69,0.29,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-03-16 07:00:00,1947-03-16,2,100.0,69.2,263.7,160.5,1.64,0.263,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-03-26 07:00:00,1947-03-26,2,86.0,46.2,240.8,159.9,1.51,0.192,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-03-27 07:00:00,1947-03-27,2,80.0,44.0,235.1,159.85,1.47,0.187,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-03-28 07:00:00,1947-03-28,2,76.0,38.5,226.7,159.55,1.42,0.17,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-04-06 07:00:00,1947-04-06,2,65.0,28.7,208.6,158.0,1.32,0.137,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-04-08 07:00:00,1947-04-08,2,68.0,29.3,207.9,158.8,1.31,0.141,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-05-19 07:00:00,1947-05-19,2,356.0,791.0,679.8,170.2,3.99,1.164,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-05-20 07:00:00,1947-05-20,2,480.0,1424.0,925.3,175.1,5.28,1.539,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-05-21 07:00:00,1947-05-21,2,328.0,769.0,647.4,168.25,3.85,1.188,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-05-22 07:00:00,1947-05-22,2,234.0,411.0,486.8,165.9,2.93,0.906,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-05-23 07:00:00,1947-05-23,2,217.0,381.0,472.1,165.5,2.85,0.806,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
