station_code,measurement_datetime,measurement_date,consistency_level,stage_cm,discharge_m3s,wetted_area_m2,width_m,mean_depth_m,mean_velocity_ms,source,source_route,downloaded_at,processed_at
86472000,2014-02-20 10:30:00,2014-02-20,1,219.0,35.87,349.642,98.01,3.57,0.103,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:37.829474926,2026-06-14 10:36:12.061599016
86472000,2014-07-09 11:10:00,2014-07-09,1,429.0,393.035,561.221,110.102,5.097,0.7,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:38.220973969,2026-06-14 10:36:12.061599016
86472000,2014-11-05 10:22:00,2014-11-05,1,400.0,369.817,534.668,108.865,4.911,0.692,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:38.220973969,2026-06-14 10:36:12.061599016
86472000,2015-03-06 10:42:00,2015-03-06,2,328.0,188.0,460.0,106.0,4.35,0.409,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:38.220973969,2026-06-14 10:36:12.061599016
86472000,2015-07-23 09:51:00,2015-07-23,2,664.0,999.0,819.0,117.0,6.98,1.22,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:38.623763084,2026-06-14 10:36:12.061599016
86472000,2015-10-30 10:19:00,2015-10-30,2,437.0,416.0,573.0,112.0,5.13,0.726,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:38.623763084,2026-06-14 10:36:12.061599016
86472000,2016-04-06 10:49:00,2016-04-06,2,286.0,117.0,413.0,101.0,4.08,0.282,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:38.623763084,2026-06-14 10:36:12.061599016
86472000,2016-07-11 15:32:00,2016-07-11,2,447.0,482.0,595.0,110.0,5.4,0.811,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:39.202444077,2026-06-14 10:36:12.061599016
86472000,2016-10-26 10:53:00,2016-10-26,2,658.0,976.0,827.0,121.0,6.81,1.18,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:39.202444077,2026-06-14 10:36:12.061599016
86472000,2017-02-21 12:27:00,2017-02-21,2,221.0,32.3,356.0,96.4,3.69,0.091,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:09:39.202444077,2026-06-14 10:36:12.061599016
